kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes,pc_owner_official,match_score,api_stability
class,com/corrodinggames/rts/R,,,rw/android/android/generated/R,rustedwarfare/android/generated/R,android-generated-resource,android-generated-R,generated,Android build-generated R symbol holder,Resource IDs are APK-version-bound,,,generated
class,com/corrodinggames/rts/R$anim,,,rw/android/android/generated/R$anim,rustedwarfare/android/generated/R$anim,android-generated-resource,android-generated-R,generated,Android build-generated R symbol holder,Resource IDs are APK-version-bound,,,generated
class,com/corrodinggames/rts/R$array,,,rw/android/android/generated/R$array,rustedwarfare/android/generated/R$array,android-generated-resource,android-generated-R,generated,Android build-generated R symbol holder,Resource IDs are APK-version-bound,,,generated
class,com/corrodinggames/rts/R$attr,,,rw/android/android/generated/R$attr,rustedwarfare/android/generated/R$attr,android-generated-resource,android-generated-R,generated,Android build-generated R symbol holder,Resource IDs are APK-version-bound,,,generated
class,com/corrodinggames/rts/R$color,,,rw/android/android/generated/R$color,rustedwarfare/android/generated/R$color,android-generated-resource,android-generated-R,generated,Android build-generated R symbol holder,Resource IDs are APK-version-bound,,,generated
class,com/corrodinggames/rts/R$drawable,,,rw/android/android/generated/R$drawable,rustedwarfare/android/generated/R$drawable,android-generated-resource,android-generated-R,generated,Android build-generated R symbol holder,Resource IDs are APK-version-bound,,,generated
class,com/corrodinggames/rts/R$id,,,rw/android/android/generated/R$id,rustedwarfare/android/generated/R$id,android-generated-resource,android-generated-R,generated,Android build-generated R symbol holder,Resource IDs are APK-version-bound,,,generated
class,com/corrodinggames/rts/R$layout,,,rw/android/android/generated/R$layout,rustedwarfare/android/generated/R$layout,android-generated-resource,android-generated-R,generated,Android build-generated R symbol holder,Resource IDs are APK-version-bound,,,generated
class,com/corrodinggames/rts/R$raw,,,rw/android/android/generated/R$raw,rustedwarfare/android/generated/R$raw,android-generated-resource,android-generated-R,generated,Android build-generated R symbol holder,Resource IDs are APK-version-bound,,,generated
class,com/corrodinggames/rts/R$string,,,rw/android/android/generated/R$string,rustedwarfare/android/generated/R$string,android-generated-resource,android-generated-R,generated,Android build-generated R symbol holder,Resource IDs are APK-version-bound,,,generated
class,com/corrodinggames/rts/R$style,,,rw/android/android/generated/R$style,rustedwarfare/android/generated/R$style,android-generated-resource,android-generated-R,generated,Android build-generated R symbol holder,Resource IDs are APK-version-bound,,,generated
class,com/corrodinggames/rts/R$styleable,,,rw/android/android/generated/R$styleable,rustedwarfare/android/generated/R$styleable,android-generated-resource,android-generated-R,generated,Android build-generated R symbol holder,Resource IDs are APK-version-bound,,,generated
class,com/corrodinggames/rts/R$xml,,,rw/android/android/generated/R$xml,rustedwarfare/android/generated/R$xml,android-generated-resource,android-generated-R,generated,Android build-generated R symbol holder,Resource IDs are APK-version-bound,,,generated
class,com/corrodinggames/rts/appFramework/ClosingActivity,,,rw/android/ui/android/ClosingActivity,rustedwarfare/ui/android/ClosingActivity,android-readable-component,android-appframework-top-level,high,official Android class name retained in DEX; component/view identity and hierarchy agree,Android-specific top-level class,,,stable
class,com/corrodinggames/rts/appFramework/CreditsActivity,,,rw/android/ui/android/CreditsActivity,rustedwarfare/ui/android/CreditsActivity,android-readable-component,android-appframework-top-level,high,official Android class name retained in DEX; component/view identity and hierarchy agree,Android-specific top-level class,,,stable
class,com/corrodinggames/rts/appFramework/DynamicImageView,,,rw/android/ui/android/DynamicImageView,rustedwarfare/ui/android/DynamicImageView,android-readable-component,android-appframework-top-level,high,official Android class name retained in DEX; component/view identity and hierarchy agree,Android-specific top-level class,,,stable
class,com/corrodinggames/rts/appFramework/ExpandedListView,,,rw/android/ui/android/ExpandedListView,rustedwarfare/ui/android/ExpandedListView,android-readable-component,android-appframework-top-level,high,official Android class name retained in DEX; component/view identity and hierarchy agree,Android-specific top-level class,,,stable
class,com/corrodinggames/rts/appFramework/FlowLayout,,,rw/android/ui/android/FlowLayout,rustedwarfare/ui/android/FlowLayout,android-readable-component,android-appframework-top-level,high,official Android class name retained in DEX; component/view identity and hierarchy agree,Android-specific top-level class,,,stable
