pc_official,android_official,intermediary,named,confidence,source,reason,scope
com/corrodinggames/rts/appFramework/b,com/corrodinggames/rts/appFramework/a,rw/ui/android/AndroidBaseActivity,rustedwarfare/ui/android/AndroidBaseActivity,high,manual_anchor,independent structural/string anchor,android_appframework_port
com/corrodinggames/rts/appFramework/c,com/corrodinggames/rts/appFramework/d,rw/ui/android/AndroidUiHelper,rustedwarfare/ui/android/AndroidUiHelper,high,manual_anchor,independent structural/string anchor,android_appframework_port
com/corrodinggames/rts/appFramework/c$1,com/corrodinggames/rts/appFramework/e,rw/v090/ui/android/AndroidUiHelper$1,rustedwarfare/ui/android/AndroidUiHelper$1,high,manual_anchor,independent structural/string anchor,android_appframework_port
com/corrodinggames/rts/appFramework/c$2,com/corrodinggames/rts/appFramework/f,rw/v090/ui/android/AndroidUiHelper$2,rustedwarfare/ui/android/AndroidUiHelper$2,high,manual_anchor,independent structural/string anchor,android_appframework_port
com/corrodinggames/rts/appFramework/c$2$1,com/corrodinggames/rts/appFramework/g,rw/v090/ui/android/AndroidUiHelper$2$1,rustedwarfare/ui/android/AndroidUiHelper$2$1,high,manual_anchor,independent structural/string anchor,android_appframework_port
com/corrodinggames/rts/appFramework/d,com/corrodinggames/rts/appFramework/k,rw/ui/android/AndroidStorageCallback,rustedwarfare/ui/android/AndroidStorageCallback,high,manual_anchor,independent structural/string anchor,android_appframework_port
com/corrodinggames/rts/appFramework/e,com/corrodinggames/rts/appFramework/l,rw/ui/android/AndroidGameViewMode,rustedwarfare/ui/android/AndroidGameViewMode,high,manual_anchor,independent structural/string anchor,android_appframework_port
com/corrodinggames/rts/appFramework/f,com/corrodinggames/rts/appFramework/ab,rw/ui/android/GameViewHost,rustedwarfare/ui/android/GameViewHost,high,manual_anchor,independent structural/string anchor,android_appframework_port
com/corrodinggames/rts/appFramework/g,com/corrodinggames/rts/appFramework/InGameActivity,rw/ui/android/InGameActivity,rustedwarfare/ui/android/InGameActivity,high,manual_anchor,independent structural/string anchor,android_appframework_port
com/corrodinggames/rts/appFramework/g$1,com/corrodinggames/rts/appFramework/ak,rw/v090/ui/android/InGameActivity$1,rustedwarfare/ui/android/InGameActivity$1,high,iterative_app_match,super+interface+outer,android_appframework_port
com/corrodinggames/rts/appFramework/g$10,com/corrodinggames/rts/appFramework/ay,rw/v090/ui/android/InGameActivity$10,rustedwarfare/ui/android/InGameActivity$10,high,iterative_app_match,super+interface+outer,android_appframework_port
com/corrodinggames/rts/appFramework/g$11,com/corrodinggames/rts/appFramework/az,rw/v090/ui/android/InGameActivity$11,rustedwarfare/ui/android/InGameActivity$11,high,iterative_app_match,super+interface+outer,android_appframework_port
com/corrodinggames/rts/appFramework/g$12,com/corrodinggames/rts/appFramework/ba,rw/v090/ui/android/InGameActivity$12,rustedwarfare/ui/android/InGameActivity$12,high,iterative_app_match,super+interface+outer,android_appframework_port
com/corrodinggames/rts/appFramework/g$13,com/corrodinggames/rts/appFramework/bb,rw/v090/ui/android/InGameActivity$13,rustedwarfare/ui/android/InGameActivity$13,high,manual_bytecode_sequence,exact exited/network-disconnect/finish body; bounded between surrender and battleroom return,android_appframework_port
com/corrodinggames/rts/appFramework/g$14,com/corrodinggames/rts/appFramework/bc,rw/v090/ui/android/InGameActivity$14,rustedwarfare/ui/android/InGameActivity$14,high,iterative_app_match,super+interface+outer,android_appframework_port
com/corrodinggames/rts/appFramework/g$15,com/corrodinggames/rts/appFramework/bd,rw/v090/ui/android/InGameActivity$15,rustedwarfare/ui/android/InGameActivity$15,high,manual_bytecode_sequence,exact finish listener; bounded after return-to-battleroom listener,android_appframework_port
com/corrodinggames/rts/appFramework/g$16,com/corrodinggames/rts/appFramework/be,rw/v090/ui/android/InGameActivity$16,rustedwarfare/ui/android/InGameActivity$16,high,manual_bytecode_sequence,exact EditText+team flag chat-send listener body,android_appframework_port
com/corrodinggames/rts/appFramework/g$2,com/corrodinggames/rts/appFramework/al,rw/v090/ui/android/InGameActivity$2,rustedwarfare/ui/android/InGameActivity$2,high,manual_bytecode_sequence,bytecode-equivalent chat-send listener; field/constructor and network call sequence,android_appframework_port
com/corrodinggames/rts/appFramework/g$3,com/corrodinggames/rts/appFramework/am,rw/v090/ui/android/InGameActivity$3,rustedwarfare/ui/android/InGameActivity$3,medium,manual_bytecode_sequence,anchor-bounded empty cancel listener after g$2,android_appframework_port
com/corrodinggames/rts/appFramework/g$4,com/corrodinggames/rts/appFramework/an,rw/v090/ui/android/InGameActivity$4,rustedwarfare/ui/android/InGameActivity$4,high,iterative_app_match,super+interface+outer,android_appframework_port
com/corrodinggames/rts/appFramework/g$4$1,com/corrodinggames/rts/appFramework/ao,rw/v090/ui/android/InGameActivity$4$1,rustedwarfare/ui/android/InGameActivity$4$1,high,manual_bytecode_sequence,nested map-export confirmation listener; exact owner/string parameter and synthetic accessor,android_appframework_port
com/corrodinggames/rts/appFramework/g$5,com/corrodinggames/rts/appFramework/ap,rw/v090/ui/android/InGameActivity$5,rustedwarfare/ui/android/InGameActivity$5,medium,manual_bytecode_sequence,anchor-bounded empty cancel listener after map export,android_appframework_port
com/corrodinggames/rts/appFramework/g$6,com/corrodinggames/rts/appFramework/aq,rw/v090/ui/android/InGameActivity$6,rustedwarfare/ui/android/InGameActivity$6,high,iterative_app_match,super+interface+outer,android_appframework_port
com/corrodinggames/rts/appFramework/g$6$1,com/corrodinggames/rts/appFramework/ar,rw/v090/ui/android/InGameActivity$6$1,rustedwarfare/ui/android/InGameActivity$6$1,high,manual_bytecode_sequence,nested save confirmation listener; exact owner/string parameter and synthetic accessor,android_appframework_port
com/corrodinggames/rts/appFramework/g$7,com/corrodinggames/rts/appFramework/as,rw/v090/ui/android/InGameActivity$7,rustedwarfare/ui/android/InGameActivity$7,medium,manual_bytecode_sequence,anchor-bounded empty cancel listener after save,android_appframework_port
