kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
field,com/corrodinggames/rts/game/units/custom/bj,Lcom/corrodinggames/rts/game/f;,a,field_ProjectileSpawnSearchCallback_sourceProjectile,spawnedProjectile,v0.30-action-projectile-runtime,ini-key-semantics projectile-spawn,confirmed,bi.spawnEntry stores the newly spawned projectile into shared ProjectileSpawnSearchCallback.a before spatial query.,
field,com/corrodinggames/rts/game/units/custom/bj,Lcom/corrodinggames/rts/game/units/am;,c,field_ProjectileSpawnSearchCallback_sourceUnit,sourceUnit,v0.30-action-projectile-runtime,ini-key-semantics projectile-spawn,confirmed,bi.spawnEntry stores the projectile spawning source unit into callback.c.,
field,com/corrodinggames/rts/game/f,F,r,field_Projectile_targetSpeed,targetSpeed,v0.30-action-projectile-runtime,projectile-runtime,high,CustomUnit.createProjectile copies CustomProjectileTemplate.au targetSpeed into Projectile.r.,
field,com/corrodinggames/rts/game/f,F,s,field_Projectile_targetSpeedAcceleration,targetSpeedAcceleration,v0.30-action-projectile-runtime,projectile-runtime,high,CustomUnit.createProjectile copies CustomProjectileTemplate.av targetSpeedAcceleration into Projectile.s.,
field,com/corrodinggames/rts/game/f,F,u,field_Projectile_initialUnguidedSpeedX,initialUnguidedSpeedX,v0.30-action-projectile-runtime,projectile-runtime,high,CustomUnit.createProjectile copies template initialUnguidedSpeedX into Projectile.u.,
field,com/corrodinggames/rts/game/f,F,v,field_Projectile_initialUnguidedSpeedY,initialUnguidedSpeedY,v0.30-action-projectile-runtime,projectile-runtime,high,CustomUnit.createProjectile copies template initialUnguidedSpeedY into Projectile.v.,
field,com/corrodinggames/rts/game/f,F,w,field_Projectile_initialUnguidedSpeedHeight,initialUnguidedSpeedHeight,v0.30-action-projectile-runtime,projectile-runtime,high,CustomUnit.createProjectile copies template initialUnguidedSpeedHeight into Projectile.w.,
field,com/corrodinggames/rts/game/f,F,x,field_Projectile_drawSize,drawSize,v0.30-action-projectile-runtime,projectile-runtime,high,CustomUnit.createProjectile copies CustomProjectileTemplate.drawSize into Projectile.x.,
field,com/corrodinggames/rts/game/f,Z,A,field_Projectile_instant,instant,v0.30-action-projectile-runtime,projectile-runtime,high,CustomUnit.createProjectile copies template instant flag into Projectile.A.,
field,com/corrodinggames/rts/game/f,Z,B,field_Projectile_laserEffect,laserEffect,v0.30-action-projectile-runtime,projectile-runtime,high,CustomUnit.createProjectile copies template laserEffect into Projectile.B.,
field,com/corrodinggames/rts/game/f,Z,M,field_Projectile_lightingEffect,lightingEffect,v0.30-action-projectile-runtime,projectile-runtime,high,CustomUnit.createProjectile copies template lightingEffect into Projectile.M.,
