kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/gameFramework/av,,,rw/audio/NullMusicFactory,rustedwarfare/audio/NullMusicFactory,v0.9-base,,,,
class,com/corrodinggames/rts/java/l,,,rw/audio/OpenALMusicFactory,rustedwarfare/audio/OpenALMusicFactory,v0.9-base,,,,
class,com/corrodinggames/rts/java/o,,,rw/audio/OpenALSoundFactory,rustedwarfare/audio/OpenALSoundFactory,v0.9-base,,,,
class,com/corrodinggames/rts/gameFramework/aq,,,rw/audio/MusicFactory,rustedwarfare/audio/MusicFactory,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/gameFramework/ar,,,rw/audio/MusicTrack,rustedwarfare/audio/MusicTrack,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/gameFramework/as,,,rw/audio/MusicPlayer,rustedwarfare/audio/MusicPlayer,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/m,,,rw/audio/OpenALMusicTrack,rustedwarfare/audio/OpenALMusicTrack,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/n,,,rw/audio/OpenALMusicPlayer,rustedwarfare/audio/OpenALMusicPlayer,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/q,,,rw/audio/OpenALGameSound,rustedwarfare/audio/OpenALGameSound,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/r,,,rw/audio/OpenALSoundQueueThread,rustedwarfare/audio/OpenALSoundQueueThread,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/p,,,rw/audio/OpenALSoundPlayTask,rustedwarfare/audio/OpenALSoundPlayTask,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
field,com/corrodinggames/rts/gameFramework/aq,Lcom/corrodinggames/rts/gameFramework/am;,e,field_MusicFactory_musicController,musicController,v0.60-audio-backend,desktop-audio-openal,high,MusicFactory owns MusicController,
method,com/corrodinggames/rts/gameFramework/aq,(F)V,a,method_MusicFactory_update,update,v0.60-audio-backend,desktop-audio-openal,high,music factory poll/update,
method,com/corrodinggames/rts/gameFramework/aq,(Ljava/lang/String;)Lcom/corrodinggames/rts/gameFramework/ar;,a,method_MusicFactory_loadMusicTrack,loadMusicTrack,v0.60-audio-backend,desktop-audio-openal,high,load music track,
method,com/corrodinggames/rts/gameFramework/aq,()Lcom/corrodinggames/rts/gameFramework/as;,a,method_MusicFactory_newMusicPlayer,newMusicPlayer,v0.60-audio-backend,desktop-audio-openal,high,create player,
method,com/corrodinggames/rts/gameFramework/aq,(Lcom/corrodinggames/rts/gameFramework/am;)V,a,method_MusicFactory_setMusicController,setMusicController,v0.60-audio-backend,desktop-audio-openal,high,set music controller,
method,com/corrodinggames/rts/gameFramework/aq,()V,b,method_MusicFactory_shutdown,shutdown,v0.60-audio-backend,desktop-audio-openal,high,shutdown music factory,
method,com/corrodinggames/rts/gameFramework/aq,()Z,c,method_MusicFactory_isAvailable,isAvailable,v0.60-audio-backend,desktop-audio-openal,high,music factory available,
method,com/corrodinggames/rts/gameFramework/aq,()Z,d,method_MusicFactory_isEnabled,isEnabled,v0.60-audio-backend,desktop-audio-openal,high,music enabled,
method,com/corrodinggames/rts/gameFramework/aq,()I,e,method_MusicFactory_getMaxMusicVolumePercent,getMaxMusicVolumePercent,v0.60-audio-backend,desktop-audio-openal,medium,max music volume percent,
method,com/corrodinggames/rts/java/l,(F)V,a,method_OpenALMusicFactory_update,update,v0.60-audio-backend,desktop-audio-openal,high,music factory poll/update,
method,com/corrodinggames/rts/java/l,(Ljava/lang/String;)Lcom/corrodinggames/rts/gameFramework/ar;,a,method_OpenALMusicFactory_loadMusicTrack,loadMusicTrack,v0.60-audio-backend,desktop-audio-openal,high,load music track,
method,com/corrodinggames/rts/java/l,()Lcom/corrodinggames/rts/gameFramework/as;,a,method_OpenALMusicFactory_newMusicPlayer,newMusicPlayer,v0.60-audio-backend,desktop-audio-openal,high,create player,
method,com/corrodinggames/rts/java/l,(Lcom/corrodinggames/rts/gameFramework/am;)V,a,method_OpenALMusicFactory_setMusicController,setMusicController,v0.60-audio-backend,desktop-audio-openal,high,set music controller,
method,com/corrodinggames/rts/java/l,()V,b,method_OpenALMusicFactory_shutdown,shutdown,v0.60-audio-backend,desktop-audio-openal,high,shutdown music factory,
method,com/corrodinggames/rts/java/l,()Z,c,method_OpenALMusicFactory_isAvailable,isAvailable,v0.60-audio-backend,desktop-audio-openal,high,music factory available,
