kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/java/audio/Audio,,,rw/audio/Audio,rustedwarfare/audio/Audio,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/AudioDevice,,,rw/audio/AudioDevice,rustedwarfare/audio/AudioDevice,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/AudioRecorder,,,rw/audio/AudioRecorder,rustedwarfare/audio/AudioRecorder,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/Music,,,rw/audio/Music,rustedwarfare/audio/Music,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/Music$OnCompletionListener,,,rw/audio/MusicOnCompletionListener,rustedwarfare/audio/MusicOnCompletionListener,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/Sound,,,rw/audio/Sound,rustedwarfare/audio/Sound,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/lwjgl/JavaSoundAudioRecorder,,,rw/audio/openal/JavaSoundAudioRecorder,rustedwarfare/audio/openal/JavaSoundAudioRecorder,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/lwjgl/Ogg,,,rw/audio/openal/Ogg,rustedwarfare/audio/openal/Ogg,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/lwjgl/Ogg$Music,,,rw/audio/openal/OggMusic,rustedwarfare/audio/openal/OggMusic,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/lwjgl/Ogg$MusicWithThreadedLoader,,,rw/audio/openal/OggMusicWithThreadedLoader,rustedwarfare/audio/openal/OggMusicWithThreadedLoader,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/lwjgl/Ogg$Sound,,,rw/audio/openal/OggSound,rustedwarfare/audio/openal/OggSound,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/lwjgl/OggInputStream,,,rw/audio/openal/OggInputStream,rustedwarfare/audio/openal/OggInputStream,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/lwjgl/OpenALAudio,,,rw/audio/openal/OpenALAudio,rustedwarfare/audio/openal/OpenALAudio,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/lwjgl/OpenALAudio$1,,,rw/audio/openal/OpenALNoDeviceAudioDevice,rustedwarfare/audio/openal/OpenALNoDeviceAudioDevice,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/lwjgl/OpenALAudio$2,,,rw/audio/openal/OpenALNoDeviceAudioRecorder,rustedwarfare/audio/openal/OpenALNoDeviceAudioRecorder,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/lwjgl/OpenALAudioDevice,,,rw/audio/openal/OpenALAudioDevice,rustedwarfare/audio/openal/OpenALAudioDevice,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/lwjgl/OpenALMusic,,,rw/audio/openal/OpenALMusic,rustedwarfare/audio/openal/OpenALMusic,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/lwjgl/OpenALSound,,,rw/audio/openal/OpenALSound,rustedwarfare/audio/openal/OpenALSound,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/lwjgl/ThreadedWrappingAudioInputStream,,,rw/audio/openal/ThreadedWrappingAudioInputStream,rustedwarfare/audio/openal/ThreadedWrappingAudioInputStream,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/lwjgl/Wav,,,rw/audio/openal/Wav,rustedwarfare/audio/openal/Wav,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/lwjgl/Wav$Music,,,rw/audio/openal/WavMusic,rustedwarfare/audio/openal/WavMusic,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/lwjgl/Wav$Sound,,,rw/audio/openal/WavSound,rustedwarfare/audio/openal/WavSound,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/lwjgl/Wav$WavInputStream,,,rw/audio/openal/WavInputStream,rustedwarfare/audio/openal/WavInputStream,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
field,com/corrodinggames/rts/java/audio/lwjgl/OpenALAudio,I,deviceBufferSize,field_OpenALAudio_deviceBufferSize,deviceBufferSize,v0.60-audio-backend,desktop-audio-openal,high,javap field name / OpenAL audio runtime structure,
field,com/corrodinggames/rts/java/audio/lwjgl/OpenALAudio,I,deviceBufferCount,field_OpenALAudio_deviceBufferCount,deviceBufferCount,v0.60-audio-backend,desktop-audio-openal,high,javap field name / OpenAL audio runtime structure,
field,com/corrodinggames/rts/java/audio/lwjgl/OpenALAudio,Lcom/corrodinggames/rts/java/audio/a/d;,idleSources,field_OpenALAudio_idleSources,idleSources,v0.60-audio-backend,desktop-audio-openal,high,javap field name / OpenAL audio runtime structure,
field,com/corrodinggames/rts/java/audio/lwjgl/OpenALAudio,Lcom/corrodinggames/rts/java/audio/a/d;,allSources,field_OpenALAudio_allSources,allSources,v0.60-audio-backend,desktop-audio-openal,high,javap field name / OpenAL audio runtime structure,
field,com/corrodinggames/rts/java/audio/lwjgl/OpenALAudio,Lcom/corrodinggames/rts/java/audio/a/i;,soundIdToSource,field_OpenALAudio_soundIdToSource,soundIdToSource,v0.60-audio-backend,desktop-audio-openal,high,javap field name / OpenAL audio runtime structure,
field,com/corrodinggames/rts/java/audio/lwjgl/OpenALAudio,Lcom/corrodinggames/rts/java/audio/a/e;,sourceToSoundId,field_OpenALAudio_sourceToSoundId,sourceToSoundId,v0.60-audio-backend,desktop-audio-openal,high,javap field name / OpenAL audio runtime structure,
field,com/corrodinggames/rts/java/audio/lwjgl/OpenALAudio,J,nextSoundId,field_OpenALAudio_nextSoundId,nextSoundId,v0.60-audio-backend,desktop-audio-openal,high,javap field name / OpenAL audio runtime structure,
field,com/corrodinggames/rts/java/audio/lwjgl/OpenALAudio,Lcom/corrodinggames/rts/java/audio/a/o;,extensionToSoundClass,field_OpenALAudio_extensionToSoundClass,extensionToSoundClass,v0.60-audio-backend,desktop-audio-openal,high,javap field name / OpenAL audio runtime structure,
field,com/corrodinggames/rts/java/audio/lwjgl/OpenALAudio,Lcom/corrodinggames/rts/java/audio/a/o;,extensionToMusicClass,field_OpenALAudio_extensionToMusicClass,extensionToMusicClass,v0.60-audio-backend,desktop-audio-openal,high,javap field name / OpenAL audio runtime structure,
field,com/corrodinggames/rts/java/audio/lwjgl/OpenALAudio,[Lcom/corrodinggames/rts/java/audio/lwjgl/OpenALSound;,recentSounds,field_OpenALAudio_recentSounds,recentSounds,v0.60-audio-backend,desktop-audio-openal,high,javap field name / OpenAL audio runtime structure,
field,com/corrodinggames/rts/java/audio/lwjgl/OpenALAudio,I,mostRecetSound,field_OpenALAudio_mostRecentSound,mostRecentSound,v0.60-audio-backend,desktop-audio-openal,high,javap field name / OpenAL audio runtime structure,
field,com/corrodinggames/rts/java/audio/lwjgl/OpenALAudio,Ljava/util/ArrayList;,music,field_OpenALAudio_music,music,v0.60-audio-backend,desktop-audio-openal,high,javap field name / OpenAL audio runtime structure,
field,com/corrodinggames/rts/java/audio/lwjgl/OpenALAudio,Z,noDevice,field_OpenALAudio_noDevice,noDevice,v0.60-audio-backend,desktop-audio-openal,high,javap field name / OpenAL audio runtime structure,
field,com/corrodinggames/rts/java/audio/lwjgl/OpenALSound,I,bufferID,field_OpenALSound_bufferID,bufferID,v0.60-audio-backend,desktop-audio-openal,high,javap field name / OpenAL audio runtime structure,
field,com/corrodinggames/rts/java/audio/lwjgl/OpenALSound,Lcom/corrodinggames/rts/java/audio/lwjgl/OpenALAudio;,audio,field_OpenALSound_audio,audio,v0.60-audio-backend,desktop-audio-openal,high,javap field name / OpenAL audio runtime structure,
field,com/corrodinggames/rts/java/audio/lwjgl/OpenALSound,F,duration,field_OpenALSound_duration,duration,v0.60-audio-backend,desktop-audio-openal,high,javap field name / OpenAL audio runtime structure,
field,com/corrodinggames/rts/java/audio/lwjgl/OpenALSound,I,bytesUsed,field_OpenALSound_bytesUsed,bytesUsed,v0.60-audio-backend,desktop-audio-openal,high,javap field name / OpenAL audio runtime structure,
field,com/corrodinggames/rts/java/audio/lwjgl/OpenALMusic,I,bufferSize,field_OpenALMusic_bufferSize,bufferSize,v0.60-audio-backend,desktop-audio-openal,high,javap field name / OpenAL audio runtime structure,
