kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/java/audio/a/a,,,rw/audio/util/AudioFileHandle,rustedwarfare/audio/util/AudioFileHandle,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/a/b,,,rw/audio/util/FloatArray,rustedwarfare/audio/util/FloatArray,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/a/c,,,rw/audio/util/AudioRuntimeException,rustedwarfare/audio/util/AudioRuntimeException,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/a/d,,,rw/audio/util/IntArray,rustedwarfare/audio/util/IntArray,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/a/e,,,rw/audio/util/IntObjectMap,rustedwarfare/audio/util/IntObjectMap,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/a/f,,,rw/audio/util/IntObjectMapEntries,rustedwarfare/audio/util/IntObjectMapEntries,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/a/g,,,rw/audio/util/IntObjectMapEntry,rustedwarfare/audio/util/IntObjectMapEntry,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/a/h,,,rw/audio/util/IntObjectMapIterator,rustedwarfare/audio/util/IntObjectMapIterator,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/a/i,,,rw/audio/util/LongObjectMap,rustedwarfare/audio/util/LongObjectMap,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/a/j,,,rw/audio/util/LongObjectMapEntries,rustedwarfare/audio/util/LongObjectMapEntries,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/a/k,,,rw/audio/util/LongObjectMapEntry,rustedwarfare/audio/util/LongObjectMapEntry,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/a/l,,,rw/audio/util/LongObjectMapIterator,rustedwarfare/audio/util/LongObjectMapIterator,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/a/m,,,rw/audio/util/AudioMathUtils,rustedwarfare/audio/util/AudioMathUtils,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/a/n,,,rw/audio/util/AudioSinTable,rustedwarfare/audio/util/AudioSinTable,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/a/o,,,rw/audio/util/ObjectMap,rustedwarfare/audio/util/ObjectMap,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/a/p,,,rw/audio/util/ObjectMapEntries,rustedwarfare/audio/util/ObjectMapEntries,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/a/q,,,rw/audio/util/ObjectMapEntry,rustedwarfare/audio/util/ObjectMapEntry,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/a/r,,,rw/audio/util/ObjectMapIterator,rustedwarfare/audio/util/ObjectMapIterator,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/a/s,,,rw/audio/util/StreamUtils,rustedwarfare/audio/util/StreamUtils,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
class,com/corrodinggames/rts/java/audio/a/t,,,rw/audio/util/OptimizedByteArrayOutputStream,rustedwarfare/audio/util/OptimizedByteArrayOutputStream,v0.60-audio-backend,desktop-audio-openal,high,audio package / javap signature evidence,
field,com/corrodinggames/rts/java/audio/a/a,Ljava/io/InputStream;,a,field_AudioFileHandle_inputStream,inputStream,v0.60-audio-backend,desktop-audio-openal,high,javap: wraps InputStream for audio file data,
field,com/corrodinggames/rts/java/audio/a/a,Ljava/io/File;,b,field_AudioFileHandle_file,file,v0.60-audio-backend,desktop-audio-openal,high,javap: file-backed audio handle,
field,com/corrodinggames/rts/java/audio/a/a,Ljava/lang/String;,c,field_AudioFileHandle_path,path,v0.60-audio-backend,desktop-audio-openal,high,javap: string path / display extension,
method,com/corrodinggames/rts/java/audio/a/a,(Ljava/lang/String;)V,<init>,method_AudioFileHandle_<init>,<init>,v0.60-audio-backend,desktop-audio-openal,confirmed,constructor; named namespace must remain <init>,Constructor named namespace must remain <init>.
method,com/corrodinggames/rts/java/audio/a/a,(Ljava/io/InputStream;Ljava/lang/String;)V,<init>,method_AudioFileHandle_<init>,<init>,v0.60-audio-backend,desktop-audio-openal,confirmed,constructor; named namespace must remain <init>,Constructor named namespace must remain <init>.
method,com/corrodinggames/rts/java/audio/a/a,()Ljava/io/InputStream;,a,method_AudioFileHandle_read,read,v0.60-audio-backend,desktop-audio-openal,high,opens wrapped input stream,
method,com/corrodinggames/rts/java/audio/a/a,()Ljava/lang/String;,b,method_AudioFileHandle_extension,extension,v0.60-audio-backend,desktop-audio-openal,high,returns extension/path suffix used by OpenALAudio.newSound/newMusic,
field,com/corrodinggames/rts/java/audio/a/b,[F,a,field_FloatArray_items,items,v0.60-audio-backend,desktop-audio-openal,high,libGDX-style primitive array backing store,
field,com/corrodinggames/rts/java/audio/a/b,I,b,field_FloatArray_size,size,v0.60-audio-backend,desktop-audio-openal,high,libGDX-style primitive array size,
field,com/corrodinggames/rts/java/audio/a/b,Z,c,field_FloatArray_ordered,ordered,v0.60-audio-backend,desktop-audio-openal,high,libGDX-style primitive array ordered flag,
field,com/corrodinggames/rts/java/audio/a/d,[I,a,field_IntArray_items,items,v0.60-audio-backend,desktop-audio-openal,high,libGDX-style primitive array backing store,
field,com/corrodinggames/rts/java/audio/a/d,I,b,field_IntArray_size,size,v0.60-audio-backend,desktop-audio-openal,high,libGDX-style primitive array size,
field,com/corrodinggames/rts/java/audio/a/d,Z,c,field_IntArray_ordered,ordered,v0.60-audio-backend,desktop-audio-openal,high,libGDX-style primitive array ordered flag,
method,com/corrodinggames/rts/java/audio/a/b,()V,<init>,method_FloatArray_<init>,<init>,v0.60-audio-backend,desktop-audio-openal,confirmed,constructor; named namespace must remain <init>,Constructor named namespace must remain <init>.
