kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/gameFramework/m/l,,,rw/render/CanvasDrawTarget,rustedwarfare/render/CanvasDrawTarget,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/j,,,rw/render/AndroidCanvasDrawTarget,rustedwarfare/render/AndroidCanvasDrawTarget,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/k,,,rw/render/GlCanvasDrawTarget,rustedwarfare/render/GlCanvasDrawTarget,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/n,,,rw/render/NoOpCanvasDrawTarget,rustedwarfare/render/NoOpCanvasDrawTarget,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/u,,,rw/render/AbstractCanvasDrawTarget,rustedwarfare/render/AbstractCanvasDrawTarget,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/o,,,rw/render/QueuedCanvasDrawTarget,rustedwarfare/render/QueuedCanvasDrawTarget,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/q,,,rw/render/ReusableDrawObjectPool,rustedwarfare/render/ReusableDrawObjectPool,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/s,,,rw/render/QueuedCanvasCommand,rustedwarfare/render/QueuedCanvasCommand,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/t,,,rw/render/QueuedCanvasCommandPool,rustedwarfare/render/QueuedCanvasCommandPool,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
field,com/corrodinggames/rts/gameFramework/m/s,Lcom/corrodinggames/rts/gameFramework/m/p;,a,field_s_operation,operation,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,QueuedCanvasDrawTarget writes CanvasOperation into command before replay,
field,com/corrodinggames/rts/gameFramework/m/s,[Ljava/lang/Object;,b,field_s_args,args,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,QueuedCanvasDrawTarget stores up to 8 object args,
field,com/corrodinggames/rts/gameFramework/m/s,F,c,field_s_floatArg0,floatArg0,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,QueuedCanvasDrawTarget stores primitive float arguments on command,
field,com/corrodinggames/rts/gameFramework/m/s,F,d,field_s_floatArg1,floatArg1,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,QueuedCanvasDrawTarget stores primitive float arguments on command,
field,com/corrodinggames/rts/gameFramework/m/s,F,e,field_s_floatArg2,floatArg2,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,QueuedCanvasDrawTarget stores primitive float arguments on command,
field,com/corrodinggames/rts/gameFramework/m/s,F,f,field_s_floatArg3,floatArg3,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,QueuedCanvasDrawTarget stores primitive float arguments on command,
field,com/corrodinggames/rts/gameFramework/m/s,Lcom/corrodinggames/rts/gameFramework/m/o;,g,field_s_owner,owner,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,QueuedCanvasCommand constructor captures owner queue,
field,com/corrodinggames/rts/gameFramework/m/q,Lcom/corrodinggames/rts/gameFramework/utility/m;,a,field_q_pooledObjects,pooledObjects,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,ReusableDrawObjectPool stores reused Rect/RectF/Paint objects,
field,com/corrodinggames/rts/gameFramework/m/q,I,b,field_q_borrowedCount,borrowedCount,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,incremented each time a pooled copy is borrowed,
field,com/corrodinggames/rts/gameFramework/m/q,Ljava/lang/Class;,c,field_q_objectClass,objectClass,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,constructor stores requested pooled class,
method,com/corrodinggames/rts/gameFramework/m/q,(Landroid/graphics/Rect;)Landroid/graphics/Rect;,a,method_q_copyRect__Landroid_graphics_Rect_Landroid_graphics_Rect_,copyRect,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,copies Rect fields into reusable object,
method,com/corrodinggames/rts/gameFramework/m/q,(Landroid/graphics/RectF;)Landroid/graphics/RectF;,a,method_q_copyRectF__Landroid_graphics_RectF_Landroid_graphics_RectF_,copyRectF,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,copies RectF fields into reusable object,
method,com/corrodinggames/rts/gameFramework/m/q,(Landroid/graphics/Paint;)Landroid/graphics/Paint;,a,method_q_copyPaint__Landroid_graphics_Paint_Landroid_graphics_Paint_,copyPaint,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,Paint.a(Paint) copies paint into reusable object,
field,com/corrodinggames/rts/gameFramework/m/t,I,a,field_t_size,size,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,dynamic array size; grows in addCommandSlot,
