kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/gameFramework/m/p,,,rw/render/CanvasOperation,rustedwarfare/render/CanvasOperation,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
field,com/corrodinggames/rts/gameFramework/m/p,Lcom/corrodinggames/rts/gameFramework/m/p;,a,field_p_clipPathPathOp,clipPathPathOp,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"CanvasOperation enum <clinit> string ""clipPath_Path_Op""",
field,com/corrodinggames/rts/gameFramework/m/p,Lcom/corrodinggames/rts/gameFramework/m/p;,b,field_p_clipPathPath,clipPathPath,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"CanvasOperation enum <clinit> string ""clipPath_Path""",
field,com/corrodinggames/rts/gameFramework/m/p,Lcom/corrodinggames/rts/gameFramework/m/p;,c,field_p_clipRectFloatFloatFloatFloatOp,clipRectFloatFloatFloatFloatOp,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"CanvasOperation enum <clinit> string ""clipRect_float_float_float_float_Op""",
field,com/corrodinggames/rts/gameFramework/m/p,Lcom/corrodinggames/rts/gameFramework/m/p;,d,field_p_clipRectFloatFloatFloatFloat,clipRectFloatFloatFloatFloat,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"CanvasOperation enum <clinit> string ""clipRect_float_float_float_float""",
field,com/corrodinggames/rts/gameFramework/m/p,Lcom/corrodinggames/rts/gameFramework/m/p;,e,field_p_clipRectIntIntIntInt,clipRectIntIntIntInt,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"CanvasOperation enum <clinit> string ""clipRect_int_int_int_int""",
field,com/corrodinggames/rts/gameFramework/m/p,Lcom/corrodinggames/rts/gameFramework/m/p;,f,field_p_clipRectRectOp,clipRectRectOp,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"CanvasOperation enum <clinit> string ""clipRect_Rect_Op""",
field,com/corrodinggames/rts/gameFramework/m/p,Lcom/corrodinggames/rts/gameFramework/m/p;,g,field_p_clipRectRect,clipRectRect,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"CanvasOperation enum <clinit> string ""clipRect_Rect""",
field,com/corrodinggames/rts/gameFramework/m/p,Lcom/corrodinggames/rts/gameFramework/m/p;,h,field_p_clipRectRectFOp,clipRectRectFOp,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"CanvasOperation enum <clinit> string ""clipRect_RectF_Op""",
field,com/corrodinggames/rts/gameFramework/m/p,Lcom/corrodinggames/rts/gameFramework/m/p;,i,field_p_clipRectRectF,clipRectRectF,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"CanvasOperation enum <clinit> string ""clipRect_RectF""",
field,com/corrodinggames/rts/gameFramework/m/p,Lcom/corrodinggames/rts/gameFramework/m/p;,j,field_p_concatMatrix,concatMatrix,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"CanvasOperation enum <clinit> string ""concat_Matrix""",
field,com/corrodinggames/rts/gameFramework/m/p,Lcom/corrodinggames/rts/gameFramework/m/p;,k,field_p_drawARGBIntIntIntInt,drawARGBIntIntIntInt,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"CanvasOperation enum <clinit> string ""drawARGB_int_int_int_int""",
field,com/corrodinggames/rts/gameFramework/m/p,Lcom/corrodinggames/rts/gameFramework/m/p;,l,field_p_drawArcRectFFloatFloatBooleanPaint,drawArcRectFFloatFloatBooleanPaint,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"CanvasOperation enum <clinit> string ""drawArc_RectF_float_float_boolean_Paint""",
field,com/corrodinggames/rts/gameFramework/m/p,Lcom/corrodinggames/rts/gameFramework/m/p;,m,field_p_drawBitmapBitmapFloatFloatPaint,drawBitmapBitmapFloatFloatPaint,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"CanvasOperation enum <clinit> string ""drawBitmap_Bitmap_float_float_Paint""",
field,com/corrodinggames/rts/gameFramework/m/p,Lcom/corrodinggames/rts/gameFramework/m/p;,n,field_p_drawBitmapBitmapMatrixPaint,drawBitmapBitmapMatrixPaint,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"CanvasOperation enum <clinit> string ""drawBitmap_Bitmap_Matrix_Paint""",
field,com/corrodinggames/rts/gameFramework/m/p,Lcom/corrodinggames/rts/gameFramework/m/p;,o,field_p_drawBitmapBitmapRectRectPaint,drawBitmapBitmapRectRectPaint,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"CanvasOperation enum <clinit> string ""drawBitmap_Bitmap_Rect_Rect_Paint""",
field,com/corrodinggames/rts/gameFramework/m/p,Lcom/corrodinggames/rts/gameFramework/m/p;,p,field_p_drawBitmapBitmapRectRectFPaint,drawBitmapBitmapRectRectFPaint,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"CanvasOperation enum <clinit> string ""drawBitmap_Bitmap_Rect_RectF_Paint""",
field,com/corrodinggames/rts/gameFramework/m/p,Lcom/corrodinggames/rts/gameFramework/m/p;,q,field_p_drawBitmapIntarrayIntIntFloatFloatIntIntBooleanPaint,drawBitmapIntarrayIntIntFloatFloatIntIntBooleanPaint,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"CanvasOperation enum <clinit> string ""drawBitmap_intarray_int_int_float_float_int_int_boolean_Paint""",
field,com/corrodinggames/rts/gameFramework/m/p,Lcom/corrodinggames/rts/gameFramework/m/p;,r,field_p_drawBitmapIntarrayIntIntIntIntIntIntBooleanPaint,drawBitmapIntarrayIntIntIntIntIntIntBooleanPaint,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"CanvasOperation enum <clinit> string ""drawBitmap_intarray_int_int_int_int_int_int_boolean_Paint""",
field,com/corrodinggames/rts/gameFramework/m/p,Lcom/corrodinggames/rts/gameFramework/m/p;,s,field_p_drawBitmapMeshBitmapIntIntFloatarrayIntIntarrayIntPaint,drawBitmapMeshBitmapIntIntFloatarrayIntIntarrayIntPaint,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"CanvasOperation enum <clinit> string ""drawBitmapMesh_Bitmap_int_int_floatarray_int_intarray_int_Paint""",
field,com/corrodinggames/rts/gameFramework/m/p,Lcom/corrodinggames/rts/gameFramework/m/p;,t,field_p_drawCircleFloatFloatFloatPaint,drawCircleFloatFloatFloatPaint,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"CanvasOperation enum <clinit> string ""drawCircle_float_float_float_Paint""",
field,com/corrodinggames/rts/gameFramework/m/p,Lcom/corrodinggames/rts/gameFramework/m/p;,u,field_p_drawColorIntMode,drawColorIntMode,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"CanvasOperation enum <clinit> string ""drawColor_int_Mode""",
field,com/corrodinggames/rts/gameFramework/m/p,Lcom/corrodinggames/rts/gameFramework/m/p;,v,field_p_drawColorInt,drawColorInt,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"CanvasOperation enum <clinit> string ""drawColor_int""",
