kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/gameFramework/bp,,,rw/stats/TeamStatsSerializationVersion,rustedwarfare/stats/TeamStatsSerializationVersion,v0.71-core-debug-stats,core-debug-stats,high,TeamStats writes current enum ordinal byte and checks V220911_ADDED_HISTORY before deserializing history,
class,com/corrodinggames/rts/gameFramework/bl,,,rw/stats/StatsEventDispatcher,rustedwarfare/stats/StatsEventDispatcher,v0.71-core-debug-stats,core-debug-stats,high,StatsEngine static field dispatches Unit killed events to listener list,
class,com/corrodinggames/rts/gameFramework/bk,,,rw/stats/StatsEventListener,rustedwarfare/stats/StatsEventListener,v0.71-core-debug-stats,core-debug-stats,high,"StatsEventDispatcher iterates listeners and invokes a(attacker,victim,null)",
class,com/corrodinggames/rts/gameFramework/bm,,,rw/stats/CombinedTeamStats,rustedwarfare/stats/CombinedTeamStats,v0.71-core-debug-stats,core-debug-stats,high,Constructor accepts ArrayList<TeamStats> and sums counters/merged histories,
class,com/corrodinggames/rts/gameFramework/bh,,,rw/stats/StatsHistoryPoint,rustedwarfare/stats/StatsHistoryPoint,v0.71-core-debug-stats,core-debug-stats,high,Immutable frame/value pair used by StatsHistorySeries,
class,com/corrodinggames/rts/gameFramework/bi,,,rw/stats/StatsHistorySeries,rustedwarfare/stats/StatsHistorySeries,v0.71-core-debug-stats,core-debug-stats,high,StatsHistory owns array of metric series and retrieves values by frame,
class,com/corrodinggames/rts/gameFramework/g/f,,,rw/stats/TeamStatValueSource,rustedwarfare/stats/TeamStatValueSource,v0.71-core-debug-stats,core-debug-stats,high,Enum values none/income/armyValue/buildingValue/totalValue/credits calculate team stat value from Team,
method,com/corrodinggames/rts/gameFramework/bg,(IZZ)V,a,method_bg_recordStatsHistorySnapshot,recordStatsHistorySnapshot,v0.71-core-debug-stats,core-debug-stats,high,Private helper iterates TeamStats.history and appends forced/periodic metric snapshots,
field,com/corrodinggames/rts/gameFramework/bo,I,c,field_bo_unitsKilled,unitsKilled,v0.71-core-debug-stats,core-debug-stats,high,Stats table renderer labels this TeamStats field as Units Killed,
field,com/corrodinggames/rts/gameFramework/bo,I,d,field_bo_buildingsKilled,buildingsKilled,v0.71-core-debug-stats,core-debug-stats,high,Stats table renderer labels this TeamStats field as Buildings Killed,
field,com/corrodinggames/rts/gameFramework/bo,I,e,field_bo_experimentalsKilled,experimentalsKilled,v0.71-core-debug-stats,core-debug-stats,high,Stats table renderer labels this TeamStats field as Experimentals Killed,
field,com/corrodinggames/rts/gameFramework/bo,I,f,field_bo_unitsLost,unitsLost,v0.71-core-debug-stats,core-debug-stats,high,Stats table renderer labels this TeamStats field as Units Lost,
field,com/corrodinggames/rts/gameFramework/bo,I,g,field_bo_buildingsLost,buildingsLost,v0.71-core-debug-stats,core-debug-stats,high,Stats table renderer labels this TeamStats field as Buildings Lost,
field,com/corrodinggames/rts/gameFramework/bo,I,h,field_bo_experimentalsLost,experimentalsLost,v0.71-core-debug-stats,core-debug-stats,high,Stats table renderer labels this TeamStats field as Experimentals Lost,
field,com/corrodinggames/rts/gameFramework/bo,Lcom/corrodinggames/rts/gameFramework/bn;,l,field_bo_history,history,v0.71-core-debug-stats,core-debug-stats,high,TeamStats constructor allocates StatsHistory and serialize/deserialize writes it after V220911_ADDED_HISTORY,
field,com/corrodinggames/rts/gameFramework/bo,B,m,field_bo_serializationVersion,serializationVersion,v0.71-core-debug-stats,core-debug-stats,medium,TeamStats static initializer stores TeamStatsSerializationVersion.V220911_ADDED_HISTORY.ordinal() as byte,
field,com/corrodinggames/rts/gameFramework/bp,Lcom/corrodinggames/rts/gameFramework/bp;,a,field_bp_ORIGINAL,ORIGINAL,v0.71-core-debug-stats,core-debug-stats,high,Enum clinit creates values ORIGINAL and V220911_ADDED_HISTORY,
field,com/corrodinggames/rts/gameFramework/bp,Lcom/corrodinggames/rts/gameFramework/bp;,b,field_bp_V220911_ADDED_HISTORY,V220911_ADDED_HISTORY,v0.71-core-debug-stats,core-debug-stats,high,TeamStats.deserialize compares version byte with bp.b before reading StatsHistory,
field,com/corrodinggames/rts/gameFramework/bl,Lcom/corrodinggames/rts/gameFramework/utility/m;,a,field_bl_listeners,listeners,v0.71-core-debug-stats,core-debug-stats,high,StatsEventDispatcher iterates utility/m listener list,
method,com/corrodinggames/rts/gameFramework/bl,(Lcom/corrodinggames/rts/game/units/am;Lcom/corrodinggames/rts/game/units/am;)V,a,method_bl_notifyUnitKilled,notifyUnitKilled,v0.71-core-debug-stats,core-debug-stats,high,"Dispatcher iterates StatsEventListener instances and calls onUnitKilled(attacker,victim,null)",
method,com/corrodinggames/rts/gameFramework/bk,(Lcom/corrodinggames/rts/game/units/am;Lcom/corrodinggames/rts/game/units/am;Ljava/lang/Object;)V,a,method_bk_onUnitKilled,onUnitKilled,v0.71-core-debug-stats,core-debug-stats,high,Abstract listener callback invoked by StatsEventDispatcher when a unit kill is recorded,
method,com/corrodinggames/rts/gameFramework/bm,(Ljava/util/ArrayList;)V,<init>,<init>,<init>,v0.71-core-debug-stats,core-debug-stats,high,CombinedTeamStats constructor sums TeamStats counters and merges history series,
field,com/corrodinggames/rts/gameFramework/bn,I,a,field_bn_teamIndex,teamIndex,v0.71-core-debug-stats,core-debug-stats,high,StatsHistory stores team index; setter/getter pair a(int)/b() used by chart renderer,
field,com/corrodinggames/rts/gameFramework/bn,[Lcom/corrodinggames/rts/gameFramework/bi;,b,field_bn_metricSeries,metricSeries,v0.71-core-debug-stats,core-debug-stats,high,StatsHistory owns one StatsHistorySeries per StatsHistoryMetric enum,
method,com/corrodinggames/rts/gameFramework/bn,()V,a,method_bn_resetSeries,resetSeries,v0.71-core-debug-stats,core-debug-stats,high,StatsHistory allocates/clears metric series array,
method,com/corrodinggames/rts/gameFramework/bn,(Lcom/corrodinggames/rts/game/n;IZ)V,a,method_bn_appendSnapshotForTeam,appendSnapshotForTeam,v0.71-core-debug-stats,core-debug-stats,high,"StatsEngine passes Team, frame, forced flag and records metric values for TeamStatValueSource",
method,com/corrodinggames/rts/gameFramework/bn,(I)V,a,method_bn_setTeamIndex,setTeamIndex,v0.71-core-debug-stats,core-debug-stats,high,Simple setter for StatsHistory team index,
method,com/corrodinggames/rts/gameFramework/bn,()I,b,method_bn_getTeamIndex,getTeamIndex,v0.71-core-debug-stats,core-debug-stats,high,Simple getter for StatsHistory team index,
method,com/corrodinggames/rts/gameFramework/bn,(Lcom/corrodinggames/rts/gameFramework/bj;)Lcom/corrodinggames/rts/gameFramework/bi;,a,method_bn_getSeries,getSeries,v0.71-core-debug-stats,core-debug-stats,high,Returns StatsHistorySeries for a StatsHistoryMetric,
method,com/corrodinggames/rts/gameFramework/bn,()Z,c,method_bn_hasHistory,hasHistory,v0.71-core-debug-stats,core-debug-stats,high,Returns true when any metric series contains data,
