kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes,new_named_name,new_intermediary_name
class,com/corrodinggames/rts/gameFramework/bn,,,rw/internal/gameFramework/bn,rustedwarfare/internal/gameFramework/bn,v0.48-runtime-save-load-serialization,save-load-owner-support,low-generic,owner class row required so serialization method mappings enter Tiny,,rustedwarfare/stats/StatsHistory,rw/stats/StatsHistory
class,com/corrodinggames/rts/gameFramework/bj,,,rw/ui/stats/StatMetricType,rustedwarfare/ui/stats/StatMetricType,v0.9-base,,,,,rustedwarfare/stats/StatsHistoryMetric,rw/stats/StatsHistoryMetric
field,com/corrodinggames/rts/gameFramework/bg,Z,e,field_StatsEngine_dirty,dirty,v0.11-save-sync,stats-save,low-medium,Dirty/rebuild flag,,historyRecordingEnabled,field_bg_historyRecordingEnabled
field,com/corrodinggames/rts/gameFramework/bg,Lcom/corrodinggames/rts/gameFramework/bl;,f,field_StatsEngine_eventListener,eventListener,v0.11-save-sync,stats-save,low-medium,Stats event listener/static hook,,unitKillEventDispatcher,field_bg_unitKillEventDispatcher
method,com/corrodinggames/rts/gameFramework/bg,()V,b,method_StatsEngine_resetTeamStats,resetTeamStats,v0.11-save-sync,stats-save,medium,Reinitializes team stats structures,,recordPeriodicStatsSnapshot,method_bg_recordPeriodicStatsSnapshot
method,com/corrodinggames/rts/gameFramework/bg,()V,c,method_StatsEngine_updateStats,updateStats,v0.11-save-sync,stats-save,medium,Periodic stats update/snapshot,,finalizeStatsHistory,method_bg_finalizeStatsHistory
method,com/corrodinggames/rts/gameFramework/bg,()Ljava/util/ArrayList;,d,method_StatsEngine_getStatsSeriesList,getStatsSeriesList,v0.11-save-sync,stats-save,medium,Returns stats series list for postgame/UI,,getStatsWithHistory,method_bg_getStatsWithHistory
method,com/corrodinggames/rts/gameFramework/bn,(Lcom/corrodinggames/rts/gameFramework/j/k;)V,a,method_com_corrodinggames_rts_gameFramework_bn_deserialize,deserialize,v0.48-runtime-save-load-serialization,runtime-save-load,high,direct GameOutputStream/GameInputStream state method; completed stream-method coverage pass,Generic state method name chosen to avoid over-specific guesses.,deserialize,method_bn_deserialize
method,com/corrodinggames/rts/gameFramework/bn,(Lcom/corrodinggames/rts/gameFramework/j/as;)V,a,method_com_corrodinggames_rts_gameFramework_bn_serialize,serialize,v0.48-runtime-save-load-serialization,runtime-save-load,high,direct GameOutputStream/GameInputStream state method; completed stream-method coverage pass,Generic state method name chosen to avoid over-specific guesses.,serialize,method_bn_serialize
field,com/corrodinggames/rts/gameFramework/bj,Lcom/corrodinggames/rts/gameFramework/bj;,a,field_bj_a_INCOME,INCOME,v0.9-base,,,,,INCOME,field_bj_INCOME
field,com/corrodinggames/rts/gameFramework/bj,Lcom/corrodinggames/rts/gameFramework/bj;,b,field_bj_b_ARMY_VALUE,ARMY_VALUE,v0.9-base,,,,,ARMY_VALUE,field_bj_ARMY_VALUE
field,com/corrodinggames/rts/gameFramework/bj,Lcom/corrodinggames/rts/gameFramework/bj;,c,field_bj_c_BUILDING_VALUE,BUILDING_VALUE,v0.9-base,,,,,BUILDING_VALUE,field_bj_BUILDING_VALUE
field,com/corrodinggames/rts/gameFramework/bj,Lcom/corrodinggames/rts/gameFramework/bj;,d,field_bj_d_TOTAL_VALUE,TOTAL_VALUE,v0.9-base,,,,,TOTAL_VALUE,field_bj_TOTAL_VALUE
field,com/corrodinggames/rts/gameFramework/bj,Lcom/corrodinggames/rts/gameFramework/g/f;,e,field_bj_e_statProvider,statProvider,v0.9-base,,,,,valueSource,field_bj_valueSource
method,com/corrodinggames/rts/gameFramework/bj,()Lcom/corrodinggames/rts/gameFramework/g/f;,a,method_bj_a_getStatProvider,getStatProvider,v0.9-base,,,,,getValueSource,method_bj_getValueSource
