owner_official,kind,official_name,descriptor,expected_named_name,actual_named_name,present,evidence
com/corrodinggames/rts/game/units/custom/aj,field,e,I,cachedLocaleVersion,cachedLocaleVersion,true,resolveStaticText/resolveForUnit compare this field to the global locale version before re-resolving text.
com/corrodinggames/rts/game/units/custom/aj,field,a,Lcom/corrodinggames/rts/game/units/custom/aj;,EMPTY,EMPTY,true,"LocalizedString.<clinit> calls fromLiteral("""") and stores it in the static singleton field."
com/corrodinggames/rts/game/units/custom/aj,field,h,Lcom/corrodinggames/rts/game/units/custom/l;,metadata,metadata,true,Constructors store the CustomUnitMetadata reference here; parseDynamicTextResolvers passes it to LogicBooleanLoader.parseBooleanBlock.
com/corrodinggames/rts/game/units/custom/aj,field,d,Ljava/lang/String;,cachedText,cachedText,true,refreshLocalizedText writes the selected localized string here; resolveStaticText and resolveForUnit return it when no dynamic resolvers are present.
com/corrodinggames/rts/game/units/custom/aj,field,f,Ljava/lang/String;,translationKey,translationKey,true,fromData copies LocalizedStringData.translationKey into this field; refreshLocalizedText uses it through the translation manager when non-null.
com/corrodinggames/rts/game/units/custom/aj,field,g,Ljava/lang/String;,dynamicParseError,dynamicParseError,true,parseDynamicTextResolvers stores 'Error: ... [parsing: ...]' here when LogicBoolean parsing for a '%{...}' segment fails.
com/corrodinggames/rts/game/units/custom/aj,field,b,[Lcom/corrodinggames/rts/game/units/custom/ak;,dynamicTextResolvers,dynamicTextResolvers,true,refreshTextAndDynamicResolvers parses cachedText containing '%{' into DynamicTextResolver[] and resolveDynamicTextForUnit iterates this array.
com/corrodinggames/rts/game/units/custom/aj,field,c,[Lcom/corrodinggames/rts/game/units/custom/bc;,localizedEntries,localizedEntries,true,fromLiteral/fromData populate this with LocalizedStringEntry values; refreshLocalizedText searches by current locale then default locale.
com/corrodinggames/rts/game/units/custom/j,field,o,F,generationDelayTimer,generationDelayTimer,true,"CustomUnit.update accumulates delta here until it reaches CustomUnitMetadata.generationDelay, then applies generationResources."
com/corrodinggames/rts/game/units/custom/j,field,q,F,updateUnitMemoryTimer,updateUnitMemoryTimer,true,"CustomUnit.update accumulates delta here until updateUnitMemoryRate, then executes updateUnitMemory and resets the timer; serialized at version >= 11."
com/corrodinggames/rts/game/units/custom/j,field,dO,I,currentActionRepeatedCount,currentActionRepeatedCount,true,executeActionWithContext stores the repeat count here; LogicBooleanGameFunctions$ThisActionRepeatedCount reads this field.
com/corrodinggames/rts/game/units/custom/j,field,dM,Landroid/graphics/PointF;,currentActionTargetPoint,currentActionTargetPoint,true,executeActionWithContext stores the current PointF target here; ThisActionTargetReference converts it to the neutral marker unit when no target unit exists.
com/corrodinggames/rts/game/units/custom/j,field,dN,Lcom/corrodinggames/rts/game/units/am;,currentActionTargetUnit,currentActionTargetUnit,true,executeActionWithContext stores the current target unit here; UnitReference$ThisActionTargetReference reads it before falling back to currentActionTargetPoint.
com/corrodinggames/rts/game/units/custom/j,field,dU,Ljava/util/ArrayList;,upgradeActionScratchList,upgradeActionScratchList,true,Static scratch list cleared and filled by getUpgradeActions with CustomAction entries whose aiUse is upgrade.
com/corrodinggames/rts/game/units/custom/j,field,p,Z,generationResourcesActive,generationResourcesActive,true,Stores the current generationActiveLogic result; update team registry when it changes and apply generationResources only when true.
