owner_official,named_class,members_considered,mapped_before,mapped_after,newly_mapped
com/corrodinggames/rts/game/units/custom/as$13,rustedwarfare/custom/stats/MutableStatAccessor$MaxEnergyRuntime,3,1,3,2
com/corrodinggames/rts/game/units/custom/as$15,rustedwarfare/custom/stats/MutableStatAccessor$MaxHpRuntime,3,1,3,2
com/corrodinggames/rts/game/units/custom/as$17,rustedwarfare/custom/stats/MutableStatAccessor$MaxShieldRuntime,3,1,3,2
com/corrodinggames/rts/game/units/custom/at,rustedwarfare/custom/stats/MutableStatAccessor,7,6,7,1
com/corrodinggames/rts/game/units/custom/au,rustedwarfare/custom/stats/MutableStatWriterFactory,2,0,2,2
com/corrodinggames/rts/game/units/custom/aw,rustedwarfare/custom/stats/MetadataMutableStatAccessor,5,0,5,5
com/corrodinggames/rts/game/units/custom/ax,rustedwarfare/custom/stats/RuntimeMutableStatAccessor,5,0,5,5
com/corrodinggames/rts/game/units/custom/b/j,rustedwarfare/custom/runtime/RepelFromUnitsBehavior,8,3,8,5
com/corrodinggames/rts/game/units/custom/b/l,rustedwarfare/custom/runtime/RandomMovementBehavior,7,3,7,4
com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$HasFlagBoolean,rustedwarfare/custom/logic/LogicBooleanGameFunctions$HasFlagBoolean,8,7,8,1
com/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanGameFunctions$HasFlagDynamicBoolean,rustedwarfare/custom/logic/LogicBooleanGameFunctions$HasFlagDynamicBoolean,4,3,4,1
com/corrodinggames/rts/game/units/custom/logicBooleans/LogicNumberFunction$CreateMarker,rustedwarfare/custom/logic/LogicNumberFunction$CreateMarker,8,6,8,2
com/corrodinggames/rts/game/units/custom/logicBooleans/LogicNumberFunction$FunctionDirection,rustedwarfare/custom/logic/LogicNumberFunction$FunctionDirection,6,2,6,4
com/corrodinggames/rts/game/units/custom/logicBooleans/LogicNumberFunction$FunctionDistance,rustedwarfare/custom/logic/LogicNumberFunction$FunctionDistance,6,2,6,4
com/corrodinggames/rts/game/units/custom/logicBooleans/LogicNumberFunction$FunctionDistanceSquared,rustedwarfare/custom/logic/LogicNumberFunction$FunctionDistanceSquared,6,2,6,4
com/corrodinggames/rts/game/units/custom/logicBooleans/LogicNumberFunction$FunctionLength,rustedwarfare/custom/logic/LogicNumberFunction$FunctionLength,3,2,3,1
com/corrodinggames/rts/game/units/custom/logicBooleans/LogicNumberFunction$FunctionMax,rustedwarfare/custom/logic/LogicNumberFunction$FunctionMax,4,2,4,2
com/corrodinggames/rts/game/units/custom/logicBooleans/LogicNumberFunction$FunctionMin,rustedwarfare/custom/logic/LogicNumberFunction$FunctionMin,4,2,4,2
com/corrodinggames/rts/game/units/custom/logicBooleans/UnitReference$GetOffsetAbsolute,rustedwarfare/custom/logic/UnitReference$GetOffsetAbsolute,5,3,5,2
com/corrodinggames/rts/game/units/custom/logicBooleans/UnitReference$GetOffsetRelative,rustedwarfare/custom/logic/UnitReference$GetOffsetRelative,7,5,7,2
com/corrodinggames/rts/game/units/custom/logicBooleans/UnitReference$GetOffsetRelativeStatic,rustedwarfare/custom/logic/UnitReference$GetOffsetRelativeStatic,6,4,6,2
com/corrodinggames/rts/game/units/custom/logicBooleans/VariableScope$VariableName,rustedwarfare/custom/logic/VariableScope$VariableName,7,6,7,1
