kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
field,com/corrodinggames/rts/game/units/custom/l,Z,bE,field_l_hasLaserDefenceTurrets,hasLaserDefenceTurrets,v0.78-custom-turret-projectile-effect,custom-turret-projectile-effect,high,TurretTemplate parser reads laserDefenceEnergyUse; when present it sets metadata l.bE true and installs TurretProjectileBehavior laser-defence logic.,
field,com/corrodinggames/rts/game/units/custom/l,Z,bF,field_l_hasProjectileInterceptorTurrets,hasProjectileInterceptorTurrets,v0.78-custom-turret-projectile-effect,custom-turret-projectile-effect,high,TurretTemplate parser reads interceptProjectiles_withTags; when present it sets metadata l.bF true and installs projectile-interceptor behavior. CustomUnit runtime checks l.bF before drawing/interpreting interceptor range state.,
field,com/corrodinggames/rts/game/units/custom/l,Z,bG,field_l_hasTurretLimitingAngles,hasTurretLimitingAngles,v0.78-custom-turret-projectile-effect,custom-turret-projectile-effect,high,TurretTemplate parser reads limitingAngle; any non-negative limitingAngle sets metadata l.bG true for runtime turret-angle limit handling.,
field,com/corrodinggames/rts/game/units/custom/l,Z,ex,field_l_requiresTurretTagFilterTargetCheck,requiresTurretTagFilterTargetCheck,v0.78-custom-turret-projectile-effect,custom-turret-projectile-effect,high,CustomUnitLoader finalization scans armed turret templates and sets l.ex true when targeting cannot be decided by unit-level tags alone; CustomUnit targetability code then scans turret tag filters before accepting a target.,"Derived flag, not a direct INI boolean."
field,com/corrodinggames/rts/game/units/custom/l,I,em,field_l_reloadProgressTurretIndex,reloadProgressTurretIndex,v0.78-custom-turret-projectile-effect,custom-turret-projectile-effect,high,CustomUnitLoader finalization chooses the non-linked attack turret with delay above the UI threshold and stores its index in l.em; CustomUnit.bW uses cL[em].reloadTimer / delay for reload progress display.,Derived from TurretTemplate delay and link state.
field,com/corrodinggames/rts/game/units/custom/l,I,en,field_l_warmupProgressTurretIndex,warmupProgressTurretIndex,v0.78-custom-turret-projectile-effect,custom-turret-projectile-effect,high,CustomUnitLoader finalization chooses the turret with warmup above the UI threshold and stores its index in l.en; CustomUnit.bW uses cL[en].warmupTimer / warmup for warmup progress display.,Derived from TurretTemplate warmup.
field,com/corrodinggames/rts/game/units/custom/l,Z,fU,field_l_hasAttachedTurretLinks,hasAttachedTurretLinks,v0.78-custom-turret-projectile-effect,custom-turret-projectile-effect,high,TurretTemplate parser resolves attachedTo links and sets l.fU true; CustomUnit turret update code checks fU to propagate angle/timer updates to attached child turrets.,
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/bn;,fV,field_l_mainNanoTurret,mainNanoTurret,v0.78-custom-turret-projectile-effect,custom-turret-projectile-effect,high,TurretTemplate parser reads isMainNanoTurret and stores the current TurretTemplate in l.fV; CustomUnit nano-turret helpers read fV.e for the main nano turret index.,
field,com/corrodinggames/rts/game/units/custom/l,Z,fP,field_l_hasChargeEffectImages,hasChargeEffectImages,v0.78-custom-turret-projectile-effect,custom-turret-projectile-effect,high,TurretTemplate parser reads chargeEffectImage into turret charge-effect image field and sets l.fP true; CustomUnit rendering checks l.fP before drawing per-turret charge effect images by warmup ratio.,
method,com/corrodinggames/rts/game/units/y,(IF)V,a,method_y_addTurretAimAngle,addTurretAimAngle,v0.78-custom-turret-projectile-effect,custom-turret-projectile-effect,high,"OrderableUnit.a(int,float) increments cL[turretIndex].aimAngle by deltaAngle. CustomUnit overrides this to propagate the same delta to attached turret links when metadata.hasAttachedTurretLinks is true.",Base implementation for turret aim-angle adjustment.
method,com/corrodinggames/rts/game/units/custom/j,(IF)V,a,method_j_addTurretAimAngle,addTurretAimAngle,v0.78-custom-turret-projectile-effect,custom-turret-projectile-effect,high,"CustomUnit.a(int,float) increments the selected turret aim angle and, when metadata.hasAttachedTurretLinks is true, applies the same delta to attached child turrets whose attachedToIndex matches the changed turret.",Override of OrderableUnit.addTurretAimAngle with attached-turret propagation.
method,com/corrodinggames/rts/game/units/y,()I,aT,method_y_getMainNanoTurretIndex,getMainNanoTurretIndex,v0.78-custom-turret-projectile-effect,custom-turret-projectile-effect,high,OrderableUnit.aT() returns -1 by default; call sites use it to select a preferred nano/repair turret index and fall back when -1.,Base default for units without a main nano turret.
method,com/corrodinggames/rts/game/units/custom/j,()I,aT,method_j_getMainNanoTurretIndex,getMainNanoTurretIndex,v0.78-custom-turret-projectile-effect,custom-turret-projectile-effect,high,CustomUnit.aT() returns metadata.mainNanoTurret.e or -1; metadata.mainNanoTurret is set only by [turret_*]isMainNanoTurret.,Override backed by CustomUnitMetadata.mainNanoTurret.
field,com/corrodinggames/rts/game/units/custom/ba,I,a,field_ba_index,index,v0.78-custom-turret-projectile-effect,custom-turret-projectile-effect,high,CustomUnitLoader assigns LegOrArmTemplate.a from the leg/arm slot index; neighbor cache stores other LegOrArmTemplate.index values into neighboringLegIndices.,
field,com/corrodinggames/rts/game/units/custom/ba,Ljava/lang/String;,b,field_ba_name,name,v0.78-custom-turret-projectile-effect,custom-turret-projectile-effect,high,"parseFromConfig stores sectionName.replace(""_"", """") into LegOrArmTemplate.b; metadata lookup/logging compares against this normalized name.",
