kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
field,com/corrodinggames/rts/game/units/custom/l,Z,cn,field_l_hasPeriodicResourceGeneration,hasPeriodicResourceGeneration,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Set true only when generationResources is non-empty; CustomUnit runtime checks this flag before periodic resource generation,
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/e/f;,cp,field_l_generationResourcesPerSecond,generationResourcesPerSecond,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Created from generationResources and multiplied by 40/generation_delay; CustomUnit.cz returns it while generation is active,
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/e/f;,cq,field_l_globalGenerationResourcesPerSecond,globalGenerationResourcesPerSecond,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Derived subset of generationResourcesPerSecond for non-built-in global custom resources; CustomUnit.cA returns it while active,
field,com/corrodinggames/rts/game/units/custom/l,F,cs,field_l_generationRateScale,generationRateScale,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Assigned 40.0f / generation_delay and used to scale ResourceAmount into per-second display/accounting values,
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,cx,field_l_generationActiveLogic,generationActiveLogic,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Read from generation_active; CustomUnit periodic update evaluates it before applying generationResources,
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/bb;,cT,field_l_energyDisplayName,energyDisplayName,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,CustomUnitLoader reads energyDisplayName into localized string field cT after energy regen/start/recharge settings,
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/be;,ff,field_l_placementRules,placementRules,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,"CustomUnitLoader assigns PlacementRuleParser.parsePlacementRules(metadata, ini) to l.ff after canBuild_ parsing",
method,com/corrodinggames/rts/game/units/custom/l,()Lcom/corrodinggames/rts/game/units/custom/be;,q,method_l_getPlacementRules,getPlacementRules,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Getter returns l.ff placementRules,
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/h;,fO,field_l_showActionsWithMixedSelectionIfOtherUnitsHaveTag,showActionsWithMixedSelectionIfOtherUnitsHaveTag,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Read from core.showActionsWithMixedSelectionIfOtherUnitsHaveTag into tag set field fO,
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/h;,aS,field_l_canOnlyBeAttackedByUnitsWithTags,canOnlyBeAttackedByUnitsWithTags,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Read from core.canOnlyBeAttackedByUnitsWithTags; parser rejects it together with canNotBeDirectlyAttacked,
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/bp;,bC,field_l_unitsSpawnedOnDeath,unitsSpawnedOnDeath,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,CustomUnitLoader parses core.unitsSpawnedOnDeath with UnitList/UnitSpawnParser and assigns l.bC,
field,com/corrodinggames/rts/game/units/custom/l,Z,bL,field_l_hasMovementEffect,hasMovementEffect,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Set when dust/splash movement effects or movementEffect/movementEffectReverse refs are enabled,
field,com/corrodinggames/rts/game/units/custom/l,Z,bS,field_l_hasRepairEffect,hasRepairEffect,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Set when repairEffect or repairEffectAtTarget resolves to a non-empty effect reference,
field,com/corrodinggames/rts/game/units/custom/l,Z,bW,field_l_hasReclaimEffect,hasReclaimEffect,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Set when reclaimEffect or reclaimEffectAtTarget resolves to a non-empty effect reference,
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/ao;,fh,field_l_pathingMovementType,pathingMovementType,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,"Copied from movementType for normal units; forced to NONE for buildings, giving the movement type used by pathing/movement code",
field,com/corrodinggames/rts/game/units/custom/l,Z,fq,field_l_useAsBuilder,useAsBuilder,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,AI/core compatibility path maps useAsBuilder/isBuilder into l.fq after builder validation,
field,com/corrodinggames/rts/game/units/custom/l,Z,ft,field_l_useAsTransport,useAsTransport,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Read from ai.useAsTransport or inferred from transport slots when not a builder/building and transport actions are enabled,
field,com/corrodinggames/rts/game/units/custom/l,F,dN,field_l_moveAccelerationSpeed,moveAccelerationSpeed,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,"Movement parser reads moveAccelerationSpeed, scales by radius/scale factor, and stores in l.dN",
field,com/corrodinggames/rts/game/units/custom/l,F,dO,field_l_moveDecelerationSpeed,moveDecelerationSpeed,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,"Movement parser reads moveDecelerationSpeed, scales by radius/scale factor, and stores in l.dO",
field,com/corrodinggames/rts/game/units/custom/l,Z,dP,field_l_ignoreMoveOrders,ignoreMoveOrders,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Set from movement.ignoreMoveOrders and defaulted true for buildings; parser enforces moveSpeed=0 when true,
field,com/corrodinggames/rts/game/units/custom/l,F,ek,field_l_inverseMoveYAxisScaling,inverseMoveYAxisScaling,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Assigned 1.0f / moveYAxisScaling after validation that moveYAxisScaling is positive,
field,com/corrodinggames/rts/game/units/custom/l,Z,dQ,field_l_landOnGround,landOnGround,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Parsed from movement.landOnGround accepting false/true/onlyIdle,
field,com/corrodinggames/rts/game/units/custom/l,Z,dR,field_l_landOnGroundOnlyIdle,landOnGroundOnlyIdle,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Set only for movement.landOnGround=onlyIdle,
field,com/corrodinggames/rts/game/units/custom/l,F,ea,field_l_turretSize,turretSize,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,"Attack parser reads attack.turretSize, scales it by the unit scale, and stores it in l.ea",
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/b;,ec,field_l_attackMovement,attackMovement,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Parsed from attack.attackMovement values normal/strafing/bomber into attack movement enum field ec,
field,com/corrodinggames/rts/game/units/custom/l,I,dG,field_l_mainTurretIndex,mainTurretIndex,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,"After resolving setMainTurretAs or default turret 1, loader stores main turret template index in l.dG",
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,eq,field_l_canAttackFlyingUnits,canAttackFlyingUnits,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,"Parsed from attack.canAttackFlyingUnits, with default false when canAttack is absent",
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,er,field_l_canAttackLandUnits,canAttackLandUnits,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,"Parsed from attack.canAttackLandUnits, with default false when canAttack is absent",
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,es,field_l_canAttackUnderwaterUnits,canAttackUnderwaterUnits,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,"Parsed from attack.canAttackUnderwaterUnits, with default false when canAttack is absent",
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,et,field_l_canAttackNotTouchingWaterUnits,canAttackNotTouchingWaterUnits,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Parsed from attack.canAttackNotTouchingWaterUnits; static true is normalized to null,
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/h;,ev,field_l_canOnlyAttackUnitsWithTags,canOnlyAttackUnitsWithTags,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Parsed from attack.canOnlyAttackUnitsWithTags and propagated into turret tag filter cleanup,
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/h;,ew,field_l_canOnlyAttackUnitsWithoutTags,canOnlyAttackUnitsWithoutTags,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Parsed from attack.canOnlyAttackUnitsWithoutTags and propagated into turret tag filter cleanup,
field,com/corrodinggames/rts/game/units/custom/l,Z,eu,field_l_hasAttackTagFilters,hasAttackTagFilters,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,"Set when unit-level canOnlyAttackUnitsWithTags or canOnlyAttackUnitsWithoutTags is present, and also when all direct-damage turrets require tag filters",
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/h;,fv,field_l_aiTags,aiTags,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Read from ai.aiTags after passive-targeting priority flags,
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/h;,fH,field_l_onlyUseAsHarvesterIfBaseHasUnitTagged,onlyUseAsHarvesterIfBaseHasUnitTagged,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Read from ai.onlyUseAsHarvester_ifBaseHasUnitTagged in harvester recommendation block,
field,com/corrodinggames/rts/game/units/custom/l,Z,fJ,field_l_hasAiHighPriorityLogic,hasAiHighPriorityLogic,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Set when any custom action has ai_isHighPriority LogicBoolean configured,
method,com/corrodinggames/rts/game/units/custom/l,()Z,C,method_l_isAvailableInDemo,isAvailableInDemo,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Getter returns l.ce availableInDemo,
method,com/corrodinggames/rts/game/units/custom/l,()Z,w,method_l_isLocked,isLocked,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,"Getter returns locked state, with no-nuke multiplayer mode applying isLockedIfGameModeNoNuke override",
method,com/corrodinggames/rts/game/units/custom/l,()Z,j,method_l_isBuilding,isBuilding,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Getter returns l.aH isBuilding,
method,com/corrodinggames/rts/game/units/custom/l,()Z,k,method_l_isIgnoredInUnitCapCalculation,isIgnoredInUnitCapCalculation,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Getter returns l.aI ignoreInUnitCapCalculation,
method,com/corrodinggames/rts/game/units/custom/l,()Z,l,method_l_isBuilder,isBuilder,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Getter returns l.fp isBuilder,
method,com/corrodinggames/rts/game/units/custom/l,()Z,m,method_l_useAsBuilder,useAsBuilder,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Getter returns l.fq useAsBuilder,
method,com/corrodinggames/rts/game/units/custom/l,()Z,n,method_l_useAsHarvester,useAsHarvester,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Getter returns l.fr useAsHarvester,
method,com/corrodinggames/rts/game/units/custom/l,()Z,p,method_l_isPlaceOnlyOnResourcePool,isPlaceOnlyOnResourcePool,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Getter returns l.aJ placeOnlyOnResPool,
method,com/corrodinggames/rts/game/units/custom/l,()Lcom/corrodinggames/rts/game/units/a/z;,d,method_l_getDefaultAction,getDefaultAction,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,Getter returns l.go defaultAction,
method,com/corrodinggames/rts/game/units/custom/l,(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/v;,a,method_l_createUnitTypeReference,createUnitTypeReference,v0.77-custom-unit-metadata-resources,custom-unit-metadata-resources,high,"Creates UnitTypeReference, stores section/key/value context, appends it to metadata reference list p, and returns it",
