owner_official,kind,official_name,descriptor,expected_named_name,actual_named_name,present,evidence
com/corrodinggames/rts/game/units/custom/l,field,cn,Z,hasPeriodicResourceGeneration,hasPeriodicResourceGeneration,True,Set true only when generationResources is non-empty; CustomUnit runtime checks this flag before periodic resource generation
com/corrodinggames/rts/game/units/custom/l,field,cp,Lcom/corrodinggames/rts/game/units/custom/e/f;,generationResourcesPerSecond,generationResourcesPerSecond,True,Created from generationResources and multiplied by 40/generation_delay; CustomUnit.cz returns it while generation is active
com/corrodinggames/rts/game/units/custom/l,field,cq,Lcom/corrodinggames/rts/game/units/custom/e/f;,globalGenerationResourcesPerSecond,globalGenerationResourcesPerSecond,True,Derived subset of generationResourcesPerSecond for non-built-in global custom resources; CustomUnit.cA returns it while active
com/corrodinggames/rts/game/units/custom/l,field,cs,F,generationRateScale,generationRateScale,True,Assigned 40.0f / generation_delay and used to scale ResourceAmount into per-second display/accounting values
com/corrodinggames/rts/game/units/custom/l,field,cx,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,generationActiveLogic,generationActiveLogic,True,Read from generation_active; CustomUnit periodic update evaluates it before applying generationResources
com/corrodinggames/rts/game/units/custom/l,field,cT,Lcom/corrodinggames/rts/game/units/custom/bb;,energyDisplayName,energyDisplayName,True,CustomUnitLoader reads energyDisplayName into localized string field cT after energy regen/start/recharge settings
com/corrodinggames/rts/game/units/custom/l,field,ff,Lcom/corrodinggames/rts/game/units/custom/be;,placementRules,placementRules,True,"CustomUnitLoader assigns PlacementRuleParser.parsePlacementRules(metadata, ini) to l.ff after canBuild_ parsing"
com/corrodinggames/rts/game/units/custom/l,method,q,()Lcom/corrodinggames/rts/game/units/custom/be;,getPlacementRules,getPlacementRules,True,Getter returns l.ff placementRules
com/corrodinggames/rts/game/units/custom/l,field,fO,Lcom/corrodinggames/rts/game/units/custom/h;,showActionsWithMixedSelectionIfOtherUnitsHaveTag,showActionsWithMixedSelectionIfOtherUnitsHaveTag,True,Read from core.showActionsWithMixedSelectionIfOtherUnitsHaveTag into tag set field fO
com/corrodinggames/rts/game/units/custom/l,field,aS,Lcom/corrodinggames/rts/game/units/custom/h;,canOnlyBeAttackedByUnitsWithTags,canOnlyBeAttackedByUnitsWithTags,True,Read from core.canOnlyBeAttackedByUnitsWithTags; parser rejects it together with canNotBeDirectlyAttacked
