kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/gameFramework/e/b,,,rw/io/StorageBackendCapabilities,rustedwarfare/io/StorageBackendCapabilities,v0.59-filesystem-backend,filesystem-backend,high,capability flags returned by GameFileSystem.getStorageBackendCapabilities,
class,com/corrodinggames/rts/gameFramework/e/d,,,rw/io/RootedFileSystemBackend,rustedwarfare/io/RootedFileSystemBackend,v0.59-filesystem-backend,filesystem-backend,high,extends FileSystemBackend; constructor takes root path and backend name,
class,com/corrodinggames/rts/gameFramework/e/e,,,rw/io/CompositeFileSystemBackend,rustedwarfare/io/CompositeFileSystemBackend,v0.59-filesystem-backend,filesystem-backend,high,extends FileSystemBackend; routes paths between two child backends by prefix,
class,com/corrodinggames/rts/gameFramework/e/f,,,rw/io/NullFileSystemBackend,rustedwarfare/io/NullFileSystemBackend,v0.59-filesystem-backend,filesystem-backend,high,extends FileSystemBackend; no-op/null backend implementation,
class,com/corrodinggames/rts/gameFramework/e/g,,,rw/io/AssetCacheStore,rustedwarfare/io/AssetCacheStore,v0.59-filesystem-backend,filesystem-backend,high,static cache helper with openAssetCached strings and .data/.meta files,
class,com/corrodinggames/rts/gameFramework/e/h,,,rw/io/CachedInputStreamHandle,rustedwarfare/io/CachedInputStreamHandle,v0.59-filesystem-backend,filesystem-backend,high,wraps InputStream and closes cached asset handle,
field,com/corrodinggames/rts/gameFramework/e/a,Ljava/lang/Boolean;,c,field_a_cachedStorageCapabilityOverride,cachedStorageCapabilityOverride,v0.59-filesystem-backend,filesystem-backend,medium,Boolean cache/override used while selecting backend capabilities,
field,com/corrodinggames/rts/gameFramework/e/a,Ljava/lang/String;,d,field_a_overriddenExternalPath,overriddenExternalPath,v0.59-filesystem-backend,filesystem-backend,high,logged as FileLoader using overriddenExternalPath,
field,com/corrodinggames/rts/gameFramework/e/a,Ljava/lang/String;,e,field_a_storageSelectionWarning,storageSelectionWarning,v0.59-filesystem-backend,filesystem-backend,high,set when SDK too old or internal app path unavailable,
method,com/corrodinggames/rts/gameFramework/e/a,()Ljava/lang/String;,a,method_a_getInternalAppPath__Ljava_lang_String,getInternalAppPath,v0.59-filesystem-backend,filesystem-backend,high,"Context.getDir absolute path, logs failed internal path",
method,com/corrodinggames/rts/gameFramework/e/a,()V,b,method_a_initializeFileSystemBackend__V,initializeFileSystemBackend,v0.59-filesystem-backend,filesystem-backend,high,selects activeBackend from SettingsEngine.storageType,
method,com/corrodinggames/rts/gameFramework/e/a,(Ljava/lang/String;)Z,a,method_a_isAssetFile__Ljava_lang_String_Z,isAssetFile,v0.59-filesystem-backend,filesystem-backend,high,delegates to activeBackend.isAssetFile,
method,com/corrodinggames/rts/gameFramework/e/a,(Z)Lcom/corrodinggames/rts/gameFramework/e/b;,a,method_a_getStorageBackendCapabilities__Z_Lcom_corrodinggames_rts_gameFramework_e_b,getStorageBackendCapabilities,v0.59-filesystem-backend,filesystem-backend,high,constructs StorageBackendCapabilities flags,
method,com/corrodinggames/rts/gameFramework/e/a,(I)Lcom/corrodinggames/rts/gameFramework/e/c;,a,method_a_createBackendForStorageType__I_Lcom_corrodinggames_rts_gameFramework_e_c,createBackendForStorageType,v0.59-filesystem-backend,filesystem-backend,high,creates internal/external/composite backend for storage type,
method,com/corrodinggames/rts/gameFramework/e/a,()Ljava/lang/String;,c,method_a_consumePendingErrorMessage__Ljava_lang_String,consumePendingErrorMessage,v0.59-filesystem-backend,filesystem-backend,high,delegates backend consume-and-clear error message,
method,com/corrodinggames/rts/gameFramework/e/a,(Ljava/lang/String;)V,b,method_a_setPendingErrorMessage__Ljava_lang_String_V,setPendingErrorMessage,v0.59-filesystem-backend,filesystem-backend,high,delegates backend error setter,
method,com/corrodinggames/rts/gameFramework/e/a,(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,a,method_a_findFileWithExtension__Ljava_lang_String_Ljava_lang_String_Ljava_lang_String,findFileWithExtension,v0.59-filesystem-backend,filesystem-backend,high,delegates FileSystemBackend.findFileWithExtension,
method,com/corrodinggames/rts/gameFramework/e/a,(Ljava/lang/String;)Z,c,method_a_isPathRootedOrSpecial__Ljava_lang_String_Z,isPathRootedOrSpecial,v0.59-filesystem-backend,filesystem-backend,medium,delegates backend path special/root test,
method,com/corrodinggames/rts/gameFramework/e/a,(Ljava/lang/String;)Ljava/lang/String;,d,method_a_toDisplayPath__Ljava_lang_String_Ljava_lang_String,toDisplayPath,v0.59-filesystem-backend,filesystem-backend,high,delegates backend e(String); path display conversion,
method,com/corrodinggames/rts/gameFramework/e/a,(Ljava/lang/String;)Z,g,method_a_isDirectoryStrict__Ljava_lang_String_Z,isDirectoryStrict,v0.59-filesystem-backend,filesystem-backend,medium,delegates isDirectory with strict flag true,
method,com/corrodinggames/rts/gameFramework/e/a,(Ljava/lang/String;)Lcom/corrodinggames/rts/gameFramework/utility/j;,j,method_a_openAssetInputStream__Ljava_lang_String_Lcom_corrodinggames_rts_gameFramework_utility_j,openAssetInputStream,v0.59-filesystem-backend,filesystem-backend,high,delegates backend asset stream open,
