kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/game/units/a/e;,l,field_g_attackMoveAction,attackMoveAction,v0.70-hud-command-interface,hud-command-interface,high,InterfaceEngine constructor creates units/a/e; UI strings and input registry bind this action as Attack Move,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/game/units/a/f;,m,field_g_guardUnitAction,guardUnitAction,v0.70-hud-command-interface,hud-command-interface,high,InterfaceEngine constructor creates units/a/f; localized action strings are Guard Unit,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/game/units/a/i;,n,field_g_patrolAction,patrolAction,v0.70-hud-command-interface,hud-command-interface,high,InterfaceEngine constructor creates units/a/i; localized action strings are Patrol,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/game/units/a/d;,o,field_g_attackModeAction,attackModeAction,v0.70-hud-command-interface,hud-command-interface,high,InterfaceEngine constructor creates units/a/d; action string is Attack Mode,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/game/units/a/j;,p,field_g_pingMapAction,pingMapAction,v0.70-hud-command-interface,hud-command-interface,high,InterfaceEngine constructor creates units/a/j; pending targeting action used by sendMapPingAtWorldPosition,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/game/units/a/r;,q,field_g_mapPingAction,mapPingAction,v0.70-hud-command-interface,hud-command-interface,high,InterfaceEngine constructor creates units/a/r; literal Map Ping / Send a map ping to your allies,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/game/units/a/q;,r,field_g_teamChatAction,teamChatAction,v0.70-hud-command-interface,hud-command-interface,high,InterfaceEngine constructor creates units/a/q; literal Team Chat / Send a team chat message,
field,com/corrodinggames/rts/gameFramework/f/g,Ljava/lang/String;,bG,field_g_notAvailableInDemoText,notAvailableInDemoText,v0.70-hud-command-interface,hud-command-interface,high,initialize loads localization key gui.notAvailableInDemoText,
field,com/corrodinggames/rts/gameFramework/f/g,Ljava/lang/String;,bH,field_g_lockedText,lockedText,v0.70-hud-command-interface,hud-command-interface,high,initialize stores literal Locked,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/game/units/custom/bb;,bI,field_g_notEnoughResourcesTextBlock,notEnoughResourcesTextBlock,v0.70-hud-command-interface,hud-command-interface,high,initialize builds custom text block from gui.notEnoughResources; used in action tooltip fallback,
field,com/corrodinggames/rts/gameFramework/f/g,Ljava/lang/String;,bJ,field_g_cannotPlaceGeneralText,cannotPlaceGeneralText,v0.70-hud-command-interface,hud-command-interface,high,initialize loads localization key gui.cannotPlace.general,
field,com/corrodinggames/rts/gameFramework/f/g,Ljava/lang/String;,bK,field_g_cannotPlaceNeedsResourcePoolText,cannotPlaceNeedsResourcePoolText,v0.70-hud-command-interface,hud-command-interface,high,initialize loads localization key gui.cannotPlace.needsResourcePool,
field,com/corrodinggames/rts/gameFramework/f/g,Ljava/lang/String;,bL,field_g_cannotPlaceNeedsWaterText,cannotPlaceNeedsWaterText,v0.70-hud-command-interface,hud-command-interface,high,initialize loads localization key gui.cannotPlace.needsWater,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/gameFramework/m/e;,ba,field_g_buttonNoImage,buttonNoImage,v0.70-hud-command-interface,hud-command-interface,high,initialize loads R.drawable.button_no,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/gameFramework/m/e;,bb,field_g_buttonYesImage,buttonYesImage,v0.70-hud-command-interface,hud-command-interface,high,initialize loads R.drawable.button_yes,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/gameFramework/m/e;,bc,field_g_buttonMoreImage,buttonMoreImage,v0.70-hud-command-interface,hud-command-interface,high,initialize loads R.drawable.button_more,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/gameFramework/m/e;,bh,field_g_buttonAddImage,buttonAddImage,v0.70-hud-command-interface,hud-command-interface,high,initialize loads R.drawable.button_add,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/gameFramework/m/e;,bi,field_g_buttonSubtractImage,buttonSubtractImage,v0.70-hud-command-interface,hud-command-interface,high,initialize loads R.drawable.button_subtract,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/gameFramework/m/e;,bj,field_g_rallyIconImage,rallyIconImage,v0.70-hud-command-interface,hud-command-interface,high,initialize loads R.drawable.icon_rally,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/gameFramework/m/e;,bk,field_g_upgradeIconImage,upgradeIconImage,v0.70-hud-command-interface,hud-command-interface,high,initialize loads R.drawable.icon_upgrade,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/gameFramework/m/e;,bl,field_g_metalDarkImage,metalDarkImage,v0.70-hud-command-interface,hud-command-interface,high,initialize loads R.drawable.metal_dark,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/gameFramework/m/e;,bm,field_g_touchIndicatorImage,touchIndicatorImage,v0.70-hud-command-interface,hud-command-interface,high,initialize loads R.drawable.touch_indicator,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/gameFramework/m/e;,bn,field_g_roundedGlowButtonImage,roundedGlowButtonImage,v0.70-hud-command-interface,hud-command-interface,high,initialize loads R.drawable.rounded_glow_button,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/gameFramework/m/e;,bo,field_g_roundedWhiteButtonImage,roundedWhiteButtonImage,v0.70-hud-command-interface,hud-command-interface,high,initialize loads R.drawable.rounded_white_button,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/gameFramework/f/a/e;,bp,field_g_roundedGlowButtonStyle,roundedGlowButtonStyle,v0.70-hud-command-interface,hud-command-interface,high,initialize wraps roundedGlowButtonImage into NinePatchDrawable style,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/gameFramework/f/a/e;,bq,field_g_roundedGlowHighlightButtonStyle,roundedGlowHighlightButtonStyle,v0.70-hud-command-interface,hud-command-interface,high,initialize loads R.drawable.rounded_glow_highlight_button into highlighted NinePatch style,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/gameFramework/f/a/e;,br,field_g_roundedGlowButtonHighlightedStyle,roundedGlowButtonHighlightedStyle,v0.70-hud-command-interface,hud-command-interface,high,initialize copies roundedGlowButtonStyle and sets highlighted state,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/gameFramework/f/a/e;,bs,field_g_roundedDarkBoxStyle,roundedDarkBoxStyle,v0.70-hud-command-interface,hud-command-interface,high,initialize loads R.drawable.rounded_dark_box,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/gameFramework/f/a/e;,bt,field_g_roundedDarkBoxTitledStyle,roundedDarkBoxTitledStyle,v0.70-hud-command-interface,hud-command-interface,high,initialize loads R.drawable.rounded_dark_box_titled and rounded_shadow,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/gameFramework/f/a/e;,bu,field_g_roundedGreenStyle,roundedGreenStyle,v0.70-hud-command-interface,hud-command-interface,high,initialize loads R.drawable.rounded_green,
field,com/corrodinggames/rts/gameFramework/f/g,Lcom/corrodinggames/rts/game/units/custom/e/f;,bT,field_g_resourceDisplayScratch,resourceDisplayScratch,v0.70-hud-command-interface,hud-command-interface,high,drawTeamResourceDisplay copies Team resource totals into this scratch resource container before filtering,
