mapped_owner,missing_owner,official_name,descriptor,mapped_named,mapped_source
com/corrodinggames/rts/game/n,com/corrodinggames/rts/game/a/a,d,(Lcom/corrodinggames/rts/game/units/am;)V,onUnitRemovedFromTeam,v0.14-map-spawn
com/corrodinggames/rts/game/units/am,com/corrodinggames/rts/game/units/b/d,a,()V,removeFromGame,v0.11-save-sync
com/corrodinggames/rts/game/units/am,com/corrodinggames/rts/game/units/d/i,a,()V,removeFromGame,v0.11-save-sync
com/corrodinggames/rts/game/units/am,com/corrodinggames/rts/game/units/e/i,a,()V,removeFromGame,v0.11-save-sync
com/corrodinggames/rts/game/units/am,com/corrodinggames/rts/game/units/y,a,()V,removeFromGame,v0.11-save-sync
com/corrodinggames/rts/game/units/am,com/corrodinggames/rts/game/units/al,a_,(Ljava/lang/String;)V,setMapTypeTag,v0.14-map-spawn
com/corrodinggames/rts/game/units/am,com/corrodinggames/rts/game/units/d/a/b,a_,(Ljava/lang/String;)V,setMapTypeTag,v0.14-map-spawn
com/corrodinggames/rts/game/units/am,com/corrodinggames/rts/game/units/custom/j,cZ,()F,getTileOffsetX,v0.14-map-spawn
com/corrodinggames/rts/game/units/am,com/corrodinggames/rts/game/units/d/a/b,cZ,()F,getTileOffsetX,v0.14-map-spawn
com/corrodinggames/rts/game/units/am,com/corrodinggames/rts/game/units/d/p,cZ,()F,getTileOffsetX,v0.14-map-spawn
com/corrodinggames/rts/game/units/am,com/corrodinggames/rts/game/units/custom/j,da,()F,getTileOffsetY,v0.14-map-spawn
com/corrodinggames/rts/game/units/am,com/corrodinggames/rts/game/units/d/a/b,da,()F,getTileOffsetY,v0.14-map-spawn
com/corrodinggames/rts/game/units/am,com/corrodinggames/rts/game/units/d/p,da,()F,getTileOffsetY,v0.14-map-spawn
com/corrodinggames/rts/game/units/am,com/corrodinggames/rts/game/units/custom/j,e,(Lcom/corrodinggames/rts/game/n;)V,changeTeam,v0.14-map-spawn
com/corrodinggames/rts/game/units/d/i,com/corrodinggames/rts/game/units/d/m,du,()Lcom/corrodinggames/rts/game/units/d/k;,createBuildQueue,v0.39-runtime-build-queue-production
com/corrodinggames/rts/game/units/d/i,com/corrodinggames/rts/game/units/d/t,dv,()I,getProducedUnitSpawnYOffset,v0.39-runtime-build-queue-production
com/corrodinggames/rts/game/units/f/i,com/corrodinggames/rts/game/units/d/s,excludeTeam,(Lcom/corrodinggames/rts/game/units/y;)I,excludeTeam,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45
com/corrodinggames/rts/game/units/f/i,com/corrodinggames/rts/game/units/d/s,onlyEnemiesOfTeam,(Lcom/corrodinggames/rts/game/units/y;)Lcom/corrodinggames/rts/game/n;,onlyEnemiesOfTeam,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45
com/corrodinggames/rts/game/units/f/i,com/corrodinggames/rts/game/units/d/s,setup,(Lcom/corrodinggames/rts/game/units/y;F)V,setup,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45
com/corrodinggames/rts/game/units/f/j,com/corrodinggames/rts/game/units/d/s,callback,(Lcom/corrodinggames/rts/game/units/y;FLcom/corrodinggames/rts/game/units/am;)V,callback,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45
com/corrodinggames/rts/game/units/f/j,com/corrodinggames/rts/game/units/y$1,callback,(Lcom/corrodinggames/rts/game/units/y;FLcom/corrodinggames/rts/game/units/am;)V,callback,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45
com/corrodinggames/rts/game/units/y,com/corrodinggames/rts/game/units/b/c,bl,()I,getTurretCount,v0.34-runtime-order-update-combat
com/corrodinggames/rts/game/units/y,com/corrodinggames/rts/game/units/d/a/a,bl,()I,getTurretCount,v0.34-runtime-order-update-combat
com/corrodinggames/rts/game/units/y,com/corrodinggames/rts/game/units/e/c,bl,()I,getTurretCount,v0.34-runtime-order-update-combat
com/corrodinggames/rts/game/units/y,com/corrodinggames/rts/game/units/e/d,bl,()I,getTurretCount,v0.34-runtime-order-update-combat
com/corrodinggames/rts/game/units/y,com/corrodinggames/rts/game/units/h/a,bl,()I,getTurretCount,v0.34-runtime-order-update-combat
com/corrodinggames/rts/game/units/y,com/corrodinggames/rts/game/units/h/b,bl,()I,getTurretCount,v0.34-runtime-order-update-combat
com/corrodinggames/rts/gameFramework/b/b,com/corrodinggames/rts/gameFramework/b/ah,b,()I,getContentWidth,v0.58-render-gl-backend
com/corrodinggames/rts/gameFramework/b/b,com/corrodinggames/rts/gameFramework/b/ah,c,()I,getContentHeight,v0.58-render-gl-backend
com/corrodinggames/rts/gameFramework/f/au,com/corrodinggames/rts/gameFramework/f/aq,a,()Ljava/lang/String;,getText,v0.9-base
com/corrodinggames/rts/gameFramework/f/au,com/corrodinggames/rts/gameFramework/f/ar,a,()Ljava/lang/String;,getText,v0.9-base
com/corrodinggames/rts/gameFramework/f/au,com/corrodinggames/rts/gameFramework/f/as,a,()Ljava/lang/String;,getText,v0.9-base
com/corrodinggames/rts/gameFramework/f/au,com/corrodinggames/rts/gameFramework/f/at,a,()Ljava/lang/String;,getText,v0.9-base
com/corrodinggames/rts/gameFramework/f/au,com/corrodinggames/rts/gameFramework/f/aq,a,(Lcom/corrodinggames/rts/gameFramework/f/au;)Z,canMergeWith,v0.9-base
com/corrodinggames/rts/gameFramework/f/au,com/corrodinggames/rts/gameFramework/f/ar,a,(Lcom/corrodinggames/rts/gameFramework/f/au;)Z,canMergeWith,v0.9-base
com/corrodinggames/rts/gameFramework/f/au,com/corrodinggames/rts/gameFramework/f/as,a,(Lcom/corrodinggames/rts/gameFramework/f/au;)Z,canMergeWith,v0.9-base
com/corrodinggames/rts/gameFramework/f/au,com/corrodinggames/rts/gameFramework/f/as,b,()J,getMergeWindowMillis,v0.9-base
com/corrodinggames/rts/gameFramework/f/au,com/corrodinggames/rts/gameFramework/f/aq,b,(Lcom/corrodinggames/rts/gameFramework/f/au;)V,mergeFrom,v0.9-base
com/corrodinggames/rts/gameFramework/f/au,com/corrodinggames/rts/gameFramework/f/ar,b,(Lcom/corrodinggames/rts/gameFramework/f/au;)V,mergeFrom,v0.9-base
com/corrodinggames/rts/gameFramework/f/au,com/corrodinggames/rts/gameFramework/f/as,b,(Lcom/corrodinggames/rts/gameFramework/f/au;)V,mergeFrom,v0.9-base
com/corrodinggames/rts/gameFramework/f/b,com/corrodinggames/rts/gameFramework/f/f$1,b,()V,run,v0.9-base
com/corrodinggames/rts/gameFramework/f/b,com/corrodinggames/rts/gameFramework/f/f$2,b,()V,run,v0.9-base
com/corrodinggames/rts/gameFramework/j/ai,com/corrodinggames/rts/gameFramework/j/ai$1,a,()Ljava/lang/String;,getDisplayName,v0.12-map-mission
com/corrodinggames/rts/gameFramework/j/ai,com/corrodinggames/rts/gameFramework/j/ai$2,a,()Ljava/lang/String;,getDisplayName,v0.12-map-mission
com/corrodinggames/rts/gameFramework/j/ai,com/corrodinggames/rts/gameFramework/j/ai$3,a,()Ljava/lang/String;,getDisplayName,v0.12-map-mission
com/corrodinggames/rts/gameFramework/k/c,com/corrodinggames/rts/gameFramework/k/h,a,(Lcom/corrodinggames/rts/game/units/am;)Lcom/corrodinggames/rts/game/units/af;,getStartTarget,v0.31-runtime-pathing
com/corrodinggames/rts/gameFramework/k/c,com/corrodinggames/rts/gameFramework/k/h,b,(Lcom/corrodinggames/rts/game/units/am;)Lcom/corrodinggames/rts/game/units/af;,getEndTarget,v0.31-runtime-pathing
com/corrodinggames/rts/gameFramework/k/k,com/corrodinggames/rts/gameFramework/k/f,a,()Ljava/util/LinkedList;,getPathNodes,v0.31-runtime-pathing
com/corrodinggames/rts/gameFramework/k/k,com/corrodinggames/rts/gameFramework/k/f,a,(Lcom/corrodinggames/rts/game/units/am;)Lcom/corrodinggames/rts/gameFramework/k/c;,getUnitTargetAdapter,v0.31-runtime-pathing
