child_owner,ancestor_owner,official_name,descriptor,ancestor_named
com/corrodinggames/rts/game/a/a,com/corrodinggames/rts/game/n,d,(Lcom/corrodinggames/rts/game/units/am;)V,onUnitRemovedFromTeam
com/corrodinggames/rts/game/units/al,com/corrodinggames/rts/game/units/am,a_,(Ljava/lang/String;)V,setMapTypeTag
com/corrodinggames/rts/game/units/b/c,com/corrodinggames/rts/game/units/y,bl,()I,getTurretCount
com/corrodinggames/rts/game/units/b/d,com/corrodinggames/rts/game/units/am,a,()V,removeFromGame
com/corrodinggames/rts/game/units/b/d,com/corrodinggames/rts/gameFramework/w,a,()V,removeFromGame
com/corrodinggames/rts/game/units/custom/j,com/corrodinggames/rts/game/units/am,cZ,()F,getTileOffsetX
com/corrodinggames/rts/game/units/custom/j,com/corrodinggames/rts/game/units/am,da,()F,getTileOffsetY
com/corrodinggames/rts/game/units/custom/j,com/corrodinggames/rts/game/units/am,e,(Lcom/corrodinggames/rts/game/n;)V,changeTeam
com/corrodinggames/rts/game/units/d/a/a,com/corrodinggames/rts/game/units/y,bl,()I,getTurretCount
com/corrodinggames/rts/game/units/d/a/b,com/corrodinggames/rts/game/units/am,a_,(Ljava/lang/String;)V,setMapTypeTag
com/corrodinggames/rts/game/units/d/a/b,com/corrodinggames/rts/game/units/am,cZ,()F,getTileOffsetX
com/corrodinggames/rts/game/units/d/a/b,com/corrodinggames/rts/game/units/am,da,()F,getTileOffsetY
com/corrodinggames/rts/game/units/d/i,com/corrodinggames/rts/game/units/am,a,()V,removeFromGame
com/corrodinggames/rts/game/units/d/i,com/corrodinggames/rts/gameFramework/w,a,()V,removeFromGame
com/corrodinggames/rts/game/units/d/m,com/corrodinggames/rts/game/units/d/i,du,()Lcom/corrodinggames/rts/game/units/d/k;,createBuildQueue
com/corrodinggames/rts/game/units/d/p,com/corrodinggames/rts/game/units/am,cZ,()F,getTileOffsetX
com/corrodinggames/rts/game/units/d/p,com/corrodinggames/rts/game/units/am,da,()F,getTileOffsetY
com/corrodinggames/rts/game/units/d/s,com/corrodinggames/rts/game/units/f/i,excludeTeam,(Lcom/corrodinggames/rts/game/units/y;)I,excludeTeam
com/corrodinggames/rts/game/units/d/s,com/corrodinggames/rts/game/units/f/i,onlyEnemiesOfTeam,(Lcom/corrodinggames/rts/game/units/y;)Lcom/corrodinggames/rts/game/n;,onlyEnemiesOfTeam
com/corrodinggames/rts/game/units/d/s,com/corrodinggames/rts/game/units/f/i,setup,(Lcom/corrodinggames/rts/game/units/y;F)V,setup
com/corrodinggames/rts/game/units/d/s,com/corrodinggames/rts/game/units/f/j,callback,(Lcom/corrodinggames/rts/game/units/y;FLcom/corrodinggames/rts/game/units/am;)V,callback
com/corrodinggames/rts/game/units/d/t,com/corrodinggames/rts/game/units/d/i,dv,()I,getProducedUnitSpawnYOffset
com/corrodinggames/rts/game/units/e/c,com/corrodinggames/rts/game/units/y,bl,()I,getTurretCount
com/corrodinggames/rts/game/units/e/d,com/corrodinggames/rts/game/units/y,bl,()I,getTurretCount
com/corrodinggames/rts/game/units/e/i,com/corrodinggames/rts/game/units/am,a,()V,removeFromGame
com/corrodinggames/rts/game/units/e/i,com/corrodinggames/rts/gameFramework/w,a,()V,removeFromGame
