kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/gameFramework/ac,,,rw/input/InputBindingRegistry,rustedwarfare/input/InputBindingRegistry,v0.62-input-keybinding,input-keybinding-action-registry,high,javap superclass/method behavior and InputBindingRegistry constructor string/action evidence,
class,com/corrodinggames/rts/gameFramework/ae,,,rw/input/InputActionCategory,rustedwarfare/input/InputActionCategory,v0.62-input-keybinding,input-keybinding-action-registry,high,javap superclass/method behavior and InputBindingRegistry constructor string/action evidence,
class,com/corrodinggames/rts/gameFramework/af,,,rw/input/InputBinding,rustedwarfare/input/InputBinding,v0.62-input-keybinding,input-keybinding-action-registry,high,javap superclass/method behavior and InputBindingRegistry constructor string/action evidence,
class,com/corrodinggames/rts/gameFramework/ag,,,rw/input/KeyInputBinding,rustedwarfare/input/KeyInputBinding,v0.62-input-keybinding,input-keybinding-action-registry,high,javap superclass/method behavior and InputBindingRegistry constructor string/action evidence,
class,com/corrodinggames/rts/gameFramework/ah,,,rw/input/ControllerInputBinding,rustedwarfare/input/ControllerInputBinding,v0.62-input-keybinding,input-keybinding-action-registry,high,javap superclass/method behavior and InputBindingRegistry constructor string/action evidence,
class,com/corrodinggames/rts/gameFramework/ai,,,rw/input/InputDeviceProvider,rustedwarfare/input/InputDeviceProvider,v0.62-input-keybinding,input-keybinding-action-registry,high,javap superclass/method behavior and InputBindingRegistry constructor string/action evidence,
class,com/corrodinggames/rts/gameFramework/aj,,,rw/input/ControllerInputHook,rustedwarfare/input/ControllerInputHook,v0.62-input-keybinding,input-keybinding-action-registry,medium,Only referenced by InputBindingRegistry static controller hook field; no behavior beyond constructor.,"Low-surface controller hook/stub class; mapped for family readability, with no behavioral methods to infer."
class,com/corrodinggames/rts/gameFramework/ak,,,rw/input/UnboundInputBinding,rustedwarfare/input/UnboundInputBinding,v0.62-input-keybinding,input-keybinding-action-registry,high,javap superclass/method behavior and InputBindingRegistry constructor string/action evidence,
class,com/corrodinggames/rts/gameFramework/al,,,rw/input/DefaultControllerInputHook,rustedwarfare/input/DefaultControllerInputHook,v0.62-input-keybinding,input-keybinding-action-registry,medium,Only referenced by InputBindingRegistry static controller hook field; no behavior beyond constructor.,"Low-surface controller hook/stub class; mapped for family readability, with no behavioral methods to infer."
class,com/corrodinggames/rts/gameFramework/utility/SlickToAndroidKeycodes,,,rw/input/SlickToAndroidKeycodes,rustedwarfare/input/SlickToAndroidKeycodes,v0.62-input-keybinding,input-keybinding-action-registry,high,javap superclass/method behavior and InputBindingRegistry constructor string/action evidence,
class,com/corrodinggames/rts/gameFramework/utility/SlickToAndroidKeycodes$AndroidCodes,,,rw/input/SlickToAndroidKeycodes$AndroidCodes,rustedwarfare/input/SlickToAndroidKeycodes$AndroidCodes,v0.62-input-keybinding,input-keybinding-action-registry,confirmed,javap class inventory; public keycode constant namespace used reflectively by SlickToAndroidKeycodes.buildNameToCodeMap,Constant fields are intentionally not remapped because official names are already readable key names.
class,com/corrodinggames/rts/gameFramework/utility/SlickToAndroidKeycodes$GdxCodes,,,rw/input/SlickToAndroidKeycodes$GdxCodes,rustedwarfare/input/SlickToAndroidKeycodes$GdxCodes,v0.62-input-keybinding,input-keybinding-action-registry,confirmed,javap class inventory; public keycode constant namespace used reflectively by SlickToAndroidKeycodes.buildNameToCodeMap,Constant fields are intentionally not remapped because official names are already readable key names.
class,com/corrodinggames/rts/gameFramework/utility/SlickToAndroidKeycodes$LibrocketKeys,,,rw/input/SlickToAndroidKeycodes$LibrocketKeys,rustedwarfare/input/SlickToAndroidKeycodes$LibrocketKeys,v0.62-input-keybinding,input-keybinding-action-registry,confirmed,javap class inventory; public keycode constant namespace used reflectively by SlickToAndroidKeycodes.buildNameToCodeMap,Constant fields are intentionally not remapped because official names are already readable key names.
class,com/corrodinggames/rts/gameFramework/utility/SlickToAndroidKeycodes$MissingKey,,,rw/input/SlickToAndroidKeycodes$MissingKey,rustedwarfare/input/SlickToAndroidKeycodes$MissingKey,v0.62-input-keybinding,input-keybinding-action-registry,confirmed,javap class inventory; public keycode constant namespace used reflectively by SlickToAndroidKeycodes.buildNameToCodeMap,Constant fields are intentionally not remapped because official names are already readable key names.
class,com/corrodinggames/rts/gameFramework/utility/SlickToAndroidKeycodes$SlickCodes,,,rw/input/SlickToAndroidKeycodes$SlickCodes,rustedwarfare/input/SlickToAndroidKeycodes$SlickCodes,v0.62-input-keybinding,input-keybinding-action-registry,confirmed,javap class inventory; public keycode constant namespace used reflectively by SlickToAndroidKeycodes.buildNameToCodeMap,Constant fields are intentionally not remapped because official names are already readable key names.
field,com/corrodinggames/rts/gameFramework/ac,Lcom/corrodinggames/rts/gameFramework/aj;,a,field_InputBindingRegistry_controllerInputHook,controllerInputHook,v0.62-input-keybinding,input-keybinding-action-registry,medium,static initializer assigns DefaultControllerInputHook; no observed behavior in current jar,Controller hook marker; no methods are present in the hook class.
field,com/corrodinggames/rts/gameFramework/ac,Lcom/corrodinggames/rts/gameFramework/ai;,b,field_InputBindingRegistry_inputDeviceProvider,inputDeviceProvider,v0.62-input-keybinding,input-keybinding-action-registry,high,static provider used by KeyInputBinding and ControllerInputBinding to query keyboard/controller state,
field,com/corrodinggames/rts/gameFramework/ac,Lcom/corrodinggames/rts/gameFramework/ad;,c,field_InputBindingRegistry_shootAction,shootAction,v0.62-input-keybinding,input-keybinding-action-registry,high,"constructor/createHiddenAction uses literal ""shoot"" then setupControllerActions binds SPACE/controller axis",
field,com/corrodinggames/rts/gameFramework/ac,Lcom/corrodinggames/rts/gameFramework/ad;,d,field_InputBindingRegistry_moveUpAction,moveUpAction,v0.62-input-keybinding,input-keybinding-action-registry,high,"literal ""move up"" and UP/controller negative Y binding",
field,com/corrodinggames/rts/gameFramework/ac,Lcom/corrodinggames/rts/gameFramework/ad;,e,field_InputBindingRegistry_moveDownAction,moveDownAction,v0.62-input-keybinding,input-keybinding-action-registry,high,"literal ""move down"" and DOWN/controller positive Y binding",
field,com/corrodinggames/rts/gameFramework/ac,Lcom/corrodinggames/rts/gameFramework/ad;,f,field_InputBindingRegistry_moveLeftAction,moveLeftAction,v0.62-input-keybinding,input-keybinding-action-registry,high,"literal ""move left"" and LEFT/controller negative X binding",
field,com/corrodinggames/rts/gameFramework/ac,Lcom/corrodinggames/rts/gameFramework/ad;,g,field_InputBindingRegistry_moveRightAction,moveRightAction,v0.62-input-keybinding,input-keybinding-action-registry,high,"literal ""move right"" and RIGHT/controller positive X binding",
field,com/corrodinggames/rts/gameFramework/ac,Lcom/corrodinggames/rts/gameFramework/ad;,h,field_InputBindingRegistry_aimUpAction,aimUpAction,v0.62-input-keybinding,input-keybinding-action-registry,high,"literal ""aim up"" and UP/controller aim axis binding",
field,com/corrodinggames/rts/gameFramework/ac,Lcom/corrodinggames/rts/gameFramework/ad;,i,field_InputBindingRegistry_aimDownAction,aimDownAction,v0.62-input-keybinding,input-keybinding-action-registry,high,"literal ""aim down"" and DOWN/controller aim axis binding",
field,com/corrodinggames/rts/gameFramework/ac,Lcom/corrodinggames/rts/gameFramework/ad;,j,field_InputBindingRegistry_aimLeftAction,aimLeftAction,v0.62-input-keybinding,input-keybinding-action-registry,high,"literal ""aim left"" and LEFT/controller aim axis binding",
field,com/corrodinggames/rts/gameFramework/ac,Lcom/corrodinggames/rts/gameFramework/ad;,k,field_InputBindingRegistry_aimRightAction,aimRightAction,v0.62-input-keybinding,input-keybinding-action-registry,high,"literal ""aim right"" and RIGHT/controller aim axis binding",
field,com/corrodinggames/rts/gameFramework/ac,Lcom/corrodinggames/rts/gameFramework/ad;,l,field_InputBindingRegistry_debugLeftAction,debugLeftAction,v0.62-input-keybinding,input-keybinding-action-registry,high,"constructor literal ""Debug Left""; hidden action",
field,com/corrodinggames/rts/gameFramework/ac,Lcom/corrodinggames/rts/gameFramework/ad;,m,field_InputBindingRegistry_debugRightAction,debugRightAction,v0.62-input-keybinding,input-keybinding-action-registry,high,"constructor literal ""Debug Right""; hidden action",
field,com/corrodinggames/rts/gameFramework/ac,Lcom/corrodinggames/rts/gameFramework/ad;,n,field_InputBindingRegistry_cameraUpAction,cameraUpAction,v0.62-input-keybinding,input-keybinding-action-registry,high,"constructor literal ""Camera Up""",
field,com/corrodinggames/rts/gameFramework/ac,Lcom/corrodinggames/rts/gameFramework/ad;,o,field_InputBindingRegistry_cameraDownAction,cameraDownAction,v0.62-input-keybinding,input-keybinding-action-registry,high,"constructor literal ""Camera Down""",
field,com/corrodinggames/rts/gameFramework/ac,Lcom/corrodinggames/rts/gameFramework/ad;,p,field_InputBindingRegistry_cameraLeftAction,cameraLeftAction,v0.62-input-keybinding,input-keybinding-action-registry,high,"constructor literal ""Camera Left""",
