owner_official,target_rows,mapped_target_rows,missing_target_rows,target_class_rows,target_field_rows,target_method_rows,missing_members
com/corrodinggames/rts/gameFramework/ac,79,79,0,1,67,11,
com/corrodinggames/rts/gameFramework/ad,19,19,0,1,4,14,
com/corrodinggames/rts/gameFramework/ae,3,3,0,1,0,2,
com/corrodinggames/rts/gameFramework/af,11,11,0,1,4,6,
com/corrodinggames/rts/gameFramework/ag,8,8,0,1,1,6,
com/corrodinggames/rts/gameFramework/ah,14,14,0,1,6,7,
com/corrodinggames/rts/gameFramework/ai,7,7,0,1,0,6,
com/corrodinggames/rts/gameFramework/aj,2,2,0,1,0,1,
com/corrodinggames/rts/gameFramework/ak,7,7,0,1,0,6,
com/corrodinggames/rts/gameFramework/al,2,2,0,1,0,1,
com/corrodinggames/rts/gameFramework/utility/SlickToAndroidKeycodes,17,17,0,1,7,9,
com/corrodinggames/rts/gameFramework/utility/SlickToAndroidKeycodes$AndroidCodes,2,2,0,1,0,1,
com/corrodinggames/rts/gameFramework/utility/SlickToAndroidKeycodes$GdxCodes,2,2,0,1,0,1,
com/corrodinggames/rts/gameFramework/utility/SlickToAndroidKeycodes$LibrocketKeys,2,2,0,1,0,1,
com/corrodinggames/rts/gameFramework/utility/SlickToAndroidKeycodes$MissingKey,2,2,0,1,0,1,
com/corrodinggames/rts/gameFramework/utility/SlickToAndroidKeycodes$SlickCodes,2,2,0,1,0,1,
com/corrodinggames/rts/java/v,7,7,0,1,0,6,
