kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
field,com/corrodinggames/rts/game/units/custom/logicBooleans/BooleanParseException,J,serialVersionUID,field_BooleanParseException_serialVersionUID,serialVersionUID,v0.27-mapping-expansion,logic-boolean,confirmed,javap member declaration retains descriptive LogicBoolean DSL name,
method,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean,()Z,requireBooleanChildren,method_CompareJoinerBoolean_requireBooleanChildren,requireBooleanChildren,v0.27-mapping-expansion,logic-boolean,confirmed,javap member declaration retains descriptive LogicBoolean DSL name,
method,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$CompareBooleanOnly,()Z,requireBooleanChildren,method_CompareJoinerBoolean$CompareBooleanOnly_requireBooleanChildren,requireBooleanChildren,v0.27-mapping-expansion,logic-boolean,confirmed,javap member declaration retains descriptive LogicBoolean DSL name,
method,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$CompareBooleanOnly,(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBooleanLoader$LogicBooleanContext;Z)Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,validateAndOptimize,method_CompareJoinerBoolean$CompareBooleanOnly_validateAndOptimize,validateAndOptimize,v0.27-mapping-expansion,logic-boolean,confirmed,javap member declaration retains descriptive LogicBoolean DSL name,
method,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$CompareEqualBoolean,(Lcom/corrodinggames/rts/game/units/y;)Z,read,method_CompareJoinerBoolean$CompareEqualBoolean_read,read,v0.27-mapping-expansion,logic-boolean,confirmed,javap member declaration retains descriptive LogicBoolean DSL name,
method,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$CompareEqualBoolean,()Ljava/lang/String;,type,method_CompareJoinerBoolean$CompareEqualBoolean_type,type,v0.27-mapping-expansion,logic-boolean,confirmed,javap member declaration retains descriptive LogicBoolean DSL name,
method,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$CompareEqualNumbers,(Lcom/corrodinggames/rts/game/units/y;)Z,read,method_CompareJoinerBoolean$CompareEqualNumbers_read,read,v0.27-mapping-expansion,logic-boolean,confirmed,javap member declaration retains descriptive LogicBoolean DSL name,
method,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$CompareEqualNumbers,()Ljava/lang/String;,type,method_CompareJoinerBoolean$CompareEqualNumbers_type,type,v0.27-mapping-expansion,logic-boolean,confirmed,javap member declaration retains descriptive LogicBoolean DSL name,
method,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$CompareEqualStrings,(Lcom/corrodinggames/rts/game/units/y;)Z,read,method_CompareJoinerBoolean$CompareEqualStrings_read,read,v0.27-mapping-expansion,logic-boolean,confirmed,javap member declaration retains descriptive LogicBoolean DSL name,
method,com/corrodinggames/rts/game/units/custom/logicBooleans/CompareJoinerBoolean$CompareEqualStrings,()Ljava/lang/String;,type,method_CompareJoinerBoolean$CompareEqualStrings_type,type,v0.27-mapping-expansion,logic-boolean,confirmed,javap member declaration retains descriptive LogicBoolean DSL name,
