kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/game/b/b$1,,,rw/map/MapXmlEmptyEntityResolver1,rustedwarfare/map/MapXmlEmptyEntityResolver1,v0.52-map-terrain-tileset-cache,map-terrain-tileset-cache,medium,javap b$1 implements EntityResolver and returns empty InputSource,anonymous resolver used while parsing map XML
class,com/corrodinggames/rts/game/b/b$2,,,rw/map/MapXmlEmptyEntityResolver2,rustedwarfare/map/MapXmlEmptyEntityResolver2,v0.52-map-terrain-tileset-cache,map-terrain-tileset-cache,medium,javap b$2 implements EntityResolver and returns empty InputSource,anonymous resolver used while parsing map XML
field,com/corrodinggames/rts/game/b/b$1,Lcom/corrodinggames/rts/game/b/b;,a,field_b_1_map,map,v0.52-map-terrain-tileset-cache,map-terrain-tileset-cache,high,synthetic final outer MapEngine field,
method,com/corrodinggames/rts/game/b/b$1,(Lcom/corrodinggames/rts/game/b/b;)V,<init>,<init>,<init>,v0.52-map-terrain-tileset-cache,map-terrain-tileset-cache,high,constructor stores outer MapEngine,Constructor named namespace must remain <init>.
method,com/corrodinggames/rts/game/b/b$1,(Ljava/lang/String;Ljava/lang/String;)Lorg/xml/sax/InputSource;,resolveEntity,method_b_1_resolveEntity,resolveEntity,v0.52-map-terrain-tileset-cache,map-terrain-tileset-cache,high,returns InputSource over empty ByteArrayInputStream,prevents external entity loading while parsing TMX/XML
field,com/corrodinggames/rts/game/b/b$2,Lcom/corrodinggames/rts/game/b/b;,a,field_b_2_map,map,v0.52-map-terrain-tileset-cache,map-terrain-tileset-cache,high,synthetic final outer MapEngine field,
method,com/corrodinggames/rts/game/b/b$2,(Lcom/corrodinggames/rts/game/b/b;)V,<init>,<init>,<init>,v0.52-map-terrain-tileset-cache,map-terrain-tileset-cache,high,constructor stores outer MapEngine,Constructor named namespace must remain <init>.
method,com/corrodinggames/rts/game/b/b$2,(Ljava/lang/String;Ljava/lang/String;)Lorg/xml/sax/InputSource;,resolveEntity,method_b_2_resolveEntity,resolveEntity,v0.52-map-terrain-tileset-cache,map-terrain-tileset-cache,high,returns InputSource over empty ByteArrayInputStream,prevents external entity loading while parsing TMX/XML
field,com/corrodinggames/rts/game/b/b,Ljava/util/concurrent/locks/ReentrantLock;,e,field_b_mapLoadLock,mapLoadLock,v0.52-map-terrain-tileset-cache,map-terrain-tileset-cache,high,static lock used by acquire/release map load lock methods,
field,com/corrodinggames/rts/game/b/b,Z,f,field_b_skipMapLoadLocking,skipMapLoadLocking,v0.52-map-terrain-tileset-cache,map-terrain-tileset-cache,medium,acquire/release methods return early when true,
field,com/corrodinggames/rts/game/b/b,Lcom/corrodinggames/rts/game/b/h;,l,field_b_fullScaleTileAtlas,fullScaleTileAtlas,v0.52-map-terrain-tileset-cache,map-terrain-tileset-cache,high,"loadSmoothFogAssets creates TileAtlas(1.0f,false) into field l",
field,com/corrodinggames/rts/game/b/b,Lcom/corrodinggames/rts/game/b/h;,m,field_b_halfScaleTileAtlas,halfScaleTileAtlas,v0.52-map-terrain-tileset-cache,map-terrain-tileset-cache,high,"loadSmoothFogAssets creates TileAtlas(0.5f,false) into field m",
field,com/corrodinggames/rts/game/b/b,I,as,field_b_nextRegisteredTileId,nextRegisteredTileId,v0.52-map-terrain-tileset-cache,map-terrain-tileset-cache,high,registerTile increments this index and stores tile in registeredTiles,
method,com/corrodinggames/rts/game/b/b,()V,a,method_b_acquireMapLoadLock,acquireMapLoadLock,v0.52-map-terrain-tileset-cache,map-terrain-tileset-cache,high,static method locks mapLoadLock unless skipMapLoadLocking,
method,com/corrodinggames/rts/game/b/b,()V,b,method_b_releaseMapLoadLock,releaseMapLoadLock,v0.52-map-terrain-tileset-cache,map-terrain-tileset-cache,high,static method unlocks mapLoadLock unless skipMapLoadLocking,
method,com/corrodinggames/rts/game/b/b,(ILcom/corrodinggames/rts/gameFramework/m/e;)V,a,method_b_drawSmoothFogAtlasTile,drawSmoothFogAtlasTile,v0.52-map-terrain-tileset-cache,map-terrain-tileset-cache,medium-high,draws one generated smooth-fog atlas tile using getSmoothFogAtlasSourceRect,
method,com/corrodinggames/rts/game/b/b,(ILandroid/graphics/Rect;)V,a,method_b_getSmoothFogAtlasSourceRect,getSmoothFogAtlasSourceRect,v0.52-map-terrain-tileset-cache,map-terrain-tileset-cache,high,computes 20x20 source rect in 16-column smooth fog atlas,
