kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/gameFramework/n/e$1,,,rw/mission/internal/MissionTriggerTypeObjective,rustedwarfare/mission/internal/MissionTriggerTypeObjective,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"MissionTriggerType.<clinit> enum constant for objective; anonymous subclass returns ""objective""",
method,com/corrodinggames/rts/gameFramework/n/e$1,(Ljava/lang/String;I)V,<init>,<init>,<init>,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,anonymous MissionTriggerType enum-constant constructor,
method,com/corrodinggames/rts/gameFramework/n/e$1,()Ljava/lang/String;,a,method_e_1_getTypeName,getTypeName,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"javap com/corrodinggames/rts/gameFramework/n/e$1: a() returns ""objective""; overrides MissionTriggerType.getTypeName",
class,com/corrodinggames/rts/gameFramework/n/e$4,,,rw/mission/internal/MissionTriggerTypeEventMove,rustedwarfare/mission/internal/MissionTriggerTypeEventMove,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"MissionTriggerType.<clinit> enum constant for eventMove; anonymous subclass returns ""move""",
method,com/corrodinggames/rts/gameFramework/n/e$4,(Ljava/lang/String;I)V,<init>,<init>,<init>,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,anonymous MissionTriggerType enum-constant constructor,
method,com/corrodinggames/rts/gameFramework/n/e$4,()Ljava/lang/String;,a,method_e_4_getTypeName,getTypeName,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"javap com/corrodinggames/rts/gameFramework/n/e$4: a() returns ""move""; overrides MissionTriggerType.getTypeName",
class,com/corrodinggames/rts/gameFramework/n/e$5,,,rw/mission/internal/MissionTriggerTypeEventChangeCredits,rustedwarfare/mission/internal/MissionTriggerTypeEventChangeCredits,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"MissionTriggerType.<clinit> enum constant for eventChangeCredits; anonymous subclass returns ""changeCredits""",
method,com/corrodinggames/rts/gameFramework/n/e$5,(Ljava/lang/String;I)V,<init>,<init>,<init>,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,anonymous MissionTriggerType enum-constant constructor,
method,com/corrodinggames/rts/gameFramework/n/e$5,()Ljava/lang/String;,a,method_e_5_getTypeName,getTypeName,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"javap com/corrodinggames/rts/gameFramework/n/e$5: a() returns ""changeCredits""; overrides MissionTriggerType.getTypeName",
class,com/corrodinggames/rts/gameFramework/n/e$6,,,rw/mission/internal/MissionTriggerTypeEventTeamTags,rustedwarfare/mission/internal/MissionTriggerTypeEventTeamTags,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"MissionTriggerType.<clinit> enum constant for eventTeamTags; anonymous subclass returns ""teamTags""",
method,com/corrodinggames/rts/gameFramework/n/e$6,(Ljava/lang/String;I)V,<init>,<init>,<init>,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,anonymous MissionTriggerType enum-constant constructor,
method,com/corrodinggames/rts/gameFramework/n/e$6,()Ljava/lang/String;,a,method_e_6_getTypeName,getTypeName,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"javap com/corrodinggames/rts/gameFramework/n/e$6: a() returns ""teamTags""; overrides MissionTriggerType.getTypeName",
class,com/corrodinggames/rts/gameFramework/n/e$7,,,rw/mission/internal/MissionTriggerTypeEventUnitAdd,rustedwarfare/mission/internal/MissionTriggerTypeEventUnitAdd,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"MissionTriggerType.<clinit> enum constant for eventUnitAdd; anonymous subclass returns ""unitAdd""",
method,com/corrodinggames/rts/gameFramework/n/e$7,(Ljava/lang/String;I)V,<init>,<init>,<init>,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,anonymous MissionTriggerType enum-constant constructor,
method,com/corrodinggames/rts/gameFramework/n/e$7,()Ljava/lang/String;,a,method_e_7_getTypeName,getTypeName,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"javap com/corrodinggames/rts/gameFramework/n/e$7: a() returns ""unitAdd""; overrides MissionTriggerType.getTypeName",
class,com/corrodinggames/rts/gameFramework/n/e$8,,,rw/mission/internal/MissionTriggerTypeEventUnitRemove,rustedwarfare/mission/internal/MissionTriggerTypeEventUnitRemove,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"MissionTriggerType.<clinit> enum constant for eventUnitRemove; anonymous subclass returns ""unitRemove""",
method,com/corrodinggames/rts/gameFramework/n/e$8,(Ljava/lang/String;I)V,<init>,<init>,<init>,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,anonymous MissionTriggerType enum-constant constructor,
method,com/corrodinggames/rts/gameFramework/n/e$8,()Ljava/lang/String;,a,method_e_8_getTypeName,getTypeName,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"javap com/corrodinggames/rts/gameFramework/n/e$8: a() returns ""unitRemove""; overrides MissionTriggerType.getTypeName",
class,com/corrodinggames/rts/gameFramework/n/e$9,,,rw/mission/internal/MissionTriggerTypeMapText,rustedwarfare/mission/internal/MissionTriggerTypeMapText,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"MissionTriggerType.<clinit> enum constant for mapText; anonymous subclass returns ""mapText""",
method,com/corrodinggames/rts/gameFramework/n/e$9,(Ljava/lang/String;I)V,<init>,<init>,<init>,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,anonymous MissionTriggerType enum-constant constructor,
method,com/corrodinggames/rts/gameFramework/n/e$9,()Ljava/lang/String;,a,method_e_9_getTypeName,getTypeName,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"javap com/corrodinggames/rts/gameFramework/n/e$9: a() returns ""mapText""; overrides MissionTriggerType.getTypeName",
class,com/corrodinggames/rts/gameFramework/n/e$10,,,rw/mission/internal/MissionTriggerTypeMoveCamera,rustedwarfare/mission/internal/MissionTriggerTypeMoveCamera,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"MissionTriggerType.<clinit> enum constant for moveCamera; anonymous subclass returns ""moveCamera""",
method,com/corrodinggames/rts/gameFramework/n/e$10,(Ljava/lang/String;I)V,<init>,<init>,<init>,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,anonymous MissionTriggerType enum-constant constructor,
method,com/corrodinggames/rts/gameFramework/n/e$10,()Ljava/lang/String;,a,method_e_10_getTypeName,getTypeName,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"javap com/corrodinggames/rts/gameFramework/n/e$10: a() returns ""moveCamera""; overrides MissionTriggerType.getTypeName",
class,com/corrodinggames/rts/gameFramework/n/e$11,,,rw/mission/internal/MissionTriggerTypeTriggerUnitDetect,rustedwarfare/mission/internal/MissionTriggerTypeTriggerUnitDetect,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"MissionTriggerType.<clinit> enum constant for triggerUnitDetect; anonymous subclass returns ""unitDetect""",
method,com/corrodinggames/rts/gameFramework/n/e$11,(Ljava/lang/String;I)V,<init>,<init>,<init>,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,anonymous MissionTriggerType enum-constant constructor,
method,com/corrodinggames/rts/gameFramework/n/e$11,()Ljava/lang/String;,a,method_e_11_getTypeName,getTypeName,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"javap com/corrodinggames/rts/gameFramework/n/e$11: a() returns ""unitDetect""; overrides MissionTriggerType.getTypeName",
class,com/corrodinggames/rts/gameFramework/n/e$2,,,rw/mission/internal/MissionTriggerTypeTriggerTeamTagDetect,rustedwarfare/mission/internal/MissionTriggerTypeTriggerTeamTagDetect,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"MissionTriggerType.<clinit> enum constant for triggerTeamTagDetect; anonymous subclass returns ""teamTagDetect""",
method,com/corrodinggames/rts/gameFramework/n/e$2,(Ljava/lang/String;I)V,<init>,<init>,<init>,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,anonymous MissionTriggerType enum-constant constructor,
method,com/corrodinggames/rts/gameFramework/n/e$2,()Ljava/lang/String;,a,method_e_2_getTypeName,getTypeName,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"javap com/corrodinggames/rts/gameFramework/n/e$2: a() returns ""teamTagDetect""; overrides MissionTriggerType.getTypeName",
class,com/corrodinggames/rts/gameFramework/n/e$3,,,rw/mission/internal/MissionTriggerTypeTriggerBasic,rustedwarfare/mission/internal/MissionTriggerTypeTriggerBasic,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"MissionTriggerType.<clinit> enum constant for triggerBasic; anonymous subclass returns ""basic""",
