kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/gameFramework/m/l,,,rw/render/CanvasDrawTarget,rustedwarfare/render/CanvasDrawTarget,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/j,,,rw/render/AndroidCanvasDrawTarget,rustedwarfare/render/AndroidCanvasDrawTarget,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/k,,,rw/render/GlCanvasDrawTarget,rustedwarfare/render/GlCanvasDrawTarget,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/n,,,rw/render/NoOpCanvasDrawTarget,rustedwarfare/render/NoOpCanvasDrawTarget,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/u,,,rw/render/AbstractCanvasDrawTarget,rustedwarfare/render/AbstractCanvasDrawTarget,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/o,,,rw/render/QueuedCanvasDrawTarget,rustedwarfare/render/QueuedCanvasDrawTarget,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/p,,,rw/render/CanvasOperation,rustedwarfare/render/CanvasOperation,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/q,,,rw/render/ReusableDrawObjectPool,rustedwarfare/render/ReusableDrawObjectPool,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/s,,,rw/render/QueuedCanvasCommand,rustedwarfare/render/QueuedCanvasCommand,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/t,,,rw/render/QueuedCanvasCommandPool,rustedwarfare/render/QueuedCanvasCommandPool,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/m,,,rw/render/DrawTimeCallback,rustedwarfare/render/DrawTimeCallback,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/d,,,rw/render/ImageDrawMode,rustedwarfare/render/ImageDrawMode,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/w,,,rw/render/ShaderBlendMode,rustedwarfare/render/ShaderBlendMode,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/v,,,rw/render/ShaderColorFilter,rustedwarfare/render/ShaderColorFilter,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/ae,,,rw/render/ShaderProgram,rustedwarfare/render/ShaderProgram,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/af,,,rw/render/ShaderParameter,rustedwarfare/render/ShaderParameter,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/r,,,rw/render/DrawCommandMarker,rustedwarfare/render/DrawCommandMarker,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
field,com/corrodinggames/rts/gameFramework/m/d,Lcom/corrodinggames/rts/gameFramework/m/d;,a,field_d_normal,normal,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"ImageDrawMode <clinit> string ""Normal""",
field,com/corrodinggames/rts/gameFramework/m/d,Lcom/corrodinggames/rts/gameFramework/m/d;,b,field_d_rect,rect,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"ImageDrawMode <clinit> string ""Rect""",
field,com/corrodinggames/rts/gameFramework/m/d,[Lcom/corrodinggames/rts/gameFramework/m/d;,c,field_d_$VALUES,$VALUES,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,enum synthetic values array,
field,com/corrodinggames/rts/gameFramework/m/w,Lcom/corrodinggames/rts/gameFramework/m/w;,a,field_w_normal,normal,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"ShaderBlendMode <clinit> string ""normal""",
field,com/corrodinggames/rts/gameFramework/m/w,Lcom/corrodinggames/rts/gameFramework/m/w;,b,field_w_copy,copy,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"ShaderBlendMode <clinit> string ""copy""; BitmapOrTextureAlias installs ShaderColorFilter(copy)",
field,com/corrodinggames/rts/gameFramework/m/w,Lcom/corrodinggames/rts/gameFramework/m/w;,c,field_w_additive,additive,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"ShaderBlendMode <clinit> string ""additive""",
