family,official_name,descriptor,expected_count,mapped_count,missing_count,missing_owners
clipRect,a,(Landroid/graphics/Rect;)V,5,5,0,
clipRect,a,(Landroid/graphics/RectF;)V,5,5,0,
drawImage,a,(Lcom/corrodinggames/rts/gameFramework/m/e;FFLandroid/graphics/Paint;)V,5,5,0,
drawImage,a,(Lcom/corrodinggames/rts/gameFramework/m/e;Landroid/graphics/Rect;Landroid/graphics/Rect;Landroid/graphics/Paint;)V,5,5,0,
drawImage,a,(Lcom/corrodinggames/rts/gameFramework/m/e;Landroid/graphics/Rect;Landroid/graphics/RectF;Landroid/graphics/Paint;)V,5,5,0,
drawCircle,a,(FFFLandroid/graphics/Paint;)V,5,5,0,
drawColor,a,(ILandroid/graphics/PorterDuff$Mode;)V,5,5,0,
drawColor,a,(I)V,5,5,0,
drawLine,a,(FFFFLandroid/graphics/Paint;)V,5,5,0,
drawLines,a,([FIILandroid/graphics/Paint;)V,5,5,0,
drawRect,a,(Landroid/graphics/Rect;Landroid/graphics/Paint;)V,5,5,0,
drawRect,a,(Landroid/graphics/RectF;Landroid/graphics/Paint;)V,5,5,0,
drawText,a,(Ljava/lang/String;FFLandroid/graphics/Paint;)V,5,5,0,
restore,a,()V,5,5,0,
rotate,a,(FFF)V,5,5,0,
save,b,()V,5,5,0,
scale,a,(FF)V,5,5,0,
scale,a,(FFFF)V,5,5,0,
setBitmapFromImage,a,(Lcom/corrodinggames/rts/gameFramework/m/e;)V,5,5,0,
translate,b,(FF)V,5,5,0,
runDrawTimeCallback,a,(Lcom/corrodinggames/rts/gameFramework/m/m;)V,5,5,0,
flushBitmap,a,(Landroid/graphics/Bitmap;)V,5,5,0,
enterLock,a,(Ljava/util/concurrent/locks/Lock;)V,5,5,0,
leaveLock,b,(Ljava/util/concurrent/locks/Lock;)V,5,5,0,
compileShader,a,(Lcom/corrodinggames/rts/gameFramework/m/ae;)Z,5,5,0,
