kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/gameFramework/b/h,,,rw/render/gl/ShaderSource,rustedwarfare/render/gl/ShaderSource,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/a,,,rw/render/gl/ShapeShaderSource,rustedwarfare/render/gl/ShapeShaderSource,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/g,,,rw/render/gl/CircleOutlineShaderSource,rustedwarfare/render/gl/CircleOutlineShaderSource,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/af,,,rw/render/gl/TextureShaderFilter,rustedwarfare/render/gl/TextureShaderFilter,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/c,,,rw/render/gl/DefaultTextureShaderFilter,rustedwarfare/render/gl/DefaultTextureShaderFilter,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/d,,,rw/render/gl/TextureVertexShaderSource,rustedwarfare/render/gl/TextureVertexShaderSource,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/m,,,rw/render/gl/TextureShaderBinder,rustedwarfare/render/gl/TextureShaderBinder,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/k,,,rw/render/gl/GlCanvas,rustedwarfare/render/gl/GlCanvas,v0.58-render-gl-backend,render-gl-backend,high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/n,,,rw/render/gl/Gles20Canvas,rustedwarfare/render/gl/Gles20Canvas,v0.58-render-gl-backend,render-gl-backend,high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/v,,,rw/render/gl/GlPaint,rustedwarfare/render/gl/GlPaint,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/q,,,rw/render/gl/GlProgramParameter,rustedwarfare/render/gl/GlProgramParameter,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/o,,,rw/render/gl/GlAttributeParameter,rustedwarfare/render/gl/GlAttributeParameter,v0.58-render-gl-backend,render-gl-backend,high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/s,,,rw/render/gl/GlUniformParameter,rustedwarfare/render/gl/GlUniformParameter,v0.58-render-gl-backend,render-gl-backend,high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/z,,,rw/render/gl/TextureProgramHandles,rustedwarfare/render/gl/TextureProgramHandles,v0.58-render-gl-backend,render-gl-backend,high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/ak,,,rw/render/gl/ShapeProgramHandles,rustedwarfare/render/gl/ShapeProgramHandles,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/y,,,rw/render/gl/TextureDrawBatch,rustedwarfare/render/gl/TextureDrawBatch,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
