kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/gameFramework/b/af,,,rw/render/gl/TextureShaderFilter,rustedwarfare/render/gl/TextureShaderFilter,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/c,,,rw/render/gl/DefaultTextureShaderFilter,rustedwarfare/render/gl/DefaultTextureShaderFilter,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/d,,,rw/render/gl/TextureVertexShaderSource,rustedwarfare/render/gl/TextureVertexShaderSource,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/j,,,rw/render/gl/TextureReloadCallback,rustedwarfare/render/gl/TextureReloadCallback,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/l,,,rw/render/gl/TextureCoordinateTransformer,rustedwarfare/render/gl/TextureCoordinateTransformer,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/m,,,rw/render/gl/TextureShaderBinder,rustedwarfare/render/gl/TextureShaderBinder,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/b,,,rw/render/gl/BasicTexture,rustedwarfare/render/gl/BasicTexture,v0.58-render-gl-backend,render-gl-backend,high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/ab,,,rw/render/gl/TextureResource,rustedwarfare/render/gl/TextureResource,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/u,,,rw/render/gl/TextureIdGenerator,rustedwarfare/render/gl/TextureIdGenerator,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/t,,,rw/render/gl/Gles20TextureIdGenerator,rustedwarfare/render/gl/Gles20TextureIdGenerator,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/w,,,rw/render/gl/DeferredTextureDeleteQueue,rustedwarfare/render/gl/DeferredTextureDeleteQueue,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/x,,,rw/render/gl/RawTexture,rustedwarfare/render/gl/RawTexture,v0.58-render-gl-backend,render-gl-backend,high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/ah,,,rw/render/gl/UploadedTexture,rustedwarfare/render/gl/UploadedTexture,v0.58-render-gl-backend,render-gl-backend,high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/e,,,rw/render/gl/BitmapTexture,rustedwarfare/render/gl/BitmapTexture,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/ad,,,rw/render/gl/BackingTexture,rustedwarfare/render/gl/BackingTexture,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
