kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/gameFramework/b/a,,,rw/render/gl/ShapeShaderSource,rustedwarfare/render/gl/ShapeShaderSource,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/af,,,rw/render/gl/TextureShaderFilter,rustedwarfare/render/gl/TextureShaderFilter,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/ab,,,rw/render/gl/TextureResource,rustedwarfare/render/gl/TextureResource,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/ah,,,rw/render/gl/UploadedTexture,rustedwarfare/render/gl/UploadedTexture,v0.58-render-gl-backend,render-gl-backend,high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/ad,,,rw/render/gl/BackingTexture,rustedwarfare/render/gl/BackingTexture,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/ae,,,rw/render/gl/AtlasSubTexture,rustedwarfare/render/gl/AtlasSubTexture,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/ac,,,rw/render/gl/TextureAtlas,rustedwarfare/render/gl/TextureAtlas,v0.58-render-gl-backend,render-gl-backend,high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/ag,,,rw/render/gl/TextureRectHelper,rustedwarfare/render/gl/TextureRectHelper,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/ai,,,rw/render/gl/BitmapPoolKey,rustedwarfare/render/gl/BitmapPoolKey,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/ak,,,rw/render/gl/ShapeProgramHandles,rustedwarfare/render/gl/ShapeProgramHandles,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/aa,,,rw/render/gl/TextureVertexBuffer,rustedwarfare/render/gl/TextureVertexBuffer,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/aj,,,rw/render/gl/ShapeDrawBatch,rustedwarfare/render/gl/ShapeDrawBatch,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/al,,,rw/render/gl/ShapeVertexBuffer,rustedwarfare/render/gl/ShapeVertexBuffer,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/a/a,,,rw/render/gl/GlTextAttribute,rustedwarfare/render/gl/GlTextAttribute,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/a/a/b,,,rw/render/gl/GlTextShaderProgram,rustedwarfare/render/gl/GlTextShaderProgram,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/a/a/a,,,rw/render/gl/GlTextAlphaShaderProgram,rustedwarfare/render/gl/GlTextAlphaShaderProgram,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/a/b,,,rw/render/gl/GlText,rustedwarfare/render/gl/GlText,v0.58-render-gl-backend,render-gl-backend,high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/a/c,,,rw/render/gl/GlTextGlyph,rustedwarfare/render/gl/GlTextGlyph,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/a/d,,,rw/render/gl/GlTextBatch,rustedwarfare/render/gl/GlTextBatch,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/a/e,,,rw/render/gl/GlTextPage,rustedwarfare/render/gl/GlTextPage,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/a/f,,,rw/render/gl/GlTextShaderUtil,rustedwarfare/render/gl/GlTextShaderUtil,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/a/g,,,rw/render/gl/GlTextVertexBuffer,rustedwarfare/render/gl/GlTextVertexBuffer,v0.58-render-gl-backend,render-gl-backend,medium-high,javap signatures and GL/GLES string constants,
class,com/corrodinggames/rts/gameFramework/b/ah$1,,,rw/render/gl/internal/Obf_ah_1,rustedwarfare/render/gl/internal/Obf_ah_1,v0.58-render-gl-backend,render-gl-backend,low,owner placeholder to keep package class coverage complete,Conservative owner placeholder; no semantic name claimed.
method,com/corrodinggames/rts/gameFramework/b/ad,(Lcom/corrodinggames/rts/gameFramework/b/k;)V,b,method_ad_b_prepare,prepare,v0.58-render-gl-backend,render-gl-backend,high,BasicTexture override family propagated in v0.58,
method,com/corrodinggames/rts/gameFramework/b/ad,(Lcom/corrodinggames/rts/gameFramework/b/k;)Z,c,method_ad_c_onBind,onBind,v0.58-render-gl-backend,render-gl-backend,high,BasicTexture override family propagated in v0.58,
method,com/corrodinggames/rts/gameFramework/b/ad,()I,g,method_ad_g_getTarget,getTarget,v0.58-render-gl-backend,render-gl-backend,high,BasicTexture override family propagated in v0.58,
method,com/corrodinggames/rts/gameFramework/b/ad,(I)V,b,method_ad_b_setTextureFilter,setTextureFilter,v0.58-render-gl-backend,render-gl-backend,high,BasicTexture override family propagated in v0.58,
method,com/corrodinggames/rts/gameFramework/b/ad,()I,h,method_ad_h_getTextureFilter,getTextureFilter,v0.58-render-gl-backend,render-gl-backend,high,BasicTexture override family propagated in v0.58,
method,com/corrodinggames/rts/gameFramework/b/ae,(Lcom/corrodinggames/rts/gameFramework/b/k;)V,b,method_ae_b_prepare,prepare,v0.58-render-gl-backend,render-gl-backend,high,BasicTexture override family propagated in v0.58,
