owner_official,kind,official_name,descriptor,expected_named_name,present,evidence
com/corrodinggames/rts/gameFramework/m/ad,class,,,rustedwarfare/client/render/MutableBitmapOrTexture,True,toString literal: MutableBitmapOrTexture(...); delegates almost all GameImage operations to wrapped image
com/corrodinggames/rts/gameFramework/m/h,class,,,rustedwarfare/client/render/LazyTeamColorImage,True,LazyColoring(...) name string; lazy loads base image into team-colored image; shader and CPU recolor paths
com/corrodinggames/rts/gameFramework/m/i,class,,,rustedwarfare/render/TeamColorShaderProgram,True,Constructed by LazyTeamColorImage with pureGreen/hueAdd/hueShift shader fragments and teamColor uniform
com/corrodinggames/rts/java/s,class,,,rustedwarfare/client/render/SlickBitmapOrTexture,True,Leak/debug log literal: SlickBitmapOrTexture; wraps org.newdawn.slick.Image and ImageData
com/corrodinggames/rts/java/a,class,,,rustedwarfare/client/render/SlickFallbackBitmapOrTexture,True,Wrapper used for Out of memory/General Error/Too Large Thumbnail Error fallback images; A() returns true
com/corrodinggames/rts/java/t,class,,,rustedwarfare/client/render/SlickTextureReadbackImageData,True,ImageData implementation built from Image.getTexture().getTextureData() in SlickBitmapOrTexture.recreateImageDataFromTexture
com/corrodinggames/rts/java/a/a,class,,,rustedwarfare/client/render/BufferedSlickImageData,True,ImageIO fallback adapter wrapping ImageData plus ByteBuffer after PNGImageData load failure
com/corrodinggames/rts/gameFramework/m/ad,method,<init>,(Lcom/corrodinggames/rts/gameFramework/m/e;)V,<init>,True,constructor from class descriptor inventory
com/corrodinggames/rts/gameFramework/m/h,method,<init>,(Lcom/corrodinggames/rts/gameFramework/m/e;ILcom/corrodinggames/rts/game/o;I)V,<init>,True,"constructor stores source image, team color, coloring mode, and team index"
com/corrodinggames/rts/gameFramework/m/i,method,<init>,(Ljava/lang/String;Z)V,<init>,True,constructor used by LazyTeamColorImage shader loader
com/corrodinggames/rts/java/s,method,<init>,()V,<init>,True,constructor registers image in live Slick bitmap/texture list
com/corrodinggames/rts/java/a,method,<init>,(Lcom/corrodinggames/rts/java/s;)V,<init>,True,constructor wraps fallback SlickBitmapOrTexture
com/corrodinggames/rts/java/t,method,<init>,(Lcom/corrodinggames/rts/java/s;Lorg/newdawn/slick/Image;)V,<init>,True,constructor snapshots Slick texture metadata and raw texture data
com/corrodinggames/rts/java/a/a,method,<init>,(Lorg/newdawn/slick/opengl/ImageData;Ljava/nio/ByteBuffer;)V,<init>,True,constructor stores delegate ImageData and ImageIO ByteBuffer
com/corrodinggames/rts/gameFramework/m/e,field,i,Lcom/corrodinggames/rts/gameFramework/m/ae;,shader,True,GameImage.B()/setShader read and write field i
