kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/gameFramework/m/ad,,,rw/client/render/MutableBitmapOrTexture,rustedwarfare/client/render/MutableBitmapOrTexture,v0.69-render-image-texture-lifecycle,render-image-texture,high,toString literal: MutableBitmapOrTexture(...); delegates almost all GameImage operations to wrapped image,
class,com/corrodinggames/rts/gameFramework/m/h,,,rw/client/render/LazyTeamColorImage,rustedwarfare/client/render/LazyTeamColorImage,v0.69-render-image-texture-lifecycle,render-image-texture,high,LazyColoring(...) name string; lazy loads base image into team-colored image; shader and CPU recolor paths,
class,com/corrodinggames/rts/gameFramework/m/i,,,rw/render/TeamColorShaderProgram,rustedwarfare/render/TeamColorShaderProgram,v0.69-render-image-texture-lifecycle,render-image-texture,high,Constructed by LazyTeamColorImage with pureGreen/hueAdd/hueShift shader fragments and teamColor uniform,
class,com/corrodinggames/rts/java/s,,,rw/client/render/SlickBitmapOrTexture,rustedwarfare/client/render/SlickBitmapOrTexture,v0.69-render-image-texture-lifecycle,render-image-texture,high,Leak/debug log literal: SlickBitmapOrTexture; wraps org.newdawn.slick.Image and ImageData,
class,com/corrodinggames/rts/java/a,,,rw/client/render/SlickFallbackBitmapOrTexture,rustedwarfare/client/render/SlickFallbackBitmapOrTexture,v0.69-render-image-texture-lifecycle,render-image-texture,high,Wrapper used for Out of memory/General Error/Too Large Thumbnail Error fallback images; A() returns true,
class,com/corrodinggames/rts/java/t,,,rw/client/render/SlickTextureReadbackImageData,rustedwarfare/client/render/SlickTextureReadbackImageData,v0.69-render-image-texture-lifecycle,render-image-texture,high,ImageData implementation built from Image.getTexture().getTextureData() in SlickBitmapOrTexture.recreateImageDataFromTexture,
class,com/corrodinggames/rts/java/a/a,,,rw/client/render/BufferedSlickImageData,rustedwarfare/client/render/BufferedSlickImageData,v0.69-render-image-texture-lifecycle,render-image-texture,high,ImageIO fallback adapter wrapping ImageData plus ByteBuffer after PNGImageData load failure,
method,com/corrodinggames/rts/gameFramework/m/ad,(Lcom/corrodinggames/rts/gameFramework/m/e;)V,<init>,<init>,<init>,v0.69-render-image-texture-lifecycle,render-image-texture,high,constructor from class descriptor inventory,
method,com/corrodinggames/rts/gameFramework/m/h,(Lcom/corrodinggames/rts/gameFramework/m/e;ILcom/corrodinggames/rts/game/o;I)V,<init>,<init>,<init>,v0.69-render-image-texture-lifecycle,render-image-texture,high,"constructor stores source image, team color, coloring mode, and team index",
method,com/corrodinggames/rts/gameFramework/m/i,(Ljava/lang/String;Z)V,<init>,<init>,<init>,v0.69-render-image-texture-lifecycle,render-image-texture,high,constructor used by LazyTeamColorImage shader loader,
method,com/corrodinggames/rts/java/s,()V,<init>,<init>,<init>,v0.69-render-image-texture-lifecycle,render-image-texture,high,constructor registers image in live Slick bitmap/texture list,
method,com/corrodinggames/rts/java/a,(Lcom/corrodinggames/rts/java/s;)V,<init>,<init>,<init>,v0.69-render-image-texture-lifecycle,render-image-texture,high,constructor wraps fallback SlickBitmapOrTexture,
method,com/corrodinggames/rts/java/t,(Lcom/corrodinggames/rts/java/s;Lorg/newdawn/slick/Image;)V,<init>,<init>,<init>,v0.69-render-image-texture-lifecycle,render-image-texture,high,constructor snapshots Slick texture metadata and raw texture data,
method,com/corrodinggames/rts/java/a/a,(Lorg/newdawn/slick/opengl/ImageData;Ljava/nio/ByteBuffer;)V,<init>,<init>,<init>,v0.69-render-image-texture-lifecycle,render-image-texture,high,constructor stores delegate ImageData and ImageIO ByteBuffer,
field,com/corrodinggames/rts/gameFramework/m/e,Lcom/corrodinggames/rts/gameFramework/m/ae;,i,field_e_shader,shader,v0.69-render-image-texture-lifecycle,render-image-texture,high,GameImage.B()/setShader read and write field i,
method,com/corrodinggames/rts/gameFramework/m/e,()V,q,method_e_releaseImageData,releaseImageData,v0.69-render-image-texture-lifecycle,render-image-texture,medium,base no-op; SlickBitmapOrTexture.q delegates to image-data discard helper; LazyTeamColorImage calls sourceImage.q after coloring,
