owner_official,kind,official_name,descriptor,expected_named_name,actual_named_name,present,evidence
com/corrodinggames/rts/game/units/am,method,cy,()F,getCreditGenerationPerSecond,getCreditGenerationPerSecond,true,"Unit base returns 0.0f; HUD code calls Unit.cy() when rendering ""Income: $"" lines."
com/corrodinggames/rts/game/units/am,method,g,()F,getResourceRate,getResourceRate,true,Unit base returns 0.0f; CustomUnit override returns metadata.resourceRate and cP() uses it when auto-completing zero-build-rate resource producers.
com/corrodinggames/rts/game/units/am,method,cQ,()I,getResourceMaxConcurrentReclaimingThis,getResourceMaxConcurrentReclaimingThis,true,Unit base returns Integer.MAX_VALUE; CustomUnit override returns metadata.resourceMaxConcurrentReclaimingThis.
com/corrodinggames/rts/game/units/am,method,cA,()Lcom/corrodinggames/rts/game/units/custom/e/f;,getGlobalGenerationResourcesPerSecond,getGlobalGenerationResourcesPerSecond,true,Unit base returns StoredResourceSet.empty; CustomUnit override returns the non-built-in global generation-resource subset.
com/corrodinggames/rts/game/units/am,method,cz,()Lcom/corrodinggames/rts/game/units/custom/e/f;,getGenerationResourcesPerSecond,getGenerationResourcesPerSecond,true,Unit base wraps getCreditGenerationPerSecond into a StoredResourceSet for credits or returns StoredResourceSet.empty.
com/corrodinggames/rts/game/units/custom/j,method,cy,()F,getCreditGenerationPerSecond,getCreditGenerationPerSecond,true,CustomUnit.cy() returns generationResources.credits multiplied by generationRateScale while generationResourcesActive is true.
com/corrodinggames/rts/game/units/custom/j,method,g,()F,getResourceRate,getResourceRate,true,"CustomUnit.g() returns CustomUnitMetadata.resourceRate (field cF), loaded from the custom unit resource declaration."
com/corrodinggames/rts/game/units/custom/j,method,cQ,()I,getResourceMaxConcurrentReclaimingThis,getResourceMaxConcurrentReclaimingThis,true,"CustomUnit.cQ() returns CustomUnitMetadata.resourceMaxConcurrentReclaimingThis (field cG), matching the INI key."
com/corrodinggames/rts/game/units/custom/j,method,by,()Lcom/corrodinggames/rts/game/units/custom/d/b;,getQueuedActionResourceDelta,getQueuedActionResourceDelta,true,"CustomUnit.by() iterates the build queue, resolves each queued CustomAction, and aggregates customTimerDelta/addResources/addResourcesScaledByAIHandicaps into a ResourceAmount."
com/corrodinggames/rts/game/units/custom/j,method,cA,()Lcom/corrodinggames/rts/game/units/custom/e/f;,getGlobalGenerationResourcesPerSecond,getGlobalGenerationResourcesPerSecond,true,"CustomUnit returns CustomUnitMetadata.globalGenerationResourcesPerSecond while generationResourcesActive is true, otherwise StoredResourceSet.empty."
com/corrodinggames/rts/game/units/custom/j,method,cz,()Lcom/corrodinggames/rts/game/units/custom/e/f;,getGenerationResourcesPerSecond,getGenerationResourcesPerSecond,true,"CustomUnit returns CustomUnitMetadata.generationResourcesPerSecond while generationResourcesActive is true, otherwise StoredResourceSet.empty."
com/corrodinggames/rts/game/units/d/e,method,cy,()F,getCreditGenerationPerSecond,getCreditGenerationPerSecond,true,Extractor update credits team income with cy() * Team.ap/Team.ao and cy() returns 18.0f.
com/corrodinggames/rts/game/units/d/g,method,cy,()F,getCreditGenerationPerSecond,getCreditGenerationPerSecond,true,Tiered extractor/fabricator update credits team income with cy() * Team.ap/Team.ao and cy() returns 8/12/18 depending on tech level.
com/corrodinggames/rts/game/units/d/h,method,cy,()F,getCreditGenerationPerSecond,getCreditGenerationPerSecond,true,Fabricator update credits team income with cy() * Team.ap/Team.ao and cy() returns tier-dependent 2/7/14.
com/corrodinggames/rts/game/units/e,method,g,()F,getResourceRate,getResourceRate,true,"Crystal resource unit override returns 0.02f, matching the resourceRate-style contract inherited from Unit.g()."
com/corrodinggames/rts/game/units/y,method,by,()Lcom/corrodinggames/rts/game/units/custom/d/b;,getQueuedActionResourceDelta,getQueuedActionResourceDelta,true,OrderableUnit base returns ResourceAmount.empty; CustomUnit override scans queued custom actions for timer/resource deltas.
