owner_official,official_name,descriptor,expected_named_name,provider_owner,mapped_after
com/corrodinggames/rts/game/units/a/d,b,(Lcom/corrodinggames/rts/game/units/am;Z)I,getDisplayQueueCount,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/d,c,()I,getCreditCost,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/d,e,()Lcom/corrodinggames/rts/game/units/a/u;,getActionCommandType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/d,f,()Lcom/corrodinggames/rts/game/units/a/t;,getDisplayType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/d,g,()Z,isBuildAction,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/d,a,()Ljava/lang/String;,getDescription,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/d,b,()Ljava/lang/String;,getText,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/d,h_,()Z,shouldShowText,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/d,b,(Lcom/corrodinggames/rts/game/units/am;)Z,isVisible,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/d,d,()Ljava/lang/String;,getDisplayTextWithCount,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/d,i,()Lcom/corrodinggames/rts/game/units/as;,getBuildUnitType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/e,b,(Lcom/corrodinggames/rts/game/units/am;Z)I,getDisplayQueueCount,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/e,c,()I,getCreditCost,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/e,e,()Lcom/corrodinggames/rts/game/units/a/u;,getActionCommandType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/e,f,()Lcom/corrodinggames/rts/game/units/a/t;,getDisplayType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/e,g,()Z,isBuildAction,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/e,a,()Ljava/lang/String;,getDescription,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/e,b,()Ljava/lang/String;,getText,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/e,h_,()Z,shouldShowText,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/e,i,()Lcom/corrodinggames/rts/game/units/as;,getBuildUnitType,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/f,b,(Lcom/corrodinggames/rts/game/units/am;Z)I,getDisplayQueueCount,com/corrodinggames/rts/game/units/a/s,True
com/corrodinggames/rts/game/units/a/f,c,()I,getCreditCost,com/corrodinggames/rts/game/units/a/s,True
