kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/game/s,,,rw/game/TeamStats,rustedwarfare/game/TeamStats,v0.43,team-resource-runtime,confirmed,javap TeamStats_s: add/remove unit cache fields; Team_n validator strings,Runtime cached unit/resource stats attached to Team.T
class,com/corrodinggames/rts/game/t,,,rw/game/UnitTagStatsList,rustedwarfare/game/UnitTagStatsList,v0.43,team-resource-runtime,confirmed,javap t: expandable array of p entries,
class,com/corrodinggames/rts/game/p,,,rw/game/UnitTagStats,rustedwarfare/game/UnitTagStats,v0.43,team-resource-runtime,confirmed,javap p fields; TeamStats tag cache,
class,com/corrodinggames/rts/game/o,,,rw/game/TeamColoringMode,rustedwarfare/game/TeamColoringMode,v0.43,team-coloring,confirmed,javap o enum constants pureGreen/hueAdd/hueNew/hueShift/disabled,
field,com/corrodinggames/rts/game/s,I,a,field_s_a_maxUnitCount,maxUnitCount,v0.43,team-resource-runtime,high,Team validator string unitsMax; rebuild snapshot clamps to game bC,
field,com/corrodinggames/rts/game/s,I,b,field_s_b_nonBuildingUnitCountIncludingQueued,nonBuildingUnitCountIncludingQueued,v0.43,team-resource-runtime,high,Team validator string unitCountExcludingBuildingsIncludingQueued,
field,com/corrodinggames/rts/game/s,I,c,field_s_c_completedUnitCount,completedUnitCount,v0.43,team-resource-runtime,high,TeamStats.addUnit increments when constructionProgress >= 1,
field,com/corrodinggames/rts/game/s,I,d,field_s_d_totalUnitCount,totalUnitCount,v0.43,team-resource-runtime,high,TeamStats.addUnit/removeUnit unconditional count,
field,com/corrodinggames/rts/game/s,I,e,field_s_e_queuedUnitCount,queuedUnitCount,v0.43,team-resource-runtime,high,Team validator string queuedCountOfAllTypes; BuildQueueHost.f(false) contributes,
field,com/corrodinggames/rts/game/s,I,f,field_s_f_incompleteUnitCount,incompleteUnitCount,v0.43,team-resource-runtime,high,Team validator string incompleteUnitCountOfAllTypes,
field,com/corrodinggames/rts/game/s,I,g,field_s_g_incomeRate,incomeRate,v0.43,team-resource-runtime,high,Team validator string incomeRate; Team.getIncomeRate reads this,
field,com/corrodinggames/rts/game/s,Lcom/corrodinggames/rts/game/units/custom/e/f;,h,field_s_h_customIncomeRate,customIncomeRate,v0.43,team-resource-runtime,high,Team validator string customIncomeRate,
field,com/corrodinggames/rts/game/s,Lcom/corrodinggames/rts/game/units/custom/e/f;,i,field_s_i_customIncomeRatePositive,customIncomeRatePositive,v0.43,team-resource-runtime,medium-high,TeamStats.addUnit stores positive part of unit custom income set,
field,com/corrodinggames/rts/game/s,Lcom/corrodinggames/rts/game/units/custom/e/f;,j,field_s_j_customIncomeRateNegative,customIncomeRateNegative,v0.43,team-resource-runtime,medium-high,TeamStats.addUnit stores negative part of unit custom income set,
field,com/corrodinggames/rts/game/s,Lcom/corrodinggames/rts/game/units/custom/e/f;,k,field_s_k_streamingRatePositive,streamingRatePositive,v0.43,team-resource-runtime,high,Team validator string streamingRatePositive,
field,com/corrodinggames/rts/game/s,Lcom/corrodinggames/rts/game/units/custom/e/f;,l,field_s_l_streamingRateNegative,streamingRateNegative,v0.43,team-resource-runtime,high,Team validator string streamingRateNegative,
field,com/corrodinggames/rts/game/s,Z,m,field_s_m_hasUnitThatPreventsDefeat,hasUnitThatPreventsDefeat,v0.43,team-resource-runtime,medium-high,TeamStats.addUnit sets when completed non-ignored unit type has y() true,
field,com/corrodinggames/rts/game/s,I,n,field_s_n_nonBuildingCreditValue,nonBuildingCreditValue,v0.43,team-resource-runtime,medium,TeamStats.addUnit adds estimated credit value for completed non-building unit types,
field,com/corrodinggames/rts/game/s,I,o,field_s_o_buildingCreditValue,buildingCreditValue,v0.43,team-resource-runtime,medium,TeamStats.addUnit adds estimated credit value for completed building unit types,
field,com/corrodinggames/rts/game/s,Lcom/corrodinggames/rts/game/t;,p,field_s_p_hotTagStats,hotTagStats,v0.43,team-resource-runtime,high,Team.getUnitCountWithTag first searches this smaller cache,
field,com/corrodinggames/rts/game/s,Lcom/corrodinggames/rts/game/t;,q,field_s_q_allTagStats,allTagStats,v0.43,team-resource-runtime,high,TeamStats.getOrCreateTagStats stores all tag counters here,
method,com/corrodinggames/rts/game/s,()V,<init>,method_s_<init>_<init>,<init>,v0.43,team-resource-runtime,high,constructor,
method,com/corrodinggames/rts/game/s,(Lcom/corrodinggames/rts/game/units/am;)V,a,method_s_a_addUnit,addUnit,v0.43,team-resource-runtime,high,increments counts/resource caches/tag stats for unit,
method,com/corrodinggames/rts/game/s,(Lcom/corrodinggames/rts/game/units/am;)V,b,method_s_b_removeUnit,removeUnit,v0.43,team-resource-runtime,high,decrements counts/resource caches/tag stats for unit,
method,com/corrodinggames/rts/game/s,(Lcom/corrodinggames/rts/game/units/am;)V,c,method_s_c_addUnitTags,addUnitTags,v0.43,team-resource-runtime,high,private: increments UnitTagStats completed/incomplete by runtime tags,
method,com/corrodinggames/rts/game/s,(Lcom/corrodinggames/rts/game/units/am;)V,d,method_s_d_removeUnitTags,removeUnitTags,v0.43,team-resource-runtime,high,private: decrements UnitTagStats completed/incomplete by runtime tags,
method,com/corrodinggames/rts/game/s,(Lcom/corrodinggames/rts/game/units/d/l;)V,a,method_s_a_addQueuedBuildTags,addQueuedBuildTags,v0.43,team-resource-runtime,high,private: walks BuildQueueHost pending queue and increments tag queuedCount,
method,com/corrodinggames/rts/game/s,(Lcom/corrodinggames/rts/game/units/d/l;)V,b,method_s_b_removeQueuedBuildTags,removeQueuedBuildTags,v0.43,team-resource-runtime,high,private: walks BuildQueueHost pending queue and decrements tag queuedCount,
method,com/corrodinggames/rts/game/s,(Lcom/corrodinggames/rts/game/units/custom/g;)Lcom/corrodinggames/rts/game/p;,a,method_s_a_getOrCreateTagStats,getOrCreateTagStats,v0.43,team-resource-runtime,high,"searches allTagStats, creates UnitTagStats if absent",
field,com/corrodinggames/rts/game/t,[Lcom/corrodinggames/rts/game/p;,a,field_t_a_EMPTY_ARRAY,EMPTY_ARRAY,v0.43,team-resource-runtime,high,static initializer creates zero-length UnitTagStats array,
field,com/corrodinggames/rts/game/t,[Lcom/corrodinggames/rts/game/p;,b,field_t_b_entries,entries,v0.43,team-resource-runtime,high,UnitTagStatsList.add appends into b array,
field,com/corrodinggames/rts/game/t,I,c,field_t_c_size,size,v0.43,team-resource-runtime,high,UnitTagStatsList.add increments size,
method,com/corrodinggames/rts/game/t,()V,<init>,method_t_<init>_<init>,<init>,v0.43,team-resource-runtime,high,,
