owner_official,official_name,descriptor,named_name,confidence,notes
com/corrodinggames/rts/game/units/b/a,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/b/c,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/b/d,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/b/e,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/b/f,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/c/a,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/custom/j,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/d/a/a,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/d/a/b,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/d/c,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/d/e,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/d/g,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/d/i,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/d/p,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/d/q,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/d/r,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/e,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/e/a,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/e/b,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/e/c,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/e/d,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
com/corrodinggames/rts/game/units/e/e,a,(Lcom/corrodinggames/rts/game/units/am;I)V,fireTurretAtTarget,high,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.
