kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/game/units/ao,,,rw/unit/MovementType,rustedwarfare/unit/MovementType,v0.31-runtime-pathing,runtime-pathing,confirmed,"Enum <clinit> literals NONE, LAND, BUILDING, AIR, WATER, HOVER, OVER_CLIFF, OVER_CLIFF_WATER",
field,com/corrodinggames/rts/game/units/ao,Lcom/corrodinggames/rts/game/units/ao;,a,field_MovementType_none,none,v0.31-runtime-pathing,movement-type,confirmed,ao.<clinit> constructs enum literal NONE,
field,com/corrodinggames/rts/game/units/ao,Lcom/corrodinggames/rts/game/units/ao;,b,field_MovementType_land,land,v0.31-runtime-pathing,movement-type,confirmed,ao.<clinit> constructs enum literal LAND,
field,com/corrodinggames/rts/game/units/ao,Lcom/corrodinggames/rts/game/units/ao;,c,field_MovementType_building,building,v0.31-runtime-pathing,movement-type,confirmed,ao.<clinit> constructs enum literal BUILDING,
field,com/corrodinggames/rts/game/units/ao,Lcom/corrodinggames/rts/game/units/ao;,d,field_MovementType_air,air,v0.31-runtime-pathing,movement-type,confirmed,ao.<clinit> constructs enum literal AIR,
field,com/corrodinggames/rts/game/units/ao,Lcom/corrodinggames/rts/game/units/ao;,e,field_MovementType_water,water,v0.31-runtime-pathing,movement-type,confirmed,ao.<clinit> constructs enum literal WATER,
field,com/corrodinggames/rts/game/units/ao,Lcom/corrodinggames/rts/game/units/ao;,f,field_MovementType_hover,hover,v0.31-runtime-pathing,movement-type,confirmed,ao.<clinit> constructs enum literal HOVER,
field,com/corrodinggames/rts/game/units/ao,Lcom/corrodinggames/rts/game/units/ao;,g,field_MovementType_overCliff,overCliff,v0.31-runtime-pathing,movement-type,confirmed,ao.<clinit> constructs enum literal OVER_CLIFF,
field,com/corrodinggames/rts/game/units/ao,Lcom/corrodinggames/rts/game/units/ao;,h,field_MovementType_overCliffWater,overCliffWater,v0.31-runtime-pathing,movement-type,confirmed,ao.<clinit> constructs enum literal OVER_CLIFF_WATER,
method,com/corrodinggames/rts/game/units/ao,(Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/ao;,a,method_MovementType_parseMovementTypeOrThrow,parseMovementTypeOrThrow,v0.31-runtime-pathing,movement-type,confirmed,Uppercases string and valueOf; throws Unknown movement type on key,
method,com/corrodinggames/rts/game/units/as,()Lcom/corrodinggames/rts/game/units/ao;,o,method_as_o_getMovementType,getMovementType,v0.31-runtime-pathing,unit-type,medium-high,override/implementation returns MovementType used by pathing and passability checks,
method,com/corrodinggames/rts/game/units/ar,()Lcom/corrodinggames/rts/game/units/ao;,o,method_ar_o_getMovementType,getMovementType,v0.31-runtime-pathing,unit-type,medium-high,override/implementation returns MovementType used by pathing and passability checks,
method,com/corrodinggames/rts/game/units/custom/l,()Lcom/corrodinggames/rts/game/units/ao;,o,method_l_o_getMovementType,getMovementType,v0.31-runtime-pathing,custom-unit-metadata,medium-high,override/implementation returns MovementType used by pathing and passability checks,
method,com/corrodinggames/rts/game/units/am,()Lcom/corrodinggames/rts/game/units/ao;,h,method_am_h_getMovementType,getMovementType,v0.31-runtime-pathing,runtime-unit,medium-high,override/implementation returns MovementType used by pathing and passability checks,
method,com/corrodinggames/rts/game/units/ai,()Lcom/corrodinggames/rts/game/units/ao;,h,method_ai_h_getMovementType,getMovementType,v0.31-runtime-pathing,runtime-unit,medium-high,override/implementation returns MovementType used by pathing and passability checks,
method,com/corrodinggames/rts/game/units/al,()Lcom/corrodinggames/rts/game/units/ao;,h,method_al_h_getMovementType,getMovementType,v0.31-runtime-pathing,runtime-unit,medium-high,override/implementation returns MovementType used by pathing and passability checks,
method,com/corrodinggames/rts/game/units/b/b,()Lcom/corrodinggames/rts/game/units/ao;,h,method_b_h_getMovementType,getMovementType,v0.31-runtime-pathing,runtime-unit,medium-high,override/implementation returns MovementType used by pathing and passability checks,
method,com/corrodinggames/rts/game/units/b/c,()Lcom/corrodinggames/rts/game/units/ao;,h,method_c_h_getMovementType,getMovementType,v0.31-runtime-pathing,runtime-unit,medium-high,override/implementation returns MovementType used by pathing and passability checks,
method,com/corrodinggames/rts/game/units/custom/j,()Lcom/corrodinggames/rts/game/units/ao;,h,method_j_h_getMovementType,getMovementType,v0.31-runtime-pathing,custom-runtime-unit,medium-high,override/implementation returns MovementType used by pathing and passability checks,
method,com/corrodinggames/rts/game/units/d/d,()Lcom/corrodinggames/rts/game/units/ao;,h,method_d_h_getMovementType,getMovementType,v0.31-runtime-pathing,runtime-unit,medium-high,override/implementation returns MovementType used by pathing and passability checks,
method,com/corrodinggames/rts/game/units/e,()Lcom/corrodinggames/rts/game/units/ao;,h,method_e_h_getMovementType,getMovementType,v0.31-runtime-pathing,runtime-unit,medium-high,override/implementation returns MovementType used by pathing and passability checks,
method,com/corrodinggames/rts/game/units/e/h,()Lcom/corrodinggames/rts/game/units/ao;,h,method_h_h_getMovementType,getMovementType,v0.31-runtime-pathing,runtime-unit,medium-high,override/implementation returns MovementType used by pathing and passability checks,
method,com/corrodinggames/rts/game/units/e/j,()Lcom/corrodinggames/rts/game/units/ao;,h,method_j_h_getMovementType,getMovementType,v0.31-runtime-pathing,runtime-unit,medium-high,override/implementation returns MovementType used by pathing and passability checks,
method,com/corrodinggames/rts/game/units/h/e,()Lcom/corrodinggames/rts/game/units/ao;,h,method_e_h_getMovementType,getMovementType,v0.31-runtime-pathing,runtime-unit,medium-high,override/implementation returns MovementType used by pathing and passability checks,
method,com/corrodinggames/rts/game/units/h/f,()Lcom/corrodinggames/rts/game/units/ao;,h,method_f_h_getMovementType,getMovementType,v0.31-runtime-pathing,runtime-unit,medium-high,override/implementation returns MovementType used by pathing and passability checks,
method,com/corrodinggames/rts/game/units/x,()Lcom/corrodinggames/rts/game/units/ao;,h,method_x_h_getMovementType,getMovementType,v0.31-runtime-pathing,runtime-unit,medium-high,override/implementation returns MovementType used by pathing and passability checks,
class,com/corrodinggames/rts/gameFramework/k/l,,,rw/path/PathEngine,rustedwarfare/path/PathEngine,v0.31-runtime-pathing,runtime-pathing-class,medium-high,PathEngine strings and GameEngine.bU usage,
class,com/corrodinggames/rts/gameFramework/k/i,,,rw/path/MovementCostMap,rustedwarfare/path/MovementCostMap,v0.31-runtime-pathing,runtime-pathing-class,medium-high,stores per movement type cost arrays and isolated groups,
class,com/corrodinggames/rts/gameFramework/k/k,,,rw/path/PathRequest,rustedwarfare/path/PathRequest,v0.31-runtime-pathing,runtime-pathing-class,medium-high,"holds start/end tiles, MovementType and result path",
class,com/corrodinggames/rts/gameFramework/k/o,,,rw/path/PathSolver,rustedwarfare/path/PathSolver,v0.31-runtime-pathing,runtime-pathing-class,medium-high,Runnable solver; strings PathSolver- and findPath,
class,com/corrodinggames/rts/gameFramework/k/p,,,rw/path/PathNode,rustedwarfare/path/PathNode,v0.31-runtime-pathing,runtime-pathing-class,medium-high,short x/y path node object,
class,com/corrodinggames/rts/gameFramework/k/n,,,rw/path/PathOpenListNode,rustedwarfare/path/PathOpenListNode,v0.31-runtime-pathing,runtime-pathing-class,medium-high,toString literal PathOpenListNode,
class,com/corrodinggames/rts/gameFramework/k/m,,,rw/path/PathOpenList,rustedwarfare/path/PathOpenList,v0.31-runtime-pathing,runtime-pathing-class,medium-high,PathOpenList memory pool / heap wrapper,
class,com/corrodinggames/rts/gameFramework/k/e,,,rw/path/PathOpenBinaryHeap,rustedwarfare/path/PathOpenBinaryHeap,v0.31-runtime-pathing,runtime-pathing-class,medium-high,open-list implementation over PathOpenListNode,
class,com/corrodinggames/rts/gameFramework/k/j,,,rw/path/PathOpenQueue,rustedwarfare/path/PathOpenQueue,v0.31-runtime-pathing,runtime-pathing-class,medium-high,abstract open list interface,
class,com/corrodinggames/rts/gameFramework/k/a,,,rw/path/PathOpenNodeArrayList,rustedwarfare/path/PathOpenNodeArrayList,v0.31-runtime-pathing,runtime-pathing-class,medium-high,custom AbstractList of PathOpenListNode,
class,com/corrodinggames/rts/gameFramework/k/b,,,rw/path/PathOpenNodeArrayList$Iterator,rustedwarfare/path/PathOpenNodeArrayList$Iterator,v0.31-runtime-pathing,runtime-pathing-class,medium-high,iterator over PathOpenNodeArrayList,
class,com/corrodinggames/rts/game/units/aq,,,rw/unit/path/MovementPathingUtils,rustedwarfare/unit/path/MovementPathingUtils,v0.31-runtime-pathing,runtime-pathing-class,medium-high,uses PathEngine costs for line passability and collision points,
class,com/corrodinggames/rts/gameFramework/utility/y,,,rw/util/UnitUtils,rustedwarfare/util/UnitUtils,v0.31-runtime-pathing,runtime-pathing-class,medium-high,mixed unit helper; pathing methods use MovementType and isolated groups,
field,com/corrodinggames/rts/gameFramework/l,Lcom/corrodinggames/rts/gameFramework/k/l;,bU,field_GameEngine_pathEngine,pathEngine,v0.31-runtime-pathing,path-engine,confirmed,Pathing callers read GameEngine.bU then PathEngine methods,
field,com/corrodinggames/rts/gameFramework/k/i,Lcom/corrodinggames/rts/game/units/ao;,a,field_MovementCostMap_movementType,movementType,v0.31-runtime-pathing,movement-cost-map,confirmed,constructor stores MovementType; PathEngine lookup compares it,
field,com/corrodinggames/rts/gameFramework/k/i,I,b,field_MovementCostMap_width,width,v0.31-runtime-pathing,movement-cost-map,confirmed,constructor stores map width,
field,com/corrodinggames/rts/gameFramework/k/i,I,c,field_MovementCostMap_height,height,v0.31-runtime-pathing,movement-cost-map,confirmed,constructor stores map height; indexing uses x*height+y,
field,com/corrodinggames/rts/gameFramework/k/i,[B,d,field_MovementCostMap_tileCosts,tileCosts,v0.31-runtime-pathing,movement-cost-map,high,PathEngine total cost uses d base tile cost,
field,com/corrodinggames/rts/gameFramework/k/i,[B,e,field_MovementCostMap_buildingCosts,buildingCosts,v0.31-runtime-pathing,movement-cost-map,high,PathEngine impassable check optionally uses building costs,
field,com/corrodinggames/rts/gameFramework/k/i,[B,f,field_MovementCostMap_objectCosts,objectCosts,v0.31-runtime-pathing,movement-cost-map,high,PathEngine total cost adds object cost *10,
field,com/corrodinggames/rts/gameFramework/k/i,[S,g,field_MovementCostMap_isolatedGroups,isolatedGroups,v0.31-runtime-pathing,movement-cost-map,confirmed,utility pathPossible reads short group id array,
field,com/corrodinggames/rts/gameFramework/k/i,Ljava/util/HashMap;,h,field_MovementCostMap_isolatedGroupSizes,isolatedGroupSizes,v0.31-runtime-pathing,movement-cost-map,confirmed,utility get group size HashMap lookup by short group id,
field,com/corrodinggames/rts/gameFramework/k/i,I,i,field_MovementCostMap_isolatedGroupCount,isolatedGroupCount,v0.31-runtime-pathing,movement-cost-map,medium,buildIsolatedGroups counter field,
field,com/corrodinggames/rts/gameFramework/k/i,[B,j,field_MovementCostMap_clearanceCosts,clearanceCosts,v0.31-runtime-pathing,movement-cost-map,medium-high,PathEngine clearance cost getter reads j array,
field,com/corrodinggames/rts/gameFramework/k/i,I,k,field_MovementCostMap_clearanceDirtyTileIndex,clearanceDirtyTileIndex,v0.31-runtime-pathing,movement-cost-map,medium,PathEngine updateMapCosts mutates marker k,
field,com/corrodinggames/rts/gameFramework/k/i,I,l,field_MovementCostMap_clearanceRebuildThrottle,clearanceRebuildThrottle,v0.31-runtime-pathing,movement-cost-map,medium,buildAndReplaceClearanceCost skip throttle,
field,com/corrodinggames/rts/gameFramework/k/i,Z,m,field_MovementCostMap_clearanceRebuildSkippedWarning,clearanceRebuildSkippedWarning,v0.31-runtime-pathing,movement-cost-map,medium,warns buildAndReplaceClearanceCost being skipped once,
field,com/corrodinggames/rts/gameFramework/k/i,Landroid/graphics/Point;,n,field_MovementCostMap_scratchPoint,scratchPoint,v0.31-runtime-pathing,movement-cost-map,low-medium,scratch Point in cost map computation,
field,com/corrodinggames/rts/gameFramework/k/i,Z,o,field_MovementCostMap_costsDirty,costsDirty,v0.31-runtime-pathing,movement-cost-map,medium,PathEngine sets dirty flag before refresh,
field,com/corrodinggames/rts/gameFramework/k/i,I,p,field_MovementCostMap_lastRefreshFrame,lastRefreshFrame,v0.31-runtime-pathing,movement-cost-map,medium,PathEngine writes frame counter near dirty flag,
method,com/corrodinggames/rts/gameFramework/k/i,(Lcom/corrodinggames/rts/gameFramework/k/l;Lcom/corrodinggames/rts/game/units/ao;II)V,<init>,method_MovementCostMap_ctor,<init>,v0.31-runtime-pathing,movement-cost-map,confirmed,constructor allocates tileCosts and registers in PathEngine.u/v,
method,com/corrodinggames/rts/gameFramework/k/i,()V,a,method_MovementCostMap_rebuildAllCosts,rebuildAllCosts,v0.31-runtime-pathing,movement-cost-map,medium-high,"calls rebuildTileCosts, rebuildUnitClearanceCosts, rebuildIsolatedGroups",
method,com/corrodinggames/rts/gameFramework/k/i,(Lcom/corrodinggames/rts/game/units/y;)V,a,method_MovementCostMap_rebuildClearanceCosts,rebuildClearanceCosts,v0.31-runtime-pathing,movement-cost-map,medium-high,strings buildAndReplaceClearanceCost; per-unit partial rebuild,
method,com/corrodinggames/rts/gameFramework/k/i,()V,e,method_MovementCostMap_rebuildIsolatedGroups,rebuildIsolatedGroups,v0.31-runtime-pathing,movement-cost-map,medium-high,string warning buildIsolatedGroups looped; fills isolated group data,
method,com/corrodinggames/rts/gameFramework/k/i,()V,b,method_MovementCostMap_rebuildBaseTileAndBuildingCosts,rebuildBaseTileAndBuildingCosts,v0.31-runtime-pathing,movement-cost-map,medium,called for movement maps requiring building costs before clearance rebuild,
method,com/corrodinggames/rts/gameFramework/k/i,()V,d,method_MovementCostMap_rebuildTileCosts,rebuildTileCosts,v0.31-runtime-pathing,movement-cost-map,medium,called before clearance and isolated group rebuild,
method,com/corrodinggames/rts/gameFramework/k/i,(Lcom/corrodinggames/rts/game/b/b;)I,a,method_MovementCostMap_computeMapChecksum,computeMapChecksum,v0.31-runtime-pathing,movement-cost-map,confirmed,static map checksum used by PathEngine setup,
method,com/corrodinggames/rts/gameFramework/k/i,(Lcom/corrodinggames/rts/game/b/b;SS[B)V,a,method_MovementCostMap_floodFillIsolatedGroup,floodFillIsolatedGroup,v0.31-runtime-pathing,movement-cost-map,medium,private/final flood fill writes byte/short map groups,
method,com/corrodinggames/rts/gameFramework/k/i,(Lcom/corrodinggames/rts/game/b/b;SS)B,a,method_MovementCostMap_getRawTileCostFromMap,getRawTileCostFromMap,v0.31-runtime-pathing,movement-cost-map,medium,returns byte map cost for tile during cost build,
method,com/corrodinggames/rts/gameFramework/k/i,(Lcom/corrodinggames/rts/game/units/y;)V,c,method_MovementCostMap_rebuildForUnit,rebuildForUnit,v0.31-runtime-pathing,movement-cost-map,medium,public wrapper for clearance refresh around a moving unit,
method,com/corrodinggames/rts/gameFramework/k/i,(Z)V,a,method_MovementCostMap_setDirty,setDirty,v0.31-runtime-pathing,movement-cost-map,medium,sets dirty flag and refresh marker,
field,com/corrodinggames/rts/gameFramework/k/l,Lcom/corrodinggames/rts/gameFramework/k/o;,o,field_PathEngine_mainSolver,mainSolver,v0.31-runtime-pathing,path-engine,medium,main solver object used for path requests,
field,com/corrodinggames/rts/gameFramework/k/l,Z,p,field_PathEngine_isRunning,isRunning,v0.31-runtime-pathing,path-engine,medium,"start path checks Cannot start new path, not running",
field,com/corrodinggames/rts/gameFramework/k/l,Lcom/corrodinggames/rts/game/b/b;,q,field_PathEngine_map,map,v0.31-runtime-pathing,path-engine,confirmed,PathEngine setup stores map engine here,
field,com/corrodinggames/rts/gameFramework/k/l,I,r,field_PathEngine_mapChecksum,mapChecksum,v0.31-runtime-pathing,path-engine,confirmed,computed by MovementCostMap.computeMapChecksum,
field,com/corrodinggames/rts/gameFramework/k/l,S,s,field_PathEngine_mapWidth,mapWidth,v0.31-runtime-pathing,path-engine,confirmed,stored from map tile layer width,
