action,old_named_name,old_intermediary_name,kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
added,,,field,com/corrodinggames/rts/game/f,Lcom/corrodinggames/rts/game/f;,bm,field_Projectile_scratchDamageMultiplierProjectile,scratchDamageMultiplierProjectile,v0.36-runtime-projectile-damage,runtime-projectile-lifecycle,confirmed,javap Projectile.<clinit> allocates private static bm; copyDamageMultipliersToScratchProjectile uses bm as reusable scratch projectile.,
added,,,field,com/corrodinggames/rts/game/f,Lcom/corrodinggames/rts/gameFramework/m/e;,b,field_Projectile_projectilesImage,projectilesImage,v0.36-runtime-projectile-damage,runtime-projectile-render,confirmed,javap Projectile.loadBuiltInProjectileImages loads R$drawable.projectiles into static field b.,
added,,,field,com/corrodinggames/rts/game/f,Lcom/corrodinggames/rts/gameFramework/m/e;,c,field_Projectile_projectiles2Image,projectiles2Image,v0.36-runtime-projectile-damage,runtime-projectile-render,confirmed,javap Projectile.loadBuiltInProjectileImages loads R$drawable.projectiles2 into static field c.,
added,,,field,com/corrodinggames/rts/game/f,Lcom/corrodinggames/rts/gameFramework/m/e;,d,field_Projectile_largeProjectilesImage,largeProjectilesImage,v0.36-runtime-projectile-damage,runtime-projectile-render,confirmed,javap Projectile.loadBuiltInProjectileImages loads R$drawable.projectiles_large into static field d.,
added,,,field,com/corrodinggames/rts/game/f,Landroid/graphics/Rect;,e,field_Projectile_scratchSourceRect,scratchSourceRect,v0.36-runtime-projectile-damage,runtime-projectile-render,confirmed,javap Projectile.<clinit> creates static Rect e; draw code reuses it as source rectangle.,
added,,,field,com/corrodinggames/rts/game/f,Landroid/graphics/RectF;,f,field_Projectile_scratchDestRect,scratchDestRect,v0.36-runtime-projectile-damage,runtime-projectile-render,confirmed,javap Projectile.<clinit> creates static RectF f; draw code reuses it as destination rectangle.,
added,,,field,com/corrodinggames/rts/game/f,I,aq,field_Projectile_defaultColor,defaultColor,v0.36-runtime-projectile-damage,runtime-projectile-render,confirmed,"javap Projectile.<clinit> stores ARGB(255,255,255,255) into aq; getDrawPaint compares projectile color against aq.",
added,,,field,com/corrodinggames/rts/game/f,Lcom/corrodinggames/rts/gameFramework/m/ag;,ba,field_Projectile_defaultPaint,defaultPaint,v0.36-runtime-projectile-damage,runtime-projectile-render,confirmed,javap Projectile.<clinit> initializes ba; getDrawPaint returns ba when projectile color equals defaultColor.,
added,,,field,com/corrodinggames/rts/game/f,Landroid/graphics/Paint;,bb,field_Projectile_mutableColorPaint,mutableColorPaint,v0.36-runtime-projectile-damage,runtime-projectile-render,confirmed,javap Projectile.getDrawPaint mutates bb color when running in non-accelerated mode and projectile color is non-default.,
added,,,field,com/corrodinggames/rts/game/f,Lcom/corrodinggames/rts/gameFramework/m/ag;,bj,field_Projectile_cachedTintedPaint,cachedTintedPaint,v0.36-runtime-projectile-damage,runtime-projectile-render,confirmed,javap Projectile.getTintedDrawPaint caches generated LightingColorFilter paint in instance field bj.,
added,,,field,com/corrodinggames/rts/game/f,Lcom/corrodinggames/rts/gameFramework/m/ag;,bk,field_Projectile_lastGlobalTintedPaint,lastGlobalTintedPaint,v0.36-runtime-projectile-damage,runtime-projectile-render,confirmed,javap Projectile.getTintedDrawPaint reuses static bk when lastGlobalTintColor equals requested tint color.,
added,,,field,com/corrodinggames/rts/game/f,I,bl,field_Projectile_lastGlobalTintColor,lastGlobalTintColor,v0.36-runtime-projectile-damage,runtime-projectile-render,confirmed,javap Projectile.getTintedDrawPaint stores requested tint color in static field bl alongside lastGlobalTintedPaint.,
added,,,field,com/corrodinggames/rts/game/f,F,y,field_Projectile_heightOffset,heightOffset,v0.36-runtime-projectile-damage,runtime-projectile-movement,medium,javap Projectile constructor initializes y to -1; serialization preserves it; draw path uses y to adjust projectile shadow/height rendering.,Name is conservative; exact visual offset semantics need runtime confirmation.
added,,,field,com/corrodinggames/rts/game/f,Z,z,field_Projectile_drawShadow,drawShadow,v0.36-runtime-projectile-damage,runtime-projectile-render,confirmed,javap Projectile draw path checks shadowFrame != -1 and z before drawing shadow/default shadow; constructor defaults z=true.,
added,,,field,com/corrodinggames/rts/game/f,F,J,field_Projectile_ageTimer,ageTimer,v0.36-runtime-projectile-damage,runtime-projectile-lifecycle,confirmed,javap Projectile.update increments J by delta; getLifeProgressRatio divides J by life field F; beam sweep/wobble math also uses J.,
added,,,field,com/corrodinggames/rts/game/f,F,I,field_Projectile_sweepPhaseSeed,sweepPhaseSeed,v0.36-runtime-projectile-damage,runtime-projectile-movement,medium,javap createProjectileWithHeightAndTurret seeds I using source random; update uses 360*I + ageTimer in sweep/wobble trigonometry.,"Medium confidence: phase seed semantics are clear, exact feature family is sweep/wobble."
added,,,field,com/corrodinggames/rts/game/f,F,K,field_Projectile_targetOffsetX,targetOffsetX,v0.36-runtime-projectile-damage,runtime-projectile-targeting,confirmed,javap fire code stores lead/sweep X offset in K; update adds K to target unit/world target X before steering/impact checks.,
added,,,field,com/corrodinggames/rts/game/f,F,L,field_Projectile_targetOffsetY,targetOffsetY,v0.36-runtime-projectile-damage,runtime-projectile-targeting,confirmed,javap fire code stores lead/sweep Y offset in L; update adds L to target unit/world target Y before steering/impact checks.,
added,,,field,com/corrodinggames/rts/game/f,F,az,field_Projectile_direction,direction,v0.36-runtime-projectile-damage,runtime-projectile-movement,confirmed,javap projectile creation writes fire direction to az; update steers az toward target angle and movement uses sin/cos of az.,
added,,,field,com/corrodinggames/rts/game/f,F,aT,field_Projectile_drawAngle,drawAngle,v0.36-runtime-projectile-damage,runtime-projectile-render,confirmed,javap Projectile.update initializes and smooths aT toward direction; draw path uses aT for sprite/shadow/effects rotation.,
added,,,field,com/corrodinggames/rts/game/f,Z,aU,field_Projectile_drawAngleInitialized,drawAngleInitialized,v0.36-runtime-projectile-damage,runtime-projectile-render,confirmed,javap Projectile.update tests aU before first-time drawAngle initialization from direction.,
added,,,field,com/corrodinggames/rts/game/f,F,aF,field_Projectile_retargetingInFlightTimer,retargetingInFlightTimer,v0.36-runtime-projectile-damage,runtime-projectile-targeting,confirmed,javap Projectile.update decrements aF; when <=0 resets from template retargetingInFlightSearchDelay and calls retargetInFlight.,
added,,,field,com/corrodinggames/rts/game/f,Z,aM,field_Projectile_builtInTrailEffect,builtInTrailEffect,v0.36-runtime-projectile-damage,runtime-projectile-effect,confirmed,javap apply template copies BaseProjectileTemplate.builtInTrailEffect into aM; update checks aM to emit built-in trail effects.,
added,,,field,com/corrodinggames/rts/game/f,F,aN,field_Projectile_trailEffectTimer,trailEffectTimer,v0.36-runtime-projectile-damage,runtime-projectile-effect,confirmed,javap Projectile.update accumulates aN and compares it to template trailEffectRate before spawning trail effect and resetting timer.,
added,,,field,com/corrodinggames/rts/game/f,Lcom/corrodinggames/rts/gameFramework/w;,au,field_Projectile_moveWithParentObject,moveWithParentObject,v0.36-runtime-projectile-damage,runtime-projectile-movement,confirmed,javap applyProjectileTemplateToProjectile sets au from source when moveWithParent is enabled; update shifts projectile by parent/turret movement delta.,
added,,,field,com/corrodinggames/rts/game/f,I,av,field_Projectile_moveWithParentTurretIndex,moveWithParentTurretIndex,v0.36-runtime-projectile-damage,runtime-projectile-movement,confirmed,javap moveWithParent setup stores turret index in av and update uses it to read parent turret world point.,
added,,,field,com/corrodinggames/rts/game/f,F,aw,field_Projectile_lastMoveWithParentX,lastMoveWithParentX,v0.36-runtime-projectile-damage,runtime-projectile-movement,confirmed,"javap moveWithParent update compares current parent/turret X with aw, shifts projectile, then rewrites aw.",
added,,,field,com/corrodinggames/rts/game/f,F,ax,field_Projectile_lastMoveWithParentY,lastMoveWithParentY,v0.36-runtime-projectile-damage,runtime-projectile-movement,confirmed,"javap moveWithParent update compares current parent/turret Y with ax, shifts projectile, then rewrites ax.",
added,,,field,com/corrodinggames/rts/game/f,F,ay,field_Projectile_lastMoveWithParentHeight,lastMoveWithParentHeight,v0.36-runtime-projectile-damage,runtime-projectile-movement,confirmed,"javap moveWithParent update compares current parent/turret height with ay, shifts projectile, then rewrites ay.",
