source_branch,merge_decision,kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
spatial-index-v0.45,added,class,com/corrodinggames/rts/game/units/aj,,,rw/unit/search/SpreadingFireAtPointSearchCallback,rustedwarfare/unit/search/SpreadingFireAtPointSearchCallback,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,medium-high,javap class inventory,Searches SpreadingFireUnit instances containing a world point
spatial-index-v0.45,added,class,com/corrodinggames/rts/game/units/f/a,,,rw/unit/spatial/UnitSpatialCell,rustedwarfare/unit/spatial/UnitSpatialCell,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap class inventory,
spatial-index-v0.45,added,class,com/corrodinggames/rts/game/units/f/b,,,rw/unit/spatial/UnitBucket,rustedwarfare/unit/spatial/UnitBucket,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap class inventory,
spatial-index-v0.45,added,class,com/corrodinggames/rts/game/units/f/c,,,rw/unit/spatial/UnitSpatialIndex,rustedwarfare/unit/spatial/UnitSpatialIndex,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap class inventory,
spatial-index-v0.45,added,class,com/corrodinggames/rts/game/units/f/d,,,rw/unit/spatial/CircleUnitFilter,rustedwarfare/unit/spatial/CircleUnitFilter,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap class inventory,
spatial-index-v0.45,added,class,com/corrodinggames/rts/game/units/f/e,,,rw/unit/spatial/SpatialUnitFilter,rustedwarfare/unit/spatial/SpatialUnitFilter,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap class inventory,
spatial-index-v0.45,added,class,com/corrodinggames/rts/game/units/f/f,,,rw/unit/spatial/UnitSearchResultIterator,rustedwarfare/unit/spatial/UnitSearchResultIterator,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap class inventory,
spatial-index-v0.45,added,class,com/corrodinggames/rts/game/units/f/g,,,rw/unit/spatial/RectUnitFilter,rustedwarfare/unit/spatial/RectUnitFilter,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap class inventory,
spatial-index-v0.45,added,class,com/corrodinggames/rts/game/units/f/h,,,rw/unit/spatial/RectWithUnitRadiusFilter,rustedwarfare/unit/spatial/RectWithUnitRadiusFilter,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap class inventory,
spatial-index-v0.45,added,class,com/corrodinggames/rts/game/units/f/i,,,rw/unit/spatial/TeamAwareUnitSearchCallback,rustedwarfare/unit/spatial/TeamAwareUnitSearchCallback,v0.45-runtime-spatial-index; v0.46-merged-from-spatial-index-v0.45,runtime-spatial-index,high,javap class inventory,
