kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/gameFramework/m/w,,,rw/render/ShaderBlendMode,rustedwarfare/render/ShaderBlendMode,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/v,,,rw/render/ShaderColorFilter,rustedwarfare/render/ShaderColorFilter,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/ae,,,rw/render/ShaderProgram,rustedwarfare/render/ShaderProgram,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
class,com/corrodinggames/rts/gameFramework/m/af,,,rw/render/ShaderParameter,rustedwarfare/render/ShaderParameter,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,m-package javap class inventory; selected render/canvas command-buffer pass,
field,com/corrodinggames/rts/gameFramework/m/w,Lcom/corrodinggames/rts/gameFramework/m/w;,a,field_w_normal,normal,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"ShaderBlendMode <clinit> string ""normal""",
field,com/corrodinggames/rts/gameFramework/m/w,Lcom/corrodinggames/rts/gameFramework/m/w;,b,field_w_copy,copy,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"ShaderBlendMode <clinit> string ""copy""; BitmapOrTextureAlias installs ShaderColorFilter(copy)",
field,com/corrodinggames/rts/gameFramework/m/w,Lcom/corrodinggames/rts/gameFramework/m/w;,c,field_w_additive,additive,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,"ShaderBlendMode <clinit> string ""additive""",
field,com/corrodinggames/rts/gameFramework/m/w,[Lcom/corrodinggames/rts/gameFramework/m/w;,d,field_w_$VALUES,$VALUES,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,enum synthetic values array,
field,com/corrodinggames/rts/gameFramework/m/v,Lcom/corrodinggames/rts/gameFramework/m/w;,a,field_v_blendMode,blendMode,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,ShaderColorFilter holds ShaderBlendMode; constructed with w.b copy in BitmapOrTextureAlias,
field,com/corrodinggames/rts/gameFramework/m/ae,Ljava/lang/String;,c,field_ae_name,name,v0.56-render-canvas-command-buffer,runtime-render-canvas,high,shader log prefix and filename-derived name,
