kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/java/f,,,rw/client/render/SlickFontKey,rustedwarfare/client/render/SlickFontKey,v0.72-slick-graphics-backend,slick-graphics-backend,high,toString literal FontKey:(size: plus cached Font/recentTexts fields identify a font cache key,
class,com/corrodinggames/rts/java/g,,,rw/client/render/SlickTransformState,rustedwarfare/client/render/SlickTransformState,v0.72-slick-graphics-backend,slick-graphics-backend,high,Fields store translate/rotation/scale/clip state used by SlickGraphicsBackend transform stack,
method,com/corrodinggames/rts/gameFramework/m/y,(Lcom/corrodinggames/rts/gameFramework/m/e;)Lcom/corrodinggames/rts/gameFramework/m/y;,a,method_y_createChildBackendForImage,createChildBackendForImage,v0.72-slick-graphics-backend,slick-graphics-backend,high,Creates a graphics backend bound to a target GameImage; Slick bridge delegates to class-specific child backend; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls,v0.72 graphics family completion
method,com/corrodinggames/rts/gameFramework/m/y,(Lcom/corrodinggames/rts/gameFramework/m/e;)Lcom/corrodinggames/rts/gameFramework/m/y;,b,method_y_createBackendForImage,createBackendForImage,v0.72-slick-graphics-backend,slick-graphics-backend,high,Creates a graphics backend for a render target GameImage; Slick bridge delegates to class-specific backend factory; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls,v0.72 graphics family completion
method,com/corrodinggames/rts/gameFramework/m/y,()I,m,method_y_getWidth,getWidth,v0.72-slick-graphics-backend,slick-graphics-backend,high,Returns target or screen width for the active graphics backend; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls,v0.72 graphics family completion
method,com/corrodinggames/rts/gameFramework/m/y,()I,n,method_y_getHeight,getHeight,v0.72-slick-graphics-backend,slick-graphics-backend,high,Returns target or screen height for the active graphics backend; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls,v0.72 graphics family completion
method,com/corrodinggames/rts/gameFramework/m/y,(II)V,a,method_y_setSize,setSize,v0.72-slick-graphics-backend,slick-graphics-backend,high,Stores backend target width and height; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls,v0.72 graphics family completion
method,com/corrodinggames/rts/gameFramework/m/y,(Lcom/corrodinggames/rts/gameFramework/m/e;FFFLandroid/graphics/Paint;)V,a,method_y_drawImageRotated,drawImageRotated,v0.72-slick-graphics-backend,slick-graphics-backend,high,"Slick implementation saves transform, rotates, draws image centered, then restores; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls",v0.72 graphics family completion
method,com/corrodinggames/rts/gameFramework/m/y,(Lcom/corrodinggames/rts/gameFramework/m/e;Landroid/graphics/Rect;FFFLandroid/graphics/Paint;)V,a,method_y_drawImageSectionRotated,drawImageSectionRotated,v0.72-slick-graphics-backend,slick-graphics-backend,high,Slick implementation rotates around destination and draws source Rect into scratch RectF; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls,v0.72 graphics family completion
method,com/corrodinggames/rts/gameFramework/m/y,(Lcom/corrodinggames/rts/gameFramework/m/e;Landroid/graphics/Rect;Landroid/graphics/Rect;Landroid/graphics/Paint;)V,a,method_y_drawImage,drawImage,v0.72-slick-graphics-backend,slick-graphics-backend,high,Draws a source Rect to a destination Rect via RectF conversion; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls,v0.72 graphics family completion
method,com/corrodinggames/rts/gameFramework/m/y,(Lcom/corrodinggames/rts/gameFramework/m/e;Landroid/graphics/Rect;Landroid/graphics/RectF;Landroid/graphics/Paint;)V,a,method_y_drawImage,drawImage,v0.72-slick-graphics-backend,slick-graphics-backend,high,Draws a source Rect to a destination RectF; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls,v0.72 graphics family completion
method,com/corrodinggames/rts/gameFramework/m/y,(Lcom/corrodinggames/rts/gameFramework/m/e;Landroid/graphics/Rect;Landroid/graphics/Rect;Landroid/graphics/Paint;)V,b,method_y_drawImageDirect,drawImageDirect,v0.72-slick-graphics-backend,slick-graphics-backend,high,Alternate direct Rect-to-Rect draw path in Canvas/Slick implementations; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls,v0.72 graphics family completion
method,com/corrodinggames/rts/gameFramework/m/y,(Lcom/corrodinggames/rts/gameFramework/m/e;FFLandroid/graphics/Paint;)V,a,method_y_drawImageCentered,drawImageCentered,v0.72-slick-graphics-backend,slick-graphics-backend,high,Slick implementation offsets x/y by GameImage center fields before raw draw; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls,v0.72 graphics family completion
method,com/corrodinggames/rts/gameFramework/m/y,(Lcom/corrodinggames/rts/gameFramework/m/e;FFLandroid/graphics/Paint;FF)V,a,method_y_drawImageTransformed,drawImageTransformed,v0.72-slick-graphics-backend,slick-graphics-backend,high,Draws image at x/y with explicit scale/pivot style float arguments; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls,v0.72 graphics family completion
method,com/corrodinggames/rts/gameFramework/m/y,(Lcom/corrodinggames/rts/gameFramework/m/e;FFLandroid/graphics/Paint;)V,b,method_y_drawImageRaw,drawImageRaw,v0.72-slick-graphics-backend,slick-graphics-backend,high,Raw x/y image draw without center offset; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls,v0.72 graphics family completion
method,com/corrodinggames/rts/gameFramework/m/y,(Lcom/corrodinggames/rts/gameFramework/m/e;Landroid/graphics/Rect;Landroid/graphics/Paint;)V,a,method_y_drawTiledImage,drawTiledImage,v0.72-slick-graphics-backend,slick-graphics-backend,high,Draws/tessellates image into a Rect destination; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls,v0.72 graphics family completion
method,com/corrodinggames/rts/gameFramework/m/y,(Lcom/corrodinggames/rts/gameFramework/m/e;Landroid/graphics/Rect;Landroid/graphics/Paint;IIII)V,a,method_y_drawTiledImage,drawTiledImage,v0.72-slick-graphics-backend,slick-graphics-backend,high,Draws/tessellates image into a Rect with explicit tile offsets/margins; GraphicsEngine abstract descriptor family plus Canvas/Null/Slick overrides; Slick bytecode routes through Slick Graphics/Image/Font/GL transform calls,v0.72 graphics family completion
