kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes,new_named_name,new_intermediary_name
class,com/corrodinggames/rts/game/units/a/d,,,rw/unit/action/internal/Obf_a_d,rustedwarfare/unit/action/internal/Obf_a_d,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.,rustedwarfare/unit/action/AttackModeAction,rw/unit/action/AttackModeAction
class,com/corrodinggames/rts/game/units/a/e,,,rw/unit/action/internal/Obf_a_e,rustedwarfare/unit/action/internal/Obf_a_e,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.,rustedwarfare/unit/action/AttackMoveAction,rw/unit/action/AttackMoveAction
class,com/corrodinggames/rts/game/units/a/f,,,rw/unit/action/internal/Obf_a_f,rustedwarfare/unit/action/internal/Obf_a_f,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.,rustedwarfare/unit/action/GuardUnitAction,rw/unit/action/GuardUnitAction
class,com/corrodinggames/rts/game/units/a/i,,,rw/unit/action/internal/Obf_a_i,rustedwarfare/unit/action/internal/Obf_a_i,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.,rustedwarfare/unit/action/PatrolAction,rw/unit/action/PatrolAction
class,com/corrodinggames/rts/game/units/a/g,,,rw/unit/action/internal/Obf_a_g,rustedwarfare/unit/action/internal/Obf_a_g,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.,rustedwarfare/unit/action/UnitSpecificActionProxy,rw/unit/action/UnitSpecificActionProxy
class,com/corrodinggames/rts/game/units/a/h,,,rw/unit/action/internal/Obf_a_h,rustedwarfare/unit/action/internal/Obf_a_h,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.,rustedwarfare/unit/action/FilteredUnitAction,rw/unit/action/FilteredUnitAction
class,com/corrodinggames/rts/game/units/a/j,,,rw/unit/action/internal/Obf_a_j,rustedwarfare/unit/action/internal/Obf_a_j,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.,rustedwarfare/unit/action/PingMapAction,rw/unit/action/PingMapAction
class,com/corrodinggames/rts/game/units/a/q,,,rw/unit/action/internal/Obf_a_q,rustedwarfare/unit/action/internal/Obf_a_q,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.,rustedwarfare/unit/action/TeamChatAction,rw/unit/action/TeamChatAction
class,com/corrodinggames/rts/game/units/a/r,,,rw/unit/action/internal/Obf_a_r,rustedwarfare/unit/action/internal/Obf_a_r,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.,rustedwarfare/unit/action/MapPingShortcutAction,rw/unit/action/MapPingShortcutAction
class,com/corrodinggames/rts/game/units/a/y,,,rw/unit/action/internal/Obf_a_y,rustedwarfare/unit/action/internal/Obf_a_y,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.,rustedwarfare/unit/action/SelectedUnitInfoAction,rw/unit/action/SelectedUnitInfoAction
class,com/corrodinggames/rts/game/units/a/z,,,rw/unit/action/internal/Obf_a_z,rustedwarfare/unit/action/internal/Obf_a_z,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.,rustedwarfare/unit/action/GroupedUnitInfoAction,rw/unit/action/GroupedUnitInfoAction
