section_context,key,owner_official,field_official,descriptor,field_named,value_type,confidence,note
[decal_name],onlyWhenSelectedByOwnPlayer,com/corrodinggames/rts/game/units/custom/b/d,c,Z,onlyWhenSelectedByOwnPlayer,,confirmed,key onlyWhenSelectedByOwnPlayer
[decal_name],onlyWhenSelectedByEnemyPlayer,com/corrodinggames/rts/game/units/custom/b/d,d,Z,onlyWhenSelectedByEnemyPlayer,,confirmed,key onlyWhenSelectedByEnemyPlayer
[decal_name],onlyWhenSelectedByAllyNotOwnPlayer,com/corrodinggames/rts/game/units/custom/b/d,e,Z,onlyWhenSelectedByAllyNotOwnPlayer,,confirmed,key onlyWhenSelectedByAllyNotOwnPlayer
[decal_name],onlyWhenSelectedByAnyPlayer,com/corrodinggames/rts/game/units/custom/b/d,f,Z,onlyWhenSelectedByAnyPlayer,,confirmed,key onlyWhenSelectedByAnyPlayer
[decal_name],includeParentsSelection,com/corrodinggames/rts/game/units/custom/b/d,g,Z,includeParentsSelection,,confirmed,key includeParentsSelection
[decal_name],onlyTeam,com/corrodinggames/rts/game/units/custom/b/d,h,Lcom/corrodinggames/rts/game/q;,onlyTeam,,confirmed,key onlyTeam
[decal_name],onlyPlayersWithUnitControl,com/corrodinggames/rts/game/units/custom/b/d,i,Z,onlyPlayersWithUnitControl,,confirmed,key onlyPlayersWithUnitControl
[decal_name],onlyWithZoomLevelOrMore,com/corrodinggames/rts/game/units/custom/b/d,j,F,onlyWithZoomLevelOrMore,,confirmed,key onlyWithZoomLevelOrMore
[decal_name],onlyWhileActive,com/corrodinggames/rts/game/units/custom/b/d,k,Z,onlyWhileActive,,confirmed,key onlyWhileActive
[decal_name],onlyWhileAlive,com/corrodinggames/rts/game/units/custom/b/d,l,Z,onlyWhileAlive,,confirmed,key onlyWhileAlive
[decal_name],onlyInPreview,com/corrodinggames/rts/game/units/custom/b/d,m,Z,onlyInPreview,,confirmed,key onlyInPreview
[decal_name],onlyOnNonPreview,com/corrodinggames/rts/game/units/custom/b/d,n,Z,onlyOnNonPreview,,confirmed,key onlyOnNonPreview
[decal_name],onlyOnBodyFrameOf,com/corrodinggames/rts/game/units/custom/b/d,o,I,onlyOnBodyFrameOf,,confirmed,key onlyOnBodyFrameOf
[decal_name],imageScale,com/corrodinggames/rts/game/units/custom/b/d,p,F,imageScale,,confirmed,key imageScale
