official_row,official_sheet,section_context,context_type,category,version_added,key_raw,key_normalized,key_candidate,value_type,description,example,evidence_status,best_parser_owner_official,best_parser_owner_named,best_parser_domain,best_match,other_hit_count,semantic_confidence,implementation_note,best_method_official,best_method_descriptor,best_method_named
54,1.16,[core],ini_section,Necessary Code: will cause error if these are not included,,name:,name,name,string,"Defines the unit raw name, game uses it to identify as a unique name. (This is not displayed in-game)",name: customTank1,matched,com/corrodinggames/rts/game/units/custom/l,rustedwarfare/custom/CustomUnitMetadata,custom-unit-metadata,name,19,medium,,,,
55,1.16,[core],ini_section,Necessary Code: will cause error if these are not included,,mass:,mass,mass,int,"The 'weight' of the unit, defines how it collides with other units, a greater value means it's tougher to push.",mass: 3000,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,mass,1,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
56,1.16,[core],ini_section,Necessary Code: will cause error if these are not included,,radius:,radius,radius,int,Circular area around the unit that makes it selectable. (mouse click/screen touch),radius: 20,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,radius,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
57,1.16,[core],ini_section,Necessary Code: will cause error if these are not included,,price:,price,price,int / price,The unit cost from builders/buildings. Defaults to credits if no resource type is used,"price: 500, gold=5, stone=10",matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,price,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
58,1.16,[core],ini_section,Necessary Code: will cause error if these are not included,,maxHp:,maxHp,maxHp,int,The max health for the unit. (will spawn with this value).,maxHp: 200,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,maxHp,1,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
60,1.16,[core],ini_section,Common Keys,,buildSpeed:,buildSpeed,buildSpeed,float / s,Time it takes to build the unit. (may multiply with builder speed),buildSpeed: 3s,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,buildSpeed,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
61,1.16,[core],ini_section,Common Keys,,class:,class,class,string,"Reserved for future use, must be CustomUnitMetadata by default.",class: CustomUnitMetadata,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,class,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
62,1.16,[core],ini_section,Common Keys,,techLevel:,techLevel,techLevel,int,"Defines the Tech Level of the unit, there're 3 levels and each will appear in a different color in the GUI.",techLevel: 1,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,techLevel,1,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
63,1.16,[core],ini_section,Common Keys,,altNames:,altNames,altNames,string(s),"Comma separated list of names. Like name but lower priority, useful for multiple optional mods.","altNames: custTank1, customTank1, cTank1",matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,altNames,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
64,1.16,[core],ini_section,Common Keys,1.13.3,strictLevel:,strictLevel,strictLevel,float,"Defaults to 0. 1 = Errors if keys are duplicated. Add to ""all-units.template"" in root to apply to all units.",strictLevel: 1,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,strictLevel,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
65,1.16,[core],ini_section,Common Keys,,isBio:,isBio,isBio,bool,"Choose whether the unit is bioligical or not, affects sound and splat (unless hideScorchMark:true)",isBio: true,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,isBio,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
66,1.16,[core],ini_section,Common Keys,,isBug:,isBug,isBug,bool,"Changes some death defaults, and sort order in Sandbox.",isBug: false,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,isBug,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
67,1.16,[core],ini_section,Common Keys,1.13,isBuilder:,isBuilder,isBuilder,bool,Normally required if this unit places buildings. Defaults to [ai]useAsBuilder.,isBuilder: true,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,isBuilder,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
68,1.16,[core],ini_section,Common Keys,1.15,streamingCost:,streamingCost,streamingCost,price,Like price but paid for overtime while this unit is being queued or built. Construction or queue is paused if resources run out while building.,streamingCost: gem=420,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,streamingCost,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
69,1.16,[core],ini_section,Common Keys,1.15,switchPriceWithStreamingCost:,switchPriceWithStreamingCost,switchPriceWithStreamingCost,bool,"Shortcut to set streamingCost to price value and clear price, add to all-units.template to quickly switch a mod over to streaming resources.",switchPriceWithStreamingCost: true,matched,com/corrodinggames/rts/game/units/custom/ag,rustedwarfare/custom/CustomUnitLoader,custom-unit-loader,switchPriceWithStreamingCost,0,high,,a,(Ljava/lang/String;Ljava/io/InputStream;JLcom/corrodinggames/rts/gameFramework/i/b;Lcom/corrodinggames/rts/gameFramework/utility/j;Ljava/lang/String;Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/l;,parseCustomUnitMetadata
