domain,ini_key,owner_official,field_official,descriptor,field_named,mapping_source,evidence
projectile_,targetGround,com/corrodinggames/rts/game/units/custom/bh,s,Z,targetGround,v0.9-base,javap bh.javap.txt line 62: key string within 22 lines before putfield
projectile_,targetGround_includeTargetHeight,com/corrodinggames/rts/game/units/custom/bh,t,Z,targetGroundIncludeTargetHeight,v0.9-base,javap bh.javap.txt line 72: key string within 22 lines before putfield
projectile_,areaRadius,com/corrodinggames/rts/game/units/custom/bh,i,I,areaRadius,v0.9-base,javap bh.javap.txt line 84: key string within 22 lines before putfield
projectile_,directDamage,com/corrodinggames/rts/game/units/custom/bh,b,I,directDamage,v0.9-base,javap bh.javap.txt line 94: key string within 22 lines before putfield
projectile_,areaDamage,com/corrodinggames/rts/game/units/custom/bh,c,I,areaDamage,v0.9-base,javap bh.javap.txt line 104: key string within 22 lines before putfield
projectile_,interceptProjectile_removeTargetLifeOnly,com/corrodinggames/rts/game/units/custom/bh,d,Z,interceptProjectileRemoveTargetLifeOnly,v0.9-base,javap bh.javap.txt line 114: key string within 22 lines before putfield
projectile_,areaDamageNoFalloff,com/corrodinggames/rts/game/units/custom/bh,g,Z,areaDamageNoFalloff,v0.9-base,javap bh.javap.txt line 124: key string within 22 lines before putfield
projectile_,areaIgnoreUnitsCloserThan,com/corrodinggames/rts/game/units/custom/bh,j,F,areaIgnoreUnitsCloserThan,v0.9-base,javap bh.javap.txt line 134: key string within 22 lines before putfield
projectile_,areaRadiusFromEdge,com/corrodinggames/rts/game/units/custom/bh,h,Z,areaRadiusFromEdge,v0.9-base,javap bh.javap.txt line 144: key string within 22 lines before putfield
projectile_,friendlyFire,com/corrodinggames/rts/game/units/custom/bh,l,Z,,,javap bh.javap.txt line 155: key string within 22 lines before putfield
projectile_,friendlyFire,com/corrodinggames/rts/game/units/custom/bh,k,Z,friendlyFire,v0.9-base,javap bh.javap.txt line 171: key string within 22 lines before putfield
projectile_,areaHitAirAndLandAtSameTime,com/corrodinggames/rts/game/units/custom/bh,m,Z,areaHitAirAndLandAtSameTime,v0.9-base,javap bh.javap.txt line 181: key string within 22 lines before putfield
projectile_,areaHitUnderwaterAlways,com/corrodinggames/rts/game/units/custom/bh,n,Z,areaHitUnderwaterAlways,v0.9-base,javap bh.javap.txt line 191: key string within 22 lines before putfield
projectile_,deflectionPower,com/corrodinggames/rts/game/units/custom/bh,o,F,deflectionPower,v0.9-base,javap bh.javap.txt line 201: key string within 22 lines before putfield
projectile_,nukeWeapon,com/corrodinggames/rts/game/units/custom/bh,p,Z,nukeWeapon,v0.9-base,javap bh.javap.txt line 211: key string within 22 lines before putfield
