action,kind,owner_official,official_name,descriptor,named_name,evidence,confidence
added,class,com/corrodinggames/rts/gameFramework/d/c,,,rustedwarfare/render/effect/EffectEngine,GameEngine.bR owner; allocates EffectInstance pool; loads effects/effects2/projectiles/effects3 strips,high
added,field,com/corrodinggames/rts/gameFramework/d/c,a,I,activeEffectCount,decremented by EffectInstance.deactivate; removeAll sanity checks active count,high
added,field,com/corrodinggames/rts/gameFramework/d/c,b,I,maxVeryLowEffects,constructor default 80; budget checked for verylow priority,high
added,field,com/corrodinggames/rts/gameFramework/d/c,c,I,maxLowEffects,constructor default 100; budget checked for low priority,high
added,field,com/corrodinggames/rts/gameFramework/d/c,d,I,maxHighEffects,constructor default 110; budget checked for high priority,high
added,field,com/corrodinggames/rts/gameFramework/d/c,e,I,maxVeryHighEffects,constructor default 120; budget checked for veryhigh priority,high
added,field,com/corrodinggames/rts/gameFramework/d/c,f,[Lcom/corrodinggames/rts/gameFramework/d/e;,effectPool,static pooled EffectInstance array,high
added,field,com/corrodinggames/rts/gameFramework/d/c,g,I,highestUsedEffectIndex,tracks first unused tail of effectPool,high
added,field,com/corrodinggames/rts/gameFramework/d/c,h,Z,effectPoolDirty,set when active effect count changes,high
added,field,com/corrodinggames/rts/gameFramework/d/c,k,Lcom/corrodinggames/rts/gameFramework/m/ae;,displacementShader,loadBuiltInEffectImages logs Loading displacement shader and loads post_displacement.frag,high
added,field,com/corrodinggames/rts/gameFramework/d/c,l,Lcom/corrodinggames/rts/gameFramework/m/e;,effectsImage,built-in image sheet loaded from effects,high
added,field,com/corrodinggames/rts/gameFramework/d/c,m,Lcom/corrodinggames/rts/gameFramework/m/e;,effects2Image,built-in image sheet loaded from effects2,high
added,field,com/corrodinggames/rts/gameFramework/d/c,n,Landroid/graphics/RectF;,scratchDestRectF,static draw scratch RectF,high
added,field,com/corrodinggames/rts/gameFramework/d/c,o,Landroid/graphics/Rect;,scratchSourceRect,static draw scratch Rect,high
added,field,com/corrodinggames/rts/gameFramework/d/c,p,Landroid/graphics/Rect;,scratchDestRect,static draw scratch Rect,high
added,field,com/corrodinggames/rts/gameFramework/d/c,q,Landroid/graphics/Paint;,defaultEffectPaint,static draw Paint,high
added,field,com/corrodinggames/rts/gameFramework/d/c,r,Landroid/graphics/Paint;,shadowEffectPaint,static draw Paint,high
added,field,com/corrodinggames/rts/gameFramework/d/c,s,[Lcom/corrodinggames/rts/gameFramework/d/g;,builtInImageStrips,array populated from effects/effects2/projectiles/effects3 image strips,high
added,field,com/corrodinggames/rts/gameFramework/d/c,t,Lcom/corrodinggames/rts/gameFramework/d/h;,nextEffectPriorityOverride,setNextEffectPriority stores value consumed by next createEffect,high
added,field,com/corrodinggames/rts/gameFramework/d/c,u,Z,requireNextEffectOnscreen,requireNextEffectOnscreen makes next create fail outside onscreen rect,high
added,field,com/corrodinggames/rts/gameFramework/d/c,v,Z,allowNextEffectOffscreen,allowNextEffectOffscreen bypasses outer camera/fog offscreen restrictions,high
added,field,com/corrodinggames/rts/gameFramework/d/c,w,Landroid/graphics/Paint;,scratchPaint,constructor creates reusable Paint,high
added,method,com/corrodinggames/rts/gameFramework/d/c,a,(Lcom/corrodinggames/rts/gameFramework/d/h;)Lcom/corrodinggames/rts/gameFramework/d/e;,allocateEffect,checks priority budgets and finds inactive/reusable EffectInstance slot,high
added,method,com/corrodinggames/rts/gameFramework/d/c,a,(ZLcom/corrodinggames/rts/gameFramework/d/h;)Lcom/corrodinggames/rts/gameFramework/d/e;,findReusableEffect,private helper scans effectPool for inactive or lower-priority reusable effect,high
added,method,com/corrodinggames/rts/gameFramework/d/c,b,(Lcom/corrodinggames/rts/gameFramework/d/h;)V,setNextEffectPriority,stores one-shot nextEffectPriorityOverride,high
added,method,com/corrodinggames/rts/gameFramework/d/c,a,()V,requireNextEffectOnscreen,sets one-shot flag checked by createEffect against camera rect,high
added,method,com/corrodinggames/rts/gameFramework/d/c,b,()V,allowNextEffectOffscreen,sets one-shot flag allowing createEffect offscreen,high
added,method,com/corrodinggames/rts/gameFramework/d/c,a,(FFFLcom/corrodinggames/rts/gameFramework/d/d;ZLcom/corrodinggames/rts/gameFramework/d/h;)Lcom/corrodinggames/rts/gameFramework/d/e;,createEffectAndMarkForDraw,wrapper around createEffect that sets EffectInstance.forceDraw flag,high
added,method,com/corrodinggames/rts/gameFramework/d/c,b,(FFFLcom/corrodinggames/rts/gameFramework/d/d;ZLcom/corrodinggames/rts/gameFramework/d/h;)Lcom/corrodinggames/rts/gameFramework/d/e;,createEffect,"central effect factory: applies priority/offscreen/fog gates, allocates EffectInstance, initializes built-in kind defaults",high
added,method,com/corrodinggames/rts/gameFramework/d/c,a,(Landroid/content/Context;)V,loadBuiltInEffectImages,loads effect image sheets and displacement shader,high
added,method,com/corrodinggames/rts/gameFramework/d/c,a,(Ljava/lang/String;)I,getBuiltInImageStripIndex,resolves built-in image strip by name while loading effect sheets,high
added,method,com/corrodinggames/rts/gameFramework/d/c,a,(F)V,update,updates active EffectInstance pool,high
added,method,com/corrodinggames/rts/gameFramework/d/c,a,(Z)V,removeAll,deactivates all active effects and resets highestUsedEffectIndex,high
