kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
field,com/corrodinggames/rts/gameFramework/n/a/c,Z,e,field_c_onlyBuildings,onlyBuildings,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"javap UnitDetectCondition.parse: property ""onlyBuildings"" is stored into field e",
field,com/corrodinggames/rts/gameFramework/n/a/c,Z,f,field_c_onlyIdle,onlyIdle,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"javap UnitDetectCondition.parse: property ""onlyIdle"" is stored into field f",
field,com/corrodinggames/rts/gameFramework/n/a/c,Z,g,field_c_onlyMainBuildings,onlyMainBuildings,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"javap UnitDetectCondition.parse: property ""onlyMainBuildings"" is stored into field g",
field,com/corrodinggames/rts/gameFramework/n/a/c,Z,h,field_c_onlyOnResourcePool,onlyOnResourcePool,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"javap UnitDetectCondition.parse: property ""onlyOnResourcePool"" is stored into field h",
field,com/corrodinggames/rts/gameFramework/n/a/c,Z,i,field_c_onlyEmptyQueue,onlyEmptyQueue,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"javap UnitDetectCondition.parse: property ""onlyEmptyQueue"" is stored into field i",
field,com/corrodinggames/rts/gameFramework/n/a/c,Z,j,field_c_onlyBuilders,onlyBuilders,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"javap UnitDetectCondition.parse: property ""onlyBuilders"" is stored into field j",
field,com/corrodinggames/rts/gameFramework/n/a/c,I,k,field_c_onlyTechLevel,onlyTechLevel,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"javap UnitDetectCondition.parse: property ""onlyTechLevel"" is stored into field k",
field,com/corrodinggames/rts/gameFramework/n/a/c,Z,l,field_c_onlyAttack,onlyAttack,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"javap UnitDetectCondition.parse: property ""onlyAttack"" is stored into field l",
field,com/corrodinggames/rts/gameFramework/n/a/c,Z,m,field_c_onlyAttackAir,onlyAttackAir,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"javap UnitDetectCondition.parse: property ""onlyAttackAir"" is stored into field m",
field,com/corrodinggames/rts/gameFramework/n/a/c,Z,n,field_c_onlyIfEmpty,onlyIfEmpty,v0.55-mission-trigger-map-script,mission-trigger-map-script,high,"javap UnitDetectCondition.parse: property ""onlyIfEmpty"" is stored into field n",
