owner_official,official_name,named_name,constructor_string,evidence
com/corrodinggames/rts/gameFramework/j/ak,c,unitPositionChecksum,Unit Pos,"Constructor creates entry with string ""Unit Pos""; calculateChecksum adds Float.floatToRawIntBits(unit.eo/ep)."
com/corrodinggames/rts/gameFramework/j/ak,d,unitDirectionChecksum,Unit Dir,"Constructor creates entry with string ""Unit Dir""; calculateChecksum adds unit.cg direction bits."
com/corrodinggames/rts/gameFramework/j/ak,e,unitHpChecksum,Unit Hp,"Constructor creates entry with string ""Unit Hp""; calculateChecksum adds unit.cu hp."
com/corrodinggames/rts/gameFramework/j/ak,f,unitIdChecksum,Unit Id,"Constructor creates entry with string ""Unit Id""; calculateChecksum adds unit.eh id."
com/corrodinggames/rts/gameFramework/j/ak,g,waypointsChecksum,Waypoints,"Constructor creates entry with string ""Waypoints""; calculateChecksum adds UnitOrder.getChecksum()."
com/corrodinggames/rts/gameFramework/j/ak,h,waypointPositionChecksum,Waypoints Pos,"Constructor creates entry with string ""Waypoints Pos""; calculateChecksum adds active waypoint target position."
com/corrodinggames/rts/gameFramework/j/ak,i,teamCreditsChecksum,Team Credits,"Constructor creates entry with string ""Team Credits""; calculateChecksum adds Team credits."
com/corrodinggames/rts/gameFramework/j/ak,j,unitPathsChecksum,UnitPaths,"Constructor creates entry with string ""UnitPaths""; calculateChecksum adds OrderableUnit.getActivePathChecksum()."
com/corrodinggames/rts/gameFramework/j/ak,k,unitCountChecksum,Unit Count,"Constructor creates entry with string ""Unit Count""; calculateChecksum adds Team.w() unit count."
com/corrodinggames/rts/gameFramework/j/ak,l,teamInfoChecksum,Team Info,"Constructor creates entry with string ""Team Info""; calculateChecksum adds team id/state/flags."
com/corrodinggames/rts/gameFramework/j/ak,m,team1CreditsChecksum,Team 1 Credits,"Constructor creates entry with string ""Team 1 Credits""; calculateChecksum adds credits for team index 0."
com/corrodinggames/rts/gameFramework/j/ak,n,team2CreditsChecksum,Team 2 Credits,"Constructor creates entry with string ""Team 2 Credits""; calculateChecksum adds credits for team index 1."
com/corrodinggames/rts/gameFramework/j/ak,o,team3CreditsChecksum,Team 3 Credits,"Constructor creates entry with string ""Team 3 Credits""; calculateChecksum adds credits for team index 2."
com/corrodinggames/rts/gameFramework/j/ak,p,commandCenter2Checksum,Command center2,"Constructor creates entry with string ""Command center2""; calculateChecksum adds building-specific float from Command Center class."
com/corrodinggames/rts/gameFramework/j/ak,q,commandCenter3Checksum,Command center3,"Constructor creates entry with string ""Command center3""; calculateChecksum adds building-specific integer from Command Center class."
