kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/game/units/custom/az,,,rw/custom/effect/BuiltInEffectType,rustedwarfare/custom/effect/BuiltInEffectType,v0.27-mapping-expansion,effect-parser,confirmed,javap enum strings: small/medium/large/smoke/shockwave/largeExplosion/smallExplosion/resourcePoolSmoke/noneExplosion; referenced by EffectTemplate.builtInEffect,
field,com/corrodinggames/rts/game/units/custom/az,Lcom/corrodinggames/rts/game/units/custom/az;,a,field_az_small,small,v0.27-mapping-expansion,effect-parser,confirmed,javap <clinit> enum constant string small,
field,com/corrodinggames/rts/game/units/custom/az,Lcom/corrodinggames/rts/game/units/custom/az;,b,field_az_medium,medium,v0.27-mapping-expansion,effect-parser,confirmed,javap <clinit> enum constant string medium,
field,com/corrodinggames/rts/game/units/custom/az,Lcom/corrodinggames/rts/game/units/custom/az;,c,field_az_large,large,v0.27-mapping-expansion,effect-parser,confirmed,javap <clinit> enum constant string large,
field,com/corrodinggames/rts/game/units/custom/az,Lcom/corrodinggames/rts/game/units/custom/az;,d,field_az_smoke,smoke,v0.27-mapping-expansion,effect-parser,confirmed,javap <clinit> enum constant string smoke,
field,com/corrodinggames/rts/game/units/custom/az,Lcom/corrodinggames/rts/game/units/custom/az;,e,field_az_shockwave,shockwave,v0.27-mapping-expansion,effect-parser,confirmed,javap <clinit> enum constant string shockwave,
field,com/corrodinggames/rts/game/units/custom/az,Lcom/corrodinggames/rts/game/units/custom/az;,f,field_az_largeExplosion,largeExplosion,v0.27-mapping-expansion,effect-parser,confirmed,javap <clinit> enum constant string largeExplosion,
field,com/corrodinggames/rts/game/units/custom/az,Lcom/corrodinggames/rts/game/units/custom/az;,g,field_az_smallExplosion,smallExplosion,v0.27-mapping-expansion,effect-parser,confirmed,javap <clinit> enum constant string smallExplosion,
field,com/corrodinggames/rts/game/units/custom/az,Lcom/corrodinggames/rts/game/units/custom/az;,h,field_az_resourcePoolSmoke,resourcePoolSmoke,v0.27-mapping-expansion,effect-parser,confirmed,javap <clinit> enum constant string resourcePoolSmoke,
field,com/corrodinggames/rts/game/units/custom/az,Lcom/corrodinggames/rts/game/units/custom/az;,i,field_az_noneExplosion,noneExplosion,v0.27-mapping-expansion,effect-parser,confirmed,javap <clinit> enum constant string noneExplosion,
