kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
class,com/corrodinggames/rts/game/units/a/d,,,rw/unit/action/internal/Obf_a_d,rustedwarfare/unit/action/internal/Obf_a_d,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.
class,com/corrodinggames/rts/game/units/a/e,,,rw/unit/action/internal/Obf_a_e,rustedwarfare/unit/action/internal/Obf_a_e,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.
class,com/corrodinggames/rts/game/units/a/f,,,rw/unit/action/internal/Obf_a_f,rustedwarfare/unit/action/internal/Obf_a_f,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.
class,com/corrodinggames/rts/game/units/a/g,,,rw/unit/action/internal/Obf_a_g,rustedwarfare/unit/action/internal/Obf_a_g,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.
class,com/corrodinggames/rts/game/units/a/h,,,rw/unit/action/internal/Obf_a_h,rustedwarfare/unit/action/internal/Obf_a_h,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.
class,com/corrodinggames/rts/game/units/a/i,,,rw/unit/action/internal/Obf_a_i,rustedwarfare/unit/action/internal/Obf_a_i,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.
class,com/corrodinggames/rts/game/units/a/j,,,rw/unit/action/internal/Obf_a_j,rustedwarfare/unit/action/internal/Obf_a_j,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.
class,com/corrodinggames/rts/game/units/a/p,,,rw/unit/action/internal/Obf_a_p,rustedwarfare/unit/action/internal/Obf_a_p,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.
class,com/corrodinggames/rts/game/units/a/q,,,rw/unit/action/internal/Obf_a_q,rustedwarfare/unit/action/internal/Obf_a_q,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.
class,com/corrodinggames/rts/game/units/a/r,,,rw/unit/action/internal/Obf_a_r,rustedwarfare/unit/action/internal/Obf_a_r,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.
class,com/corrodinggames/rts/game/units/a/x,,,rw/unit/action/internal/Obf_a_x,rustedwarfare/unit/action/internal/Obf_a_x,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.
class,com/corrodinggames/rts/game/units/a/y,,,rw/unit/action/internal/Obf_a_y,rustedwarfare/unit/action/internal/Obf_a_y,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.
class,com/corrodinggames/rts/game/units/a/z,,,rw/unit/action/internal/Obf_a_z,rustedwarfare/unit/action/internal/Obf_a_z,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.
class,com/corrodinggames/rts/game/units/b/c$1,,,rw/unit/action/internal/Obf_b_c_1,rustedwarfare/unit/action/internal/Obf_b_c_1,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.
class,com/corrodinggames/rts/game/units/b/c$2,,,rw/unit/action/internal/Obf_b_c_2,rustedwarfare/unit/action/internal/Obf_b_c_2,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.
class,com/corrodinggames/rts/game/units/b/d$1,,,rw/unit/action/internal/Obf_b_d_1,rustedwarfare/unit/action/internal/Obf_b_d_1,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.
class,com/corrodinggames/rts/game/units/b/d$2,,,rw/unit/action/internal/Obf_b_d_2,rustedwarfare/unit/action/internal/Obf_b_d_2,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.
class,com/corrodinggames/rts/game/units/d/a/a$1,,,rw/unit/action/internal/Obf_d_a_a_1,rustedwarfare/unit/action/internal/Obf_d_a_a_1,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.
class,com/corrodinggames/rts/game/units/d/a/b$1,,,rw/unit/action/internal/Obf_d_a_b_1,rustedwarfare/unit/action/internal/Obf_d_a_b_1,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.
class,com/corrodinggames/rts/game/units/d/a/b$2,,,rw/unit/action/internal/Obf_d_a_b_2,rustedwarfare/unit/action/internal/Obf_d_a_b_2,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.
class,com/corrodinggames/rts/game/units/d/a/b$3,,,rw/unit/action/internal/Obf_d_a_b_3,rustedwarfare/unit/action/internal/Obf_d_a_b_3,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.
class,com/corrodinggames/rts/game/units/d/a/b$4,,,rw/unit/action/internal/Obf_d_a_b_4,rustedwarfare/unit/action/internal/Obf_d_a_b_4,v0.42-runtime-action-command-family,runtime-action-command,low-generic-owner,class row required so propagated UnitAction override methods enter Tiny mapping,Conservative generic action owner name; semantic class name intentionally not guessed.
