kind,owner_official,official_name,descriptor,kept_named,skipped_named,reason
field,com/corrodinggames/rts/game/units/custom/e/a,B,Ljava/util/ArrayList;,activeDisplayResources,globalResources,v0.43 resource-economy correction kept; sibling branch attempted rollback or lower-specificity rename
field,com/corrodinggames/rts/game/units/custom/e/a,C,Ljava/util/ArrayList;,builtInResources,localResources,v0.43 resource-economy correction kept; sibling branch attempted rollback or lower-specificity rename
method,com/corrodinggames/rts/game/units/custom/e/a,a,(Lcom/corrodinggames/rts/game/units/custom/e/a;)Lcom/corrodinggames/rts/game/units/custom/e/a;,registerBuiltInResourceType,registerResourceType,v0.43 resource-economy correction kept; sibling branch attempted rollback or lower-specificity rename
method,com/corrodinggames/rts/game/units/custom/e/a,a,(Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/e/a;,getBuiltInResourceTypeByName,getResourceTypeByName,v0.43 resource-economy correction kept; sibling branch attempted rollback or lower-specificity rename
method,com/corrodinggames/rts/game/units/custom/e/a,a,(Ljava/lang/String;ZZ)Lcom/corrodinggames/rts/game/units/custom/e/a;,getOrCreateResourceType,createResourceType,v0.43 resource-economy correction kept; sibling branch attempted rollback or lower-specificity rename
method,com/corrodinggames/rts/game/units/custom/e/f,a,(Lcom/corrodinggames/rts/game/units/custom/e/f;)V,copyFrom,addAll,v0.43 resource-economy correction kept; sibling branch attempted rollback or lower-specificity rename
method,com/corrodinggames/rts/game/units/custom/e/f,b,(Lcom/corrodinggames/rts/game/units/custom/e/f;)V,addAll,subtractSet,v0.43 resource-economy correction kept; sibling branch attempted rollback or lower-specificity rename
method,com/corrodinggames/rts/game/units/custom/e/f,c,(Lcom/corrodinggames/rts/game/units/custom/e/a;D)V,addAmountRaw,subtractAmount,v0.43 resource-economy correction kept; sibling branch attempted rollback or lower-specificity rename
method,com/corrodinggames/rts/game/units/custom/e/f,c,(Lcom/corrodinggames/rts/game/units/custom/e/f;)V,subtractAll,copyFrom,v0.43 resource-economy correction kept; sibling branch attempted rollback or lower-specificity rename
method,com/corrodinggames/rts/game/units/custom/e/f,d,(Lcom/corrodinggames/rts/game/units/custom/e/a;D)V,subtractAmount,removeOrAddNegativeAmount,v0.43 resource-economy correction kept; sibling branch attempted rollback or lower-specificity rename
