kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes,change,old_named_name
method,com/corrodinggames/rts/game/units/ai,(Lcom/corrodinggames/rts/game/units/am;FLcom/corrodinggames/rts/game/f;)F,a,method_ai_applyDamage,applyDamage,v0.37-runtime-damage-death-family,runtime-damage-family,high,descriptor inventory + Unit.applyDamage call sites; subclasses override damage filtering/redirect then call super or zero damage.,Override-family propagation; v0.36 only named the base Unit row.,added,
method,com/corrodinggames/rts/game/units/al,(Lcom/corrodinggames/rts/game/units/am;FLcom/corrodinggames/rts/game/f;)F,a,method_al_applyDamage,applyDamage,v0.37-runtime-damage-death-family,runtime-damage-family,high,descriptor inventory + Unit.applyDamage call sites; subclasses override damage filtering/redirect then call super or zero damage.,Override-family propagation; v0.36 only named the base Unit row.,added,
method,com/corrodinggames/rts/game/units/custom/j,(Lcom/corrodinggames/rts/game/units/am;FLcom/corrodinggames/rts/game/f;)F,a,method_custom_j_applyDamage,applyDamage,v0.37-runtime-damage-death-family,runtime-damage-family,high,descriptor inventory + Unit.applyDamage call sites; subclasses override damage filtering/redirect then call super or zero damage.,Override-family propagation; v0.36 only named the base Unit row.,added,
method,com/corrodinggames/rts/game/units/d/c,(Lcom/corrodinggames/rts/game/units/am;FLcom/corrodinggames/rts/game/f;)F,a,method_d_c_applyDamage,applyDamage,v0.37-runtime-damage-death-family,runtime-damage-family,high,descriptor inventory + Unit.applyDamage call sites; subclasses override damage filtering/redirect then call super or zero damage.,Override-family propagation; v0.36 only named the base Unit row.,added,
method,com/corrodinggames/rts/game/units/d/e,(Lcom/corrodinggames/rts/game/units/am;FLcom/corrodinggames/rts/game/f;)F,a,method_d_e_applyDamage,applyDamage,v0.37-runtime-damage-death-family,runtime-damage-family,high,descriptor inventory + Unit.applyDamage call sites; subclasses override damage filtering/redirect then call super or zero damage.,Override-family propagation; v0.36 only named the base Unit row.,added,
method,com/corrodinggames/rts/game/units/g,(Lcom/corrodinggames/rts/game/units/am;FLcom/corrodinggames/rts/game/f;)F,a,method_g_applyDamage,applyDamage,v0.37-runtime-damage-death-family,runtime-damage-family,high,descriptor inventory + Unit.applyDamage call sites; subclasses override damage filtering/redirect then call super or zero damage.,Override-family propagation; v0.36 only named the base Unit row.,added,
method,com/corrodinggames/rts/game/units/h,(Lcom/corrodinggames/rts/game/units/am;FLcom/corrodinggames/rts/game/f;)F,a,method_h_applyDamage,applyDamage,v0.37-runtime-damage-death-family,runtime-damage-family,high,descriptor inventory + Unit.applyDamage call sites; subclasses override damage filtering/redirect then call super or zero damage.,Override-family propagation; v0.36 only named the base Unit row.,added,
method,com/corrodinggames/rts/game/units/x,(Lcom/corrodinggames/rts/game/units/am;FLcom/corrodinggames/rts/game/f;)F,a,method_x_applyDamage,applyDamage,v0.37-runtime-damage-death-family,runtime-damage-family,high,descriptor inventory + Unit.applyDamage call sites; subclasses override damage filtering/redirect then call super or zero damage.,Override-family propagation; v0.36 only named the base Unit row.,added,
method,com/corrodinggames/rts/game/units/am,()Z,J,method_am_isDamageImmune,isDamageImmune,v0.37-runtime-damage-death-family,runtime-damage-family,high,Unit.applyDamage and CustomUnit.applyDamage zero incoming damage when J() returns true; several special units return constant true.,CustomUnit implementation checks attachment protection and metadata canNotBeDamaged.,added,
method,com/corrodinggames/rts/game/units/custom/j,()Z,J,method_custom_j_isDamageImmune,isDamageImmune,v0.37-runtime-damage-death-family,runtime-damage-family,high,Unit.applyDamage and CustomUnit.applyDamage zero incoming damage when J() returns true; several special units return constant true.,CustomUnit implementation checks attachment protection and metadata canNotBeDamaged.,added,
method,com/corrodinggames/rts/game/units/g,()Z,J,method_g_isDamageImmune,isDamageImmune,v0.37-runtime-damage-death-family,runtime-damage-family,high,Unit.applyDamage and CustomUnit.applyDamage zero incoming damage when J() returns true; several special units return constant true.,CustomUnit implementation checks attachment protection and metadata canNotBeDamaged.,added,
method,com/corrodinggames/rts/game/units/h,()Z,J,method_h_isDamageImmune,isDamageImmune,v0.37-runtime-damage-death-family,runtime-damage-family,high,Unit.applyDamage and CustomUnit.applyDamage zero incoming damage when J() returns true; several special units return constant true.,CustomUnit implementation checks attachment protection and metadata canNotBeDamaged.,added,
method,com/corrodinggames/rts/game/units/x,()Z,J,method_x_isDamageImmune,isDamageImmune,v0.37-runtime-damage-death-family,runtime-damage-family,high,Unit.applyDamage and CustomUnit.applyDamage zero incoming damage when J() returns true; several special units return constant true.,CustomUnit implementation checks attachment protection and metadata canNotBeDamaged.,added,
method,com/corrodinggames/rts/game/units/custom/j,()Z,bI,method_custom_j_isFixedRotation,isFixedRotation,v0.37-runtime-damage-death-family,runtime-unit-family,high,Unit base returns false; BuildingUnitBase returns true; CustomUnit returns metadata.isBuilding.,Override-family propagation for existing Unit.isFixedRotation mapping.,added,
method,com/corrodinggames/rts/game/units/d/d,()Z,bI,method_d_d_isFixedRotation,isFixedRotation,v0.37-runtime-damage-death-family,runtime-unit-family,high,Unit base returns false; BuildingUnitBase returns true; CustomUnit returns metadata.isBuilding.,Override-family propagation for existing Unit.isFixedRotation mapping.,added,
method,com/corrodinggames/rts/game/units/ai,()Z,e,method_ai_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/al,()Z,e,method_al_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
method,com/corrodinggames/rts/game/units/am,()Z,e,method_am_handleDeathEffects,handleDeathEffects,v0.37-runtime-damage-death-family,runtime-death-family,high,"Unit.killAndHandleDeathEffects calls e()Z and removes the unit only when it returns false; implementations spawn death effects, wrecks, debris, smoke, or image_wreak state.",Return true means the dead unit remains in world as wreck/falling corpse; false means removeFromGame should run.,added,
