family_named,official_name,descriptor,owner_official,mapped_named,ok,category
applyDamage,a,(Lcom/corrodinggames/rts/game/units/am;FLcom/corrodinggames/rts/game/f;)F,com/corrodinggames/rts/game/units/ai,applyDamage,True,runtime-damage-family
applyDamage,a,(Lcom/corrodinggames/rts/game/units/am;FLcom/corrodinggames/rts/game/f;)F,com/corrodinggames/rts/game/units/al,applyDamage,True,runtime-damage-family
applyDamage,a,(Lcom/corrodinggames/rts/game/units/am;FLcom/corrodinggames/rts/game/f;)F,com/corrodinggames/rts/game/units/am,applyDamage,True,runtime-damage-family
applyDamage,a,(Lcom/corrodinggames/rts/game/units/am;FLcom/corrodinggames/rts/game/f;)F,com/corrodinggames/rts/game/units/custom/j,applyDamage,True,runtime-damage-family
applyDamage,a,(Lcom/corrodinggames/rts/game/units/am;FLcom/corrodinggames/rts/game/f;)F,com/corrodinggames/rts/game/units/d/c,applyDamage,True,runtime-damage-family
applyDamage,a,(Lcom/corrodinggames/rts/game/units/am;FLcom/corrodinggames/rts/game/f;)F,com/corrodinggames/rts/game/units/d/e,applyDamage,True,runtime-damage-family
applyDamage,a,(Lcom/corrodinggames/rts/game/units/am;FLcom/corrodinggames/rts/game/f;)F,com/corrodinggames/rts/game/units/g,applyDamage,True,runtime-damage-family
applyDamage,a,(Lcom/corrodinggames/rts/game/units/am;FLcom/corrodinggames/rts/game/f;)F,com/corrodinggames/rts/game/units/h,applyDamage,True,runtime-damage-family
applyDamage,a,(Lcom/corrodinggames/rts/game/units/am;FLcom/corrodinggames/rts/game/f;)F,com/corrodinggames/rts/game/units/x,applyDamage,True,runtime-damage-family
isDamageImmune,J,()Z,com/corrodinggames/rts/game/units/am,isDamageImmune,True,runtime-damage-family
isDamageImmune,J,()Z,com/corrodinggames/rts/game/units/custom/j,isDamageImmune,True,runtime-damage-family
isDamageImmune,J,()Z,com/corrodinggames/rts/game/units/g,isDamageImmune,True,runtime-damage-family
isDamageImmune,J,()Z,com/corrodinggames/rts/game/units/h,isDamageImmune,True,runtime-damage-family
isDamageImmune,J,()Z,com/corrodinggames/rts/game/units/x,isDamageImmune,True,runtime-damage-family
isFixedRotation,bI,()Z,com/corrodinggames/rts/game/units/am,isFixedRotation,True,runtime-unit-family
isFixedRotation,bI,()Z,com/corrodinggames/rts/game/units/custom/j,isFixedRotation,True,runtime-unit-family
isFixedRotation,bI,()Z,com/corrodinggames/rts/game/units/d/d,isFixedRotation,True,runtime-unit-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/ai,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/al,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/am,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/b/a,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/b/b,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/b/c,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/b/d,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/b/e,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/b/f,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/c/a,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/custom/j,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/d/d,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/e,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/e/a,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/e/b,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/e/c,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/e/d,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/e/e,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/e/f,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/e/g,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/e/i,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/e/k,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/e/l,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/e/m,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/e/n,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/e/o,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/g,handleDeathEffects,True,runtime-death-family
handleDeathEffects,e,()Z,com/corrodinggames/rts/game/units/h,handleDeathEffects,True,runtime-death-family
