kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes,change_type
field,com/corrodinggames/rts/game/units/ap,F,h,field_TurretRuntimeState_shotSpreadOffsetX,shotSpreadOffsetX,v0.35-runtime-fire-family,runtime-combat-turret-state,medium-high,javap OrderableUnit.M(I) writes ap.h/i after firing; OrderableUnit.K(I) reads ap.h/i as shot offset PointF.,Used by OrderableUnit.getTurretShotSpreadOffset after randomizeTurretShotSpreadOffset.,added
field,com/corrodinggames/rts/game/units/ap,F,i,field_TurretRuntimeState_shotSpreadOffsetY,shotSpreadOffsetY,v0.35-runtime-fire-family,runtime-combat-turret-state,medium-high,javap OrderableUnit.M(I) writes ap.h/i after firing; OrderableUnit.K(I) reads ap.h/i as shot offset PointF.,Used by OrderableUnit.getTurretShotSpreadOffset after randomizeTurretShotSpreadOffset.,added
class,com/corrodinggames/rts/game/units/b/a,,,rw/unit/air/internal/Obf_b_a,rustedwarfare/unit/air/internal/Obf_b_a,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/b/a,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_b_a_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
method,com/corrodinggames/rts/game/units/b/c,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_AmphibiousJetUnit_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/b/d,,,rw/unit/air/internal/Obf_b_d,rustedwarfare/unit/air/internal/Obf_b_d,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/b/d,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_b_d_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/b/e,,,rw/unit/air/internal/Obf_b_e,rustedwarfare/unit/air/internal/Obf_b_e,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/b/e,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_b_e_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
method,com/corrodinggames/rts/game/units/b/f,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_HelicopterUnit_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
class,com/corrodinggames/rts/game/units/c/a,,,rw/unit/command/internal/Obf_c_a,rustedwarfare/unit/command/internal/Obf_c_a,v0.35-runtime-fire-family-owner-support,runtime-combat-class-support,low,Class row added so newly mapped inherited combat/fire methods are emitted into Tiny.,Owner has a(Lcom/corrodinggames/rts/game/units/am;I)V in OrderableUnit combat override family fireTurretAtTarget; semantic unit class name intentionally deferred/generic.,added
method,com/corrodinggames/rts/game/units/c/a,(Lcom/corrodinggames/rts/game/units/am;I)V,a,method_Obf_c_a_fireTurretAtTarget,fireTurretAtTarget,v0.35-runtime-fire-family,runtime-combat-fire-family,high,javap class hierarchy + descriptor inventory; propagated across OrderableUnit descendants to preserve named override family.,Abstract fire hook invoked by tryFireTurretAtTarget after reload/warmup gates; full OrderableUnit override family propagated to avoid partial named override breakage.,added
