kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
method,com/corrodinggames/rts/gameFramework/aa,()V,<init>,method_aa_init,<init>,v0.33-runtime-formation-target,formation-manager,confirmed,javap aa: public aa.<init>(),
method,com/corrodinggames/rts/gameFramework/aa,()V,a,method_aa_a_resetFormationIdCounter,resetFormationIdCounter,v0.33-runtime-formation-target,formation-manager,high,javap aa.a() sets nextFormationId to 1,
method,com/corrodinggames/rts/gameFramework/aa,(Lcom/corrodinggames/rts/gameFramework/j/as;)V,a,method_aa_a_serialize,serialize,v0.33-runtime-formation-target,formation-manager,high,javap aa.a(GameOutputStream) serializes formation manager state,
method,com/corrodinggames/rts/gameFramework/aa,(Lcom/corrodinggames/rts/gameFramework/j/k;)V,a,method_aa_a_deserialize,deserialize,v0.33-runtime-formation-target,formation-manager,high,javap aa.a(GameInputStream) deserializes formation manager state,
method,com/corrodinggames/rts/gameFramework/aa,(F)V,a,method_aa_a_update,update,v0.33-runtime-formation-target,formation-manager,medium,javap aa.a(float) is currently no-op update hook,
method,com/corrodinggames/rts/gameFramework/aa,(Lcom/corrodinggames/rts/gameFramework/utility/m;Lcom/corrodinggames/rts/game/units/y;Lcom/corrodinggames/rts/gameFramework/utility/m;FI)V,a,method_aa_a_assignFormationOffsets,assignFormationOffsets,v0.33-runtime-formation-target,formation-manager,high,javap aa: assigns generated PointF slots to follower units and writes formation offsets,
method,com/corrodinggames/rts/gameFramework/aa,(Lcom/corrodinggames/rts/gameFramework/utility/m;Lcom/corrodinggames/rts/game/units/y;)V,a,method_aa_a_optimizeFormationSlotAssignments,optimizeFormationSlotAssignments,v0.33-runtime-formation-target,formation-manager,medium,javap aa: swaps follower offset slots to reduce formation travel cost,
method,com/corrodinggames/rts/gameFramework/aa,(IFF)Lcom/corrodinggames/rts/gameFramework/utility/m;,a,method_aa_a_generateFormationOffsets,generateFormationOffsets,v0.33-runtime-formation-target,formation-manager,high,javap aa: creates PointF formation offset list from count/spacing/direction,
method,com/corrodinggames/rts/gameFramework/ab,(Lcom/corrodinggames/rts/gameFramework/aa;)V,<init>,method_ab_init,<init>,v0.33-runtime-formation-target,formation-group,confirmed,javap ab.<init>(FormationManager),
method,com/corrodinggames/rts/gameFramework/ab,(Lcom/corrodinggames/rts/game/units/y;)V,a,method_ab_a_attachUnitToFormationGroup,attachUnitToFormationGroup,v0.33-runtime-formation-target,formation-group,high,javap ab.a(y): writes unit.formationGroupId and active order.formationGroup,
method,com/corrodinggames/rts/gameFramework/ab,()V,b,method_ab_b_recomputeFormationTimed,recomputeFormationTimed,v0.33-runtime-formation-target,formation-group,medium,javap ab.b(): timestamps then delegates to recomputeFormation,
method,com/corrodinggames/rts/gameFramework/ab,(Lcom/corrodinggames/rts/gameFramework/utility/m;FFZ)Lcom/corrodinggames/rts/game/units/y;,a,method_ab_a_findClosestFormationLeaderCandidate,findClosestFormationLeaderCandidate,v0.33-runtime-formation-target,formation-group,high,"javap ab.a(m,float,float,boolean): selects closest eligible OrderableUnit near group center",
method,com/corrodinggames/rts/gameFramework/ab,(FFZ)Lcom/corrodinggames/rts/gameFramework/utility/m;,a,method_ab_a_sortFormationMembersFromPoint,sortFormationMembersFromPoint,v0.33-runtime-formation-target,formation-group,medium,"javap ab.a(float,float,boolean): creates sorted member list from point",
method,com/corrodinggames/rts/gameFramework/ab,(Lcom/corrodinggames/rts/gameFramework/utility/m;Lcom/corrodinggames/rts/game/units/y;ZZ)Lcom/corrodinggames/rts/gameFramework/utility/m;,a,method_ab_a_collectNearbyFormationMembers,collectNearbyFormationMembers,v0.33-runtime-formation-target,formation-group,medium,"javap ab.a(m,y,boolean,boolean): collects candidate followers near selected leader",
method,com/corrodinggames/rts/game/units/au,()V,<init>,method_au_init,<init>,v0.33-runtime-formation-target,unit-order,confirmed,javap au.<init>(),
field,com/corrodinggames/rts/game/units/y,I,ac,field_y_ac_formationGroupId,formationGroupId,v0.33-runtime-formation-target,orderable-unit-formation,high,javap ab writes y.ac from FormationGroup.groupId,
field,com/corrodinggames/rts/game/units/y,Lcom/corrodinggames/rts/game/units/y;,ad,field_y_ad_formationLeader,formationLeader,v0.33-runtime-formation-target,orderable-unit-formation,high,javap y.a(y) stores leader and adjusts follower count,
field,com/corrodinggames/rts/game/units/y,Z,ae,field_y_ae_isFormationLeader,isFormationLeader,v0.33-runtime-formation-target,orderable-unit-formation,high,javap ab.c marks selected leader,
field,com/corrodinggames/rts/game/units/y,Z,af,field_y_af_keepFormationHeading,keepFormationHeading,v0.33-runtime-formation-target,orderable-unit-formation,medium,javap ab.c clears this when heading angle mismatch is too high,
field,com/corrodinggames/rts/game/units/y,I,ag,field_y_ag_formationFollowerCount,formationFollowerCount,v0.33-runtime-formation-target,orderable-unit-formation,high,javap y.a(y) increments/decrements leader follower count,
field,com/corrodinggames/rts/game/units/y,S,ah,field_y_ah_formationGroupSize,formationGroupSize,v0.33-runtime-formation-target,orderable-unit-formation,high,javap ab.c stores subgroup/member size and heading checks use >7,
field,com/corrodinggames/rts/game/units/y,F,ai,field_y_ai_formationDistanceScratch,formationDistanceScratch,v0.33-runtime-formation-target,orderable-unit-formation,medium,javap formation sorting scratch field; exact semantic medium,
field,com/corrodinggames/rts/game/units/y,Z,aj,field_y_aj_hasAssignedFormationOffset,hasAssignedFormationOffset,v0.33-runtime-formation-target,orderable-unit-formation,high,javap aa.assignFormationOffsets sets true after assigning offset,
field,com/corrodinggames/rts/game/units/y,F,ak,field_y_ak_formationOffsetX,formationOffsetX,v0.33-runtime-formation-target,orderable-unit-formation,high,javap aa.assignFormationOffsets writes PointF.x,
field,com/corrodinggames/rts/game/units/y,F,al,field_y_al_formationOffsetY,formationOffsetY,v0.33-runtime-formation-target,orderable-unit-formation,high,javap aa.assignFormationOffsets writes PointF.y,
field,com/corrodinggames/rts/game/units/y,F,am,field_y_am_formationMovementAngle,formationMovementAngle,v0.33-runtime-formation-target,orderable-unit-formation,high,javap ab.c compares against current group direction,
field,com/corrodinggames/rts/game/units/y,I,an,field_y_an_lastFormationUpdateFrame,lastFormationUpdateFrame,v0.33-runtime-formation-target,orderable-unit-formation,high,javap ab.c writes GameEngine frame counter,
field,com/corrodinggames/rts/game/units/y,F,ao,field_y_ao_formationSlotDistance,formationSlotDistance,v0.33-runtime-formation-target,orderable-unit-formation,medium,javap aa slot optimization stores distance/cost metric,
field,com/corrodinggames/rts/game/units/y,Z,ap,field_y_ap_formationCandidateMarked,formationCandidateMarked,v0.33-runtime-formation-target,orderable-unit-formation,medium,javap ab collectNearbyFormationMembers uses as temporary candidate mark,
method,com/corrodinggames/rts/game/units/y,()V,aB,method_y_aB_clearFormationState,clearFormationState,v0.33-runtime-formation-target,orderable-unit-formation,high,"javap y.aB(): clears formation leader, leader flag, offset fields, group id",
method,com/corrodinggames/rts/game/units/y,()V,aC,method_y_aC_pruneInvalidFormationFollowers,pruneInvalidFormationFollowers,v0.33-runtime-formation-target,orderable-unit-formation,medium,javap y.aC(): scans followers and completes/detaches if active order no longer matches,
method,com/corrodinggames/rts/game/units/y,()V,aD,method_y_aD_detachAllFormationFollowers,detachAllFormationFollowers,v0.33-runtime-formation-target,orderable-unit-formation,high,"javap y.aD(): scans all units, detaches followers from this leader, recomputes last formation group",
class,com/corrodinggames/rts/game/units/ac,,,rw/unit/search/NearestUnitSearchCallback,rustedwarfare/unit/search/NearestUnitSearchCallback,v0.33-runtime-formation-target,runtime-target-search,high,javap callback class: nearest unit callback with distance/tag/reachability filters,
class,com/corrodinggames/rts/game/units/ae,,,rw/unit/search/PassiveTargetSearchCallback,rustedwarfare/unit/search/PassiveTargetSearchCallback,v0.33-runtime-formation-target,runtime-target-search,high,javap callback class: single-target passive auto-target callback,
class,com/corrodinggames/rts/game/units/ah,,,rw/unit/search/TurretPassiveTargetSearchCallback,rustedwarfare/unit/search/TurretPassiveTargetSearchCallback,v0.33-runtime-formation-target,runtime-target-search,high,javap callback class: per-turret passive auto-target callback,
field,com/corrodinggames/rts/game/units/ac,F,a,field_ac_a_searchX,searchX,v0.33-runtime-formation-target,runtime-target-search,high,javap ac.callback: distance origin X,
field,com/corrodinggames/rts/game/units/ac,F,b,field_ac_b_searchY,searchY,v0.33-runtime-formation-target,runtime-target-search,high,javap ac.callback: distance origin Y,
field,com/corrodinggames/rts/game/units/ac,Lcom/corrodinggames/rts/game/units/custom/h;,c,field_ac_c_requiredTags,requiredTags,v0.33-runtime-formation-target,runtime-target-search,high,javap ac.callback: tag filter compared with candidate.de(),
field,com/corrodinggames/rts/game/units/ac,F,d,field_ac_d_bestDistanceSquared,bestDistanceSquared,v0.33-runtime-formation-target,runtime-target-search,high,javap ac.callback: updated when nearer unit accepted,
field,com/corrodinggames/rts/game/units/ac,Lcom/corrodinggames/rts/game/units/am;,e,field_ac_e_bestUnit,bestUnit,v0.33-runtime-formation-target,runtime-target-search,high,javap ac.callback: selected unit result,
field,com/corrodinggames/rts/game/units/ac,Z,f,field_ac_f_requireReachableTarget,requireReachableTarget,v0.33-runtime-formation-target,runtime-target-search,medium,"javap ac.callback: requires target g()>0 and source.g(target,true)",
field,com/corrodinggames/rts/game/units/ac,Z,g,field_ac_g_allowIncompleteTarget,allowIncompleteTarget,v0.33-runtime-formation-target,runtime-target-search,medium,javap ac.callback: when false rejects candidate cm<1.0,
method,com/corrodinggames/rts/game/units/ac,()V,<init>,method_ac_init,<init>,v0.33-runtime-formation-target,runtime-target-search,confirmed,javap ac: javap ac.<init>(),
method,com/corrodinggames/rts/game/units/ac,(Lcom/corrodinggames/rts/game/units/y;F)V,setup,method_ac_setup,setup,v0.33-runtime-formation-target,runtime-target-search,confirmed,javap ac: callback interface method,
method,com/corrodinggames/rts/game/units/ac,(Lcom/corrodinggames/rts/game/units/y;)I,excludeTeam,method_ac_excludeTeam,excludeTeam,v0.33-runtime-formation-target,runtime-target-search,confirmed,javap ac: callback interface method returns -2,
method,com/corrodinggames/rts/game/units/ac,(Lcom/corrodinggames/rts/game/units/y;)Lcom/corrodinggames/rts/game/n;,onlyEnemiesOfTeam,method_ac_onlyEnemiesOfTeam,onlyEnemiesOfTeam,v0.33-runtime-formation-target,runtime-target-search,confirmed,javap ac: callback interface method returns null,
method,com/corrodinggames/rts/game/units/ac,(Lcom/corrodinggames/rts/game/units/y;)Lcom/corrodinggames/rts/game/n;,onlyTeam,method_ac_onlyTeam,onlyTeam,v0.33-runtime-formation-target,runtime-target-search,confirmed,javap ac: callback interface method returns null,
method,com/corrodinggames/rts/game/units/ac,(Lcom/corrodinggames/rts/game/units/y;FLcom/corrodinggames/rts/game/units/am;)V,callback,method_ac_callback,callback,v0.33-runtime-formation-target,runtime-target-search,confirmed,javap ac: selects nearest candidate satisfying filters,
field,com/corrodinggames/rts/game/units/ae,I,a,field_ae_a_checkedTargetCount,checkedTargetCount,v0.33-runtime-formation-target,runtime-target-search,high,javap ae: incremented for each accepted enemy candidate,
field,com/corrodinggames/rts/game/units/ae,F,b,field_ae_b_bestDistanceSquared,bestDistanceSquared,v0.33-runtime-formation-target,runtime-target-search,high,javap ae: search radius squared and current best distance,
field,com/corrodinggames/rts/game/units/ae,Z,c,field_ae_c_requireWeaponTargeting,requireWeaponTargeting,v0.33-runtime-formation-target,runtime-target-search,medium,javap ae: constructor flag; requires y target and weapon targeting validation,
field,com/corrodinggames/rts/game/units/ae,Z,d,field_ae_d_ready,ready,v0.33-runtime-formation-target,runtime-target-search,high,javap ae: prepareSearchRadius sets true; setup consumes or throws not ready,
method,com/corrodinggames/rts/game/units/ae,(Z)V,<init>,method_ae_init,<init>,v0.33-runtime-formation-target,runtime-target-search,confirmed,javap ae: javap ae.<init>(boolean),
method,com/corrodinggames/rts/game/units/ae,(Lcom/corrodinggames/rts/game/units/y;)I,excludeTeam,method_ae_excludeTeam,excludeTeam,v0.33-runtime-formation-target,runtime-target-search,confirmed,javap ae: callback interface method returns -2,
method,com/corrodinggames/rts/game/units/ae,(Lcom/corrodinggames/rts/game/units/y;)Lcom/corrodinggames/rts/game/n;,onlyEnemiesOfTeam,method_ae_onlyEnemiesOfTeam,onlyEnemiesOfTeam,v0.33-runtime-formation-target,runtime-target-search,confirmed,javap ae: returns source team as enemies-of-team filter,
method,com/corrodinggames/rts/game/units/ae,(F)V,a,method_ae_a_prepareSearchRadius,prepareSearchRadius,v0.33-runtime-formation-target,runtime-target-search,high,javap ae: stores range^2+1 and marks callback ready,
method,com/corrodinggames/rts/game/units/ae,(Lcom/corrodinggames/rts/game/units/y;F)V,setup,method_ae_setup,setup,v0.33-runtime-formation-target,runtime-target-search,confirmed,javap ae: resets count and validates ready flag,
method,com/corrodinggames/rts/game/units/ae,(Lcom/corrodinggames/rts/game/units/y;FLcom/corrodinggames/rts/game/units/am;)V,callback,method_ae_callback,callback,v0.33-runtime-formation-target,runtime-target-search,confirmed,javap ae: selects closest passive target into source.R,
field,com/corrodinggames/rts/game/units/ah,I,a,field_ah_a_checkedTargetCount,checkedTargetCount,v0.33-runtime-formation-target,runtime-target-search,high,javap ah: incremented for each accepted enemy candidate,
field,com/corrodinggames/rts/game/units/ah,[F,b,field_ah_b_bestDistanceSquaredByTurret,bestDistanceSquaredByTurret,v0.33-runtime-formation-target,runtime-target-search,high,javap ah: per-turret search radius/best distance,
field,com/corrodinggames/rts/game/units/ah,[Z,c,field_ah_c_turretNeedsTarget,turretNeedsTarget,v0.33-runtime-formation-target,runtime-target-search,high,javap ah: per-turret enabled flags when turret lacks target,
field,com/corrodinggames/rts/game/units/ah,I,d,field_ah_d_turretCount,turretCount,v0.33-runtime-formation-target,runtime-target-search,high,javap ah: set from source.bl(),
field,com/corrodinggames/rts/game/units/ah,Z,e,field_ah_e_requireWeaponTargeting,requireWeaponTargeting,v0.33-runtime-formation-target,runtime-target-search,medium,javap ah: constructor flag; requires target unit weapon validation,
field,com/corrodinggames/rts/game/units/ah,Z,f,field_ah_f_ready,ready,v0.33-runtime-formation-target,runtime-target-search,high,javap ah: prepareTurretSearchRanges sets true; setup consumes or throws not ready,
