kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes,change_type,previous_named
field,com/corrodinggames/rts/game/units/custom/l,F,be,field_l_nanoUnbuildSpeed,nanoUnbuildSpeed,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,CustomUnit.f(Unit) returns metadata.be; CustomUnitLoader parses official key nanoUnbuildSpeed into l.be and scales by 0.001*5.1.,Unbuild / reverse-construction speed used when reclaiming unfinished units.,added,
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/h;,fl,field_l_canReclaimResourcesOnlyWithTags,canReclaimResourcesOnlyWithTags,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,CustomUnitLoader parses canReclaimResourcesOnlyWithTags; updateRepairReclaimOrder passes target.cR()/metadata.cH into nearest resource search.,Tag filter for resource reclaim target search.,added,
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/h;,fn,field_l_canReclaimUnitsOnlyWithTags,canReclaimUnitsOnlyWithTags,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,CustomUnit.l(Unit) checks metadata.fn against target.de() before delegating to base target validation.,Tag filter for reclaiming units.,added,
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/h;,fo,field_l_canRepairUnitsOnlyWithTags,canRepairUnitsOnlyWithTags,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,CustomUnit.a(Unit) checks metadata.fo against target.de() before delegating to base repair validation.,Tag filter for repairing units.,added,
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/h;,cH,field_l_similarResourcesHaveTag,similarResourcesHaveTag,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,CustomUnit.cR() returns metadata.cH; updateRepairReclaimOrder uses target.cR() while selecting another similar resource target.,Used to find nearby equivalent resource targets while continuing reclaim orders.,added,
method,com/corrodinggames/rts/game/units/y,(Lcom/corrodinggames/rts/game/units/am;)F,a_,method_y_getBuildProgressSpeedForTarget,getBuildProgressSpeedForTarget,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,Called from updateRepairReclaimOrder when target.cm < 1; uses target unit type build speed and target tech level multipliers.,Base build/repair construction progress rate for an unfinished target.,added,
method,com/corrodinggames/rts/game/units/y,(Lcom/corrodinggames/rts/game/units/am;)F,f,method_y_getUnbuildSpeedForTarget,getUnbuildSpeedForTarget,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,Called from updateRepairReclaimOrder for reclaim/unbuild of unfinished target; CustomUnit implementation returns metadata.nanoUnbuildSpeed.,Reverse-construction progress rate used by reclaiming unfinished units.,added,
method,com/corrodinggames/rts/game/units/custom/j,(Lcom/corrodinggames/rts/game/units/am;)F,f,method_j_getUnbuildSpeedForTarget,getUnbuildSpeedForTarget,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,Called from updateRepairReclaimOrder for reclaim/unbuild of unfinished target; CustomUnit implementation returns metadata.nanoUnbuildSpeed.,Reverse-construction progress rate used by reclaiming unfinished units.,added,
method,com/corrodinggames/rts/game/units/y,(Lcom/corrodinggames/rts/game/units/am;)Lcom/corrodinggames/rts/game/units/custom/d/b;,g,method_y_getBuildPriceForTarget,getBuildPriceForTarget,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,"Reads target.reservedResourceCost when present, otherwise target.r().B(); used to stream construction resources while increasing target.cm.",Build price source for streaming repair/build cost recovery logic.,added,
method,com/corrodinggames/rts/game/units/custom/j,(Lcom/corrodinggames/rts/game/units/am;)Z,a,method_j_canRepairTarget,canRepairTarget,v0.40 runtime repair/reclaim expansion,runtime-repair-reclaim,high,Repair order validation family; CustomUnit adds canRepairUnitsOnlyWithTags filter; vanilla implementations restrict repairable classes/buildings.,Full selected override-family mapped together to avoid named jar partial coverage.,added,
