kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes,new_named_name,new_source,new_evidence
field,com/corrodinggames/rts/gameFramework/j/ak,Lcom/corrodinggames/rts/gameFramework/j/al;,c,field_NetworkChecksum_unitChecksum,unitChecksum,v0.11-save-sync,network-sync,low-medium,Checksum bucket name inferred from constructor/string ordering; provisional,,unitPositionChecksum,v0.47-runtime-replay-checksum,"Constructor creates entry with string ""Unit Pos""; calculateChecksum adds Float.floatToRawIntBits(unit.eo/ep)."
field,com/corrodinggames/rts/gameFramework/j/ak,Lcom/corrodinggames/rts/gameFramework/j/al;,d,field_NetworkChecksum_unitPosChecksum,unitPosChecksum,v0.11-save-sync,network-sync,low-medium,Checksum bucket name inferred from constructor/string ordering; provisional,,unitDirectionChecksum,v0.47-runtime-replay-checksum,"Constructor creates entry with string ""Unit Dir""; calculateChecksum adds unit.cg direction bits."
field,com/corrodinggames/rts/gameFramework/j/ak,Lcom/corrodinggames/rts/gameFramework/j/al;,e,field_NetworkChecksum_unitDirChecksum,unitDirChecksum,v0.11-save-sync,network-sync,low-medium,Checksum bucket name inferred from constructor/string ordering; provisional,,unitHpChecksum,v0.47-runtime-replay-checksum,"Constructor creates entry with string ""Unit Hp""; calculateChecksum adds unit.cu hp."
field,com/corrodinggames/rts/gameFramework/j/ak,Lcom/corrodinggames/rts/gameFramework/j/al;,f,field_NetworkChecksum_unitHpChecksum,unitHpChecksum,v0.11-save-sync,network-sync,low-medium,Checksum bucket name inferred from constructor/string ordering; provisional,,unitIdChecksum,v0.47-runtime-replay-checksum,"Constructor creates entry with string ""Unit Id""; calculateChecksum adds unit.eh id."
field,com/corrodinggames/rts/gameFramework/j/ak,Lcom/corrodinggames/rts/gameFramework/j/al;,g,field_NetworkChecksum_unitIdChecksum,unitIdChecksum,v0.11-save-sync,network-sync,low-medium,Checksum bucket name inferred from constructor/string ordering; provisional,,waypointsChecksum,v0.47-runtime-replay-checksum,"Constructor creates entry with string ""Waypoints""; calculateChecksum adds UnitOrder.getChecksum()."
field,com/corrodinggames/rts/gameFramework/j/ak,Lcom/corrodinggames/rts/gameFramework/j/al;,h,field_NetworkChecksum_waypointChecksum,waypointChecksum,v0.11-save-sync,network-sync,low-medium,Checksum bucket name inferred from constructor/string ordering; provisional,,waypointPositionChecksum,v0.47-runtime-replay-checksum,"Constructor creates entry with string ""Waypoints Pos""; calculateChecksum adds active waypoint target position."
field,com/corrodinggames/rts/gameFramework/j/ak,Lcom/corrodinggames/rts/gameFramework/j/al;,i,field_NetworkChecksum_waypointPosChecksum,waypointPosChecksum,v0.11-save-sync,network-sync,low-medium,Checksum bucket name inferred from constructor/string ordering; provisional,,teamCreditsChecksum,v0.47-runtime-replay-checksum,"Constructor creates entry with string ""Team Credits""; calculateChecksum adds Team credits."
field,com/corrodinggames/rts/gameFramework/j/ak,Lcom/corrodinggames/rts/gameFramework/j/al;,j,field_NetworkChecksum_teamCreditsChecksum,teamCreditsChecksum,v0.11-save-sync,network-sync,low-medium,Checksum bucket name inferred from constructor/string ordering; provisional,,unitPathsChecksum,v0.47-runtime-replay-checksum,"Constructor creates entry with string ""UnitPaths""; calculateChecksum adds OrderableUnit.getActivePathChecksum()."
field,com/corrodinggames/rts/gameFramework/j/ak,Lcom/corrodinggames/rts/gameFramework/j/al;,k,field_NetworkChecksum_unitCountChecksum,unitCountChecksum,v0.11-save-sync,network-sync,low-medium,Checksum bucket name inferred from constructor/string ordering; provisional,,unitCountChecksum,v0.47-runtime-replay-checksum,"Constructor creates entry with string ""Unit Count""; calculateChecksum adds Team.w() unit count."
field,com/corrodinggames/rts/gameFramework/j/ak,Lcom/corrodinggames/rts/gameFramework/j/al;,l,field_NetworkChecksum_customUnitChecksum,customUnitChecksum,v0.11-save-sync,network-sync,low-medium,Checksum bucket name inferred from constructor/string ordering; provisional,,teamInfoChecksum,v0.47-runtime-replay-checksum,"Constructor creates entry with string ""Team Info""; calculateChecksum adds team id/state/flags."
field,com/corrodinggames/rts/gameFramework/j/ak,Lcom/corrodinggames/rts/gameFramework/j/al;,m,field_NetworkChecksum_mapChecksum,mapChecksum,v0.11-save-sync,network-sync,low-medium,Checksum bucket name inferred from constructor/string ordering; provisional,,team1CreditsChecksum,v0.47-runtime-replay-checksum,"Constructor creates entry with string ""Team 1 Credits""; calculateChecksum adds credits for team index 0."
field,com/corrodinggames/rts/gameFramework/j/ak,Lcom/corrodinggames/rts/gameFramework/j/al;,n,field_NetworkChecksum_commandChecksum,commandChecksum,v0.11-save-sync,network-sync,low-medium,Checksum bucket name inferred from constructor/string ordering; provisional,,team2CreditsChecksum,v0.47-runtime-replay-checksum,"Constructor creates entry with string ""Team 2 Credits""; calculateChecksum adds credits for team index 1."
field,com/corrodinggames/rts/gameFramework/j/ak,Lcom/corrodinggames/rts/gameFramework/j/al;,o,field_NetworkChecksum_randomChecksum,randomChecksum,v0.11-save-sync,network-sync,low-medium,Checksum bucket name inferred from constructor/string ordering; provisional,,team3CreditsChecksum,v0.47-runtime-replay-checksum,"Constructor creates entry with string ""Team 3 Credits""; calculateChecksum adds credits for team index 2."
field,com/corrodinggames/rts/gameFramework/j/ak,Lcom/corrodinggames/rts/gameFramework/j/al;,p,field_NetworkChecksum_pathChecksum,pathChecksum,v0.11-save-sync,network-sync,low-medium,Checksum bucket name inferred from constructor/string ordering; provisional,,commandCenter2Checksum,v0.47-runtime-replay-checksum,"Constructor creates entry with string ""Command center2""; calculateChecksum adds building-specific float from Command Center class."
field,com/corrodinggames/rts/gameFramework/j/ak,Lcom/corrodinggames/rts/gameFramework/j/al;,q,field_NetworkChecksum_miscChecksum,miscChecksum,v0.11-save-sync,network-sync,low-medium,Checksum bucket name inferred from constructor/string ordering; provisional,,commandCenter3Checksum,v0.47-runtime-replay-checksum,"Constructor creates entry with string ""Command center3""; calculateChecksum adds building-specific integer from Command Center class."
method,com/corrodinggames/rts/gameFramework/j/ak,()V,a,method_NetworkChecksum_reset,reset,v0.11-save-sync,network-sync,high,Called before recalculating checksum buckets,,resetEntryValues,v0.47-runtime-replay-checksum,Method iterates entries ArrayList and sets each NetworkChecksumEntry.value to 0.
method,com/corrodinggames/rts/gameFramework/j/ak,()V,b,method_NetworkChecksum_finalizeChecksum,finalizeChecksum,v0.11-save-sync,network-sync,medium-high,Finalizes total checksum from entries,,calculateChecksum,v0.47-runtime-replay-checksum,"Method clears total/entry values, iterates all OrderableUnit objects and teams, then accumulates checksum buckets."
field,com/corrodinggames/rts/gameFramework/j/al,Z,c,field_NetworkChecksumEntry_enabled,enabled,v0.11-save-sync,network-sync,medium-high,Constructor boolean controls inclusion,,includedInTotal,v0.47-runtime-replay-checksum,Constructor boolean is stored in this field; entries with false are diagnostic buckets but are still registered.
field,com/corrodinggames/rts/gameFramework/bd,Z,b,field_ReplayRecordEntry_isChecksum,isChecksum,v0.11-save-sync,replay,medium,Replay checksum marker flag,,waitMarker,v0.47-runtime-replay-checksum,"ReplayEngine.readNextReplayBlock sets this when reading ""wait"" block; playback skips first wait marker before any commands."
field,com/corrodinggames/rts/gameFramework/bd,[B,d,field_ReplayRecordEntry_checksumDetails,checksumDetails,v0.11-save-sync,replay,medium,Optional checksum details/debug bytes,,extendedChecksumBytes,v0.47-runtime-replay-checksum,"ReplayWriterThread writes this under ""wait"" then ""es"" block after detailed checksum recording."
method,com/corrodinggames/rts/gameFramework/ba,()V,c,method_ReplayEngine_flushReplayWriter,flushReplayWriter,v0.11-save-sync,replay,medium-high,Flushes/wakes replay writer,,recordTracingChecksumIfEnabled,v0.47-runtime-replay-checksum,Method only calls recordDetailedChecksumNow when static replay tracing flag f is true.
method,com/corrodinggames/rts/gameFramework/ba,()V,d,method_ReplayEngine_stopRecording,stopRecording,v0.11-save-sync,replay,medium-high,Stops recording stream/writer,,recordDetailedChecksumNow,v0.47-runtime-replay-checksum,"If active and not playback, calculates NetworkChecksum and records it with detailed entry bytes."
method,com/corrodinggames/rts/gameFramework/ba,()J,f,method_ReplayEngine_getReplayLength,getReplayLength,v0.11-save-sync,replay,low-medium,Returns replay/file length or timer,,calculateQuickUnitChecksum,v0.47-runtime-replay-checksum,"Iterates all OrderableUnit objects and sums position, hp, and id; used for periodic replay checksum entries."
method,com/corrodinggames/rts/gameFramework/ba,()Z,i,method_ReplayEngine_isRecording,isRecording,v0.11-save-sync,replay,medium,Recording state check,,isActive,v0.47-runtime-replay-checksum,Returns private active flag P directly.
