kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
method,com/corrodinggames/rts/game/units/custom/e/a,()Z,a,method_a_shouldDisplayWhenZero,shouldDisplayWhenZero,v0.43-runtime-resource-economy,runtime-resource-economy,high,Returns ResourceType.r / displayWhenZero flag.,
method,com/corrodinggames/rts/game/units/custom/e/a,()F,b,method_a_getDisplayPriority,getDisplayPriority,v0.43-runtime-resource-economy,runtime-resource-economy,high,Returns ResourceType.s / priority.,
method,com/corrodinggames/rts/game/units/custom/e/a,()Z,c,method_a_isBuiltInResource,isBuiltInResource,v0.43-runtime-resource-economy,runtime-resource-economy,confirmed,"Returns ResourceType.u, set by built-in resource constructors and getOrCreateResourceType.",
method,com/corrodinggames/rts/game/units/custom/e/a,()Z,d,method_a_isGlobalResource,isGlobalResource,v0.43-runtime-resource-economy,runtime-resource-economy,confirmed,Returns ResourceType.t; get/set amount routes through Team global resources when true.,
method,com/corrodinggames/rts/game/units/custom/e/a,()V,e,method_a_refreshAllResourceDisplayDefinitions,refreshAllResourceDisplayDefinitions,v0.43-runtime-resource-economy,runtime-resource-economy,confirmed,"Calls refreshDisplayDefinition on all resources, then rebuilds activeDisplayResources list.",
method,com/corrodinggames/rts/game/units/custom/e/a,()Ljava/util/ArrayList;,f,method_a_getActiveDisplayResources,getActiveDisplayResources,v0.43-runtime-resource-economy,runtime-resource-economy,confirmed,Returns static activeDisplayResources list built by refreshAllResourceDisplayDefinitions.,
method,com/corrodinggames/rts/game/units/custom/e/a,()V,g,method_a_refreshDisplayDefinition,refreshDisplayDefinition,v0.43-runtime-resource-economy,runtime-resource-economy,confirmed,Selects highest-priority ResourceDefinition across custom metadata and copies display fields into ResourceType.,
method,com/corrodinggames/rts/game/units/custom/e/a,()Ljava/lang/Integer;,h,method_a_getDisplayColor,getDisplayColor,v0.43-runtime-resource-economy,runtime-resource-economy,high,Returns ResourceType.displayColor.,
method,com/corrodinggames/rts/game/units/custom/e/a,()Ljava/lang/String;,j,method_a_getDisplayNameShort,getDisplayNameShort,v0.43-runtime-resource-economy,runtime-resource-economy,high,"Returns displayNameShort if present, otherwise displayName.",
method,com/corrodinggames/rts/game/units/custom/e/a,(DZ)Ljava/lang/String;,a,method_a_formatAmountWithDisplayName,formatAmountWithDisplayName,v0.43-runtime-resource-economy,runtime-resource-economy,high,Formats a numeric amount with resource display prefix/postfix and digit grouping.,
method,com/corrodinggames/rts/game/units/custom/e/a,(Ljava/lang/String;Lcom/corrodinggames/rts/game/units/custom/e/b;)Ljava/lang/String;,a,method_a_applyDigitGroupingToString,applyDigitGroupingToString,v0.43-runtime-resource-economy,runtime-resource-economy,confirmed,Applies none/space/comma digit grouping while preserving decimal suffix.,
method,com/corrodinggames/rts/game/units/custom/e/a,(JLcom/corrodinggames/rts/game/units/custom/e/b;)Ljava/lang/String;,a,method_a_formatLongWithDigitGrouping,formatLongWithDigitGrouping,v0.43-runtime-resource-economy,runtime-resource-economy,confirmed,Formats a long with ResourceDigitGrouping none/space/comma.,
method,com/corrodinggames/rts/game/units/custom/e/a,(Z)Ljava/lang/String;,a,method_a_getDisplayPrefix,getDisplayPrefix,v0.43-runtime-resource-economy,runtime-resource-economy,high,Returns explicit displayTextPrefix or displayName plus colon; may hide name when icon is shown in HUD.,
