change,old_kind,old_owner_official,old_descriptor,old_official_name,old_intermediary_name,old_named_name,old_source,old_category,old_confidence,old_evidence,old_notes,new_kind,new_owner_official,new_descriptor,new_official_name,new_intermediary_name,new_named_name,new_source,new_category,new_confidence,new_evidence,new_notes
update,field,com/corrodinggames/rts/game/units/custom/e/a,Ljava/util/ArrayList;,B,field_a_B_globalResources,globalResources,v0.10-resource-economy,resource-type,medium,global resource registry list,,field,com/corrodinggames/rts/game/units/custom/e/a,Ljava/util/ArrayList;,B,field_a_activeDisplayResources,activeDisplayResources,v0.43-runtime-resource-economy,runtime-resource-economy,confirmed,ResourceType.refreshAllResourceDisplayDefinitions rebuilds B from all resources where ResourceType.activeInDisplayList is true.,"Hotfix: old name globalResources was misleading; C is built-ins, B is active display list."
update,field,com/corrodinggames/rts/game/units/custom/e/a,Ljava/util/ArrayList;,C,field_a_C_localResources,localResources,v0.10-resource-economy,resource-type,medium,local resource registry list,,field,com/corrodinggames/rts/game/units/custom/e/a,Ljava/util/ArrayList;,C,field_a_builtInResources,builtInResources,v0.43-runtime-resource-economy,runtime-resource-economy,confirmed,ResourceType.registerBuiltInResourceType adds to C; getBuiltInResourceTypeByName searches C only.,Hotfix: old name localResources was misleading; custom resources are not added to C.
update,method,com/corrodinggames/rts/game/units/custom/e/a,(Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/e/a;,a,method_a_a_getResourceTypeByName,getResourceTypeByName,v0.10-resource-economy,resource-type,high,static lookup by internal name,,method,com/corrodinggames/rts/game/units/custom/e/a,(Ljava/lang/String;)Lcom/corrodinggames/rts/game/units/custom/e/a;,a,method_a_getBuiltInResourceTypeByName,getBuiltInResourceTypeByName,v0.43-runtime-resource-economy,runtime-resource-economy,confirmed,Lowercases input and searches builtInResources C only.,
update,method,com/corrodinggames/rts/game/units/custom/e/a,(Lcom/corrodinggames/rts/game/units/custom/e/a;)Lcom/corrodinggames/rts/game/units/custom/e/a;,a,method_a_a_registerResourceType,registerResourceType,v0.10-resource-economy,resource-type,high,static registry method,,method,com/corrodinggames/rts/game/units/custom/e/a,(Lcom/corrodinggames/rts/game/units/custom/e/a;)Lcom/corrodinggames/rts/game/units/custom/e/a;,a,method_a_registerBuiltInResourceType,registerBuiltInResourceType,v0.43-runtime-resource-economy,runtime-resource-economy,confirmed,Rejects duplicate built-in names and adds to allResources and builtInResources.,
update,method,com/corrodinggames/rts/game/units/custom/e/a,(Ljava/lang/String;ZZ)Lcom/corrodinggames/rts/game/units/custom/e/a;,a,method_a_a_createResourceType,createResourceType,v0.10-resource-economy,resource-type,high,create local/global resource type,,method,com/corrodinggames/rts/game/units/custom/e/a,(Ljava/lang/String;ZZ)Lcom/corrodinggames/rts/game/units/custom/e/a;,a,method_a_getOrCreateResourceType,getOrCreateResourceType,v0.43-runtime-resource-economy,runtime-resource-economy,confirmed,Searches allResources by exact internalName; creates resource if absent and sets builtIn/global flags.,
update,method,com/corrodinggames/rts/game/units/custom/e/f,(Lcom/corrodinggames/rts/game/units/custom/e/f;)V,a,method_f_a_addAll,addAll,v0.10-resource-economy,stored-resource-set,high,adds another resource set,,method,com/corrodinggames/rts/game/units/custom/e/f,(Lcom/corrodinggames/rts/game/units/custom/e/f;)V,a,method_f_copyFrom,copyFrom,v0.43-runtime-resource-economy,runtime-resource-economy,confirmed,Clears this set then adds all entries from the source set. Hotfix: old name addAll was misleading.,
update,method,com/corrodinggames/rts/game/units/custom/e/f,(Lcom/corrodinggames/rts/game/units/custom/e/f;)V,b,method_f_b_subtractSet,subtractSet,v0.10-resource-economy,stored-resource-set,high,subtracts another StoredResourceSet,,method,com/corrodinggames/rts/game/units/custom/e/f,(Lcom/corrodinggames/rts/game/units/custom/e/f;)V,b,method_f_addAll,addAll,v0.43-runtime-resource-economy,runtime-resource-economy,confirmed,Iterates source entries and calls addAmount for each. Hotfix: old name subtractSet was wrong.,
update,method,com/corrodinggames/rts/game/units/custom/e/f,(Lcom/corrodinggames/rts/game/units/custom/e/f;)V,c,method_f_c_copyFrom,copyFrom,v0.10-resource-economy,stored-resource-set,medium-high,copies/adds another resource set,,method,com/corrodinggames/rts/game/units/custom/e/f,(Lcom/corrodinggames/rts/game/units/custom/e/f;)V,c,method_f_subtractAll,subtractAll,v0.43-runtime-resource-economy,runtime-resource-economy,confirmed,Iterates source entries and subtracts each via subtractAmount. Hotfix: old name copyFrom was wrong.,
update,method,com/corrodinggames/rts/game/units/custom/e/f,(Lcom/corrodinggames/rts/game/units/custom/e/a;D)V,c,method_f_c_subtractAmount,subtractAmount,v0.10-resource-economy,stored-resource-set,medium-high,subtracts amount/delta helper,,method,com/corrodinggames/rts/game/units/custom/e/f,(Lcom/corrodinggames/rts/game/units/custom/e/a;D)V,c,method_f_addAmountRaw,addAmountRaw,v0.43-runtime-resource-economy,runtime-resource-economy,medium-high,"Bytecode matches addAmount; retained distinct name because same descriptor already has addAmount on b(ResourceType,double). Hotfix: old subtractAmount name was wrong.",
update,method,com/corrodinggames/rts/game/units/custom/e/f,(Lcom/corrodinggames/rts/game/units/custom/e/a;D)V,d,method_f_d_removeOrAddNegativeAmount,removeOrAddNegativeAmount,v0.10-resource-economy,stored-resource-set,medium,negative adjustment helper,,method,com/corrodinggames/rts/game/units/custom/e/f,(Lcom/corrodinggames/rts/game/units/custom/e/a;D)V,d,method_f_subtractAmount,subtractAmount,v0.43-runtime-resource-economy,runtime-resource-economy,confirmed,Delegates to addAmount with negated value.,
