kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes,action,old_named_name,old_intermediary_name,old_source,old_notes
field,com/corrodinggames/rts/game/units/custom/l,Z,eR,field_CustomUnitMetadata_transportUnitsBlockAirAndWaterUnits,transportUnitsBlockAirAndWaterUnits,v0.41-runtime-transport-attachment,runtime-transport-attachment,confirmed,CustomUnitLoader parses key transportUnitsBlockAirAndWaterUnits into CustomUnitMetadata.eR.,Transport metadata field bound by parser key and/or runtime CustomUnit transport logic.,added,,,,
field,com/corrodinggames/rts/game/units/custom/l,Z,eT,field_CustomUnitMetadata_transportUnitsAddUnloadOption,transportUnitsAddUnloadOption,v0.41-runtime-transport-attachment,runtime-transport-attachment,confirmed,CustomUnitLoader parses key transportUnitsAddUnloadOption into CustomUnitMetadata.eT.,Transport metadata field bound by parser key and/or runtime CustomUnit transport logic.,added,,,,
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,eU,field_CustomUnitMetadata_transportUnitsKeepBuiltUnits,transportUnitsKeepBuiltUnits,v0.41-runtime-transport-attachment,runtime-transport-attachment,confirmed,CustomUnitLoader parses key transportUnitsKeepBuiltUnits into LogicBoolean CustomUnitMetadata.eU.,Transport metadata field bound by parser key and/or runtime CustomUnit transport logic.,added,,,,
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,eV,field_CustomUnitMetadata_transportUnitsKillOnDeath,transportUnitsKillOnDeath,v0.41-runtime-transport-attachment,runtime-transport-attachment,confirmed,CustomUnitLoader parses key transportUnitsKillOnDeath into LogicBoolean CustomUnitMetadata.eV; CustomUnit.ds() reads it during death cleanup.,Transport metadata field bound by parser key and/or runtime CustomUnit transport logic.,added,,,,
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,eW,field_CustomUnitMetadata_transportUnitsKeepWaypoints,transportUnitsKeepWaypoints,v0.41-runtime-transport-attachment,runtime-transport-attachment,confirmed,CustomUnitLoader parses key transportUnitsKeepWaypoints into LogicBoolean CustomUnitMetadata.eW.,Transport metadata field bound by parser key and/or runtime CustomUnit transport logic.,added,,,,
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,fc,field_CustomUnitMetadata_transportUnitsCanUnloadUnitsCondition,transportUnitsCanUnloadUnitsCondition,v0.41-runtime-transport-attachment,runtime-transport-attachment,confirmed,CustomUnitLoader parses key transportUnitsCanUnloadUnits and defaults it to notOverLiquidAndNotMovingCondition when absent.,Transport metadata field bound by parser key and/or runtime CustomUnit transport logic.,added,,,,
field,com/corrodinggames/rts/game/units/custom/l,Lcom/corrodinggames/rts/game/units/custom/logicBooleans/LogicBoolean;,fd,field_CustomUnitMetadata_transportUnitsCanUnloadUnitsRelaxedCondition,transportUnitsCanUnloadUnitsRelaxedCondition,v0.41-runtime-transport-attachment,runtime-transport-attachment,medium,"CustomUnitLoader assigns relaxed unload condition from transportUnitsCanUnloadUnits when explicitly configured, else defaults to notOverLiquidCondition.",Transport metadata field bound by parser key and/or runtime CustomUnit transport logic.,added,,,,
field,com/corrodinggames/rts/game/units/am,Lcom/corrodinggames/rts/game/units/am;,cN,field_Unit_transportingUnit,transportingUnit,v0.41-runtime-transport-attachment,runtime-transport-attachment,high,"Set to the carrier in addUnitToTransport paths; Unit.c(Unit,boolean) temporarily clears it while testing transport eligibility.",Runtime unit containment state.,added,,,,
field,com/corrodinggames/rts/game/units/am,Lcom/corrodinggames/rts/game/units/y;,cO,field_Unit_attachmentParentUnit,attachmentParentUnit,v0.41-runtime-transport-attachment,runtime-transport-attachment,high,Attachment parent pointer; Unit.dr() returns attachmentParentUnit before falling back to transportingUnit.,Runtime unit containment state.,added,,,,
field,com/corrodinggames/rts/game/units/am,Lcom/corrodinggames/rts/game/units/custom/b/n;,cP,field_Unit_attachmentSlot,attachmentSlot,v0.41-runtime-transport-attachment,runtime-transport-attachment,confirmed,Attachment slot pointer; Unit.dn() returns this field.,Runtime unit containment state.,added,,,,
