family,ancestor,official_name,descriptor,expected_named,total_implementors,mapped_expected,mapped_wrong,unmapped,owners,wrong_owners,unmapped_owners
Unit transport capability,com/corrodinggames/rts/game/units/am,d,(Lcom/corrodinggames/rts/game/units/am;Z)Z,canTransportUnit,4,4,0,0,com/corrodinggames/rts/game/units/am|com/corrodinggames/rts/game/units/b/d|com/corrodinggames/rts/game/units/custom/j|com/corrodinggames/rts/game/units/e/i,,
Unit transport try-add,com/corrodinggames/rts/game/units/am,e,(Lcom/corrodinggames/rts/game/units/am;Z)Z,tryAddUnitToTransport,4,4,0,0,com/corrodinggames/rts/game/units/am|com/corrodinggames/rts/game/units/b/d|com/corrodinggames/rts/game/units/custom/j|com/corrodinggames/rts/game/units/e/i,,
Unit transport capacity,com/corrodinggames/rts/game/units/am,cr,()Z,hasTransportCapacity,4,4,0,0,com/corrodinggames/rts/game/units/am|com/corrodinggames/rts/game/units/b/d|com/corrodinggames/rts/game/units/custom/j|com/corrodinggames/rts/game/units/e/i,,
Unit transport bar used,com/corrodinggames/rts/game/units/am,bY,()I,getTransportBarUsedSlots,4,4,0,0,com/corrodinggames/rts/game/units/am|com/corrodinggames/rts/game/units/b/d|com/corrodinggames/rts/game/units/custom/j|com/corrodinggames/rts/game/units/e/i,,
Unit transport bar max,com/corrodinggames/rts/game/units/am,bZ,()I,getTransportBarMaxSlots,4,4,0,0,com/corrodinggames/rts/game/units/am|com/corrodinggames/rts/game/units/b/d|com/corrodinggames/rts/game/units/custom/j|com/corrodinggames/rts/game/units/e/i,,
Orderable transported count,com/corrodinggames/rts/game/units/y,bB,()I,getTransportedUnitCount,4,4,0,0,com/corrodinggames/rts/game/units/b/d|com/corrodinggames/rts/game/units/custom/j|com/corrodinggames/rts/game/units/e/i|com/corrodinggames/rts/game/units/y,,
Orderable unloading flag,com/corrodinggames/rts/game/units/y,bA,()Z,isTransportUnloading,4,4,0,0,com/corrodinggames/rts/game/units/b/d|com/corrodinggames/rts/game/units/custom/j|com/corrodinggames/rts/game/units/e/i|com/corrodinggames/rts/game/units/y,,
Unit transport slots needed,com/corrodinggames/rts/game/units/am,cw,()I,getTransportSlotsNeeded,4,4,0,0,com/corrodinggames/rts/game/units/am|com/corrodinggames/rts/game/units/custom/j|com/corrodinggames/rts/game/units/e/c|com/corrodinggames/rts/game/units/e/d,,
Transport add cargo,com/corrodinggames/rts/game/units/am,C,(Lcom/corrodinggames/rts/game/units/am;)V,addUnitToTransport,3,3,0,0,com/corrodinggames/rts/game/units/b/d|com/corrodinggames/rts/game/units/custom/j|com/corrodinggames/rts/game/units/e/i,,
Transport remove cargo,com/corrodinggames/rts/game/units/am,e,(Lcom/corrodinggames/rts/game/units/am;)V,removeUnitFromTransport,3,3,0,0,com/corrodinggames/rts/game/units/b/d|com/corrodinggames/rts/game/units/custom/j|com/corrodinggames/rts/game/units/e/i,,
