kind,owner_official,descriptor,official_name,intermediary_name,named_name,source,category,confidence,evidence,notes
field,com/corrodinggames/rts/game/b/h,I,a,field_TileAtlas_tileCount,tileCount,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,TileAtlas.addTileToAtlas increments this; clearAtlas resets it to 0.,
field,com/corrodinggames/rts/game/b/h,Lcom/corrodinggames/rts/gameFramework/m/e;,b,field_TileAtlas_atlasImage,atlasImage,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,"initializeAtlas allocates this image via GraphicsEngine.b(width,height,alpha).",
field,com/corrodinggames/rts/game/b/h,Lcom/corrodinggames/rts/gameFramework/m/y;,c,field_TileAtlas_atlasCanvas,atlasCanvas,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,initializeAtlas wraps atlasImage with a canvas via GraphicsEngine.b(image).,
field,com/corrodinggames/rts/game/b/h,Landroid/graphics/Paint;,d,field_TileAtlas_drawPaint,drawPaint,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,drawTileIntoAtlas toggles filtering on this Paint before drawing into the atlas.,
field,com/corrodinggames/rts/game/b/h,I,e,field_TileAtlas_tileWidth,tileWidth,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,constructor sets to 20*scale.,
field,com/corrodinggames/rts/game/b/h,I,f,field_TileAtlas_tileHeight,tileHeight,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,constructor sets to 20*scale.,
field,com/corrodinggames/rts/game/b/h,I,g,field_TileAtlas_slotWidth,slotWidth,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,constructor sets to tileWidth+2 for padded atlas slots.,
field,com/corrodinggames/rts/game/b/h,I,h,field_TileAtlas_slotHeight,slotHeight,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,constructor sets to tileHeight+2 for padded atlas slots.,
field,com/corrodinggames/rts/game/b/h,F,i,field_TileAtlas_scale,scale,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,constructor stores scale parameter.,
field,com/corrodinggames/rts/game/b/h,Z,j,field_TileAtlas_alphaAtlasMode,alphaAtlasMode,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,medium-high,constructor stores boolean; non-alpha atlas redirects alpha tiles to alphaTileAtlas.,
field,com/corrodinggames/rts/game/b/h,Lcom/corrodinggames/rts/game/b/h;,k,field_TileAtlas_alphaTileAtlas,alphaTileAtlas,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,"non-alpha constructor creates a paired TileAtlas(scale,true) used when hasImageAlpha returns true.",
field,com/corrodinggames/rts/game/b/h,Landroid/graphics/Rect;,l,field_TileAtlas_tileSourceRectScratch,tileSourceRectScratch,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,medium-high,addTileToAtlas asks Tileset.getTileSourceRect into this static scratch Rect.,
field,com/corrodinggames/rts/game/b/h,Landroid/graphics/Rect;,m,field_TileAtlas_paddingSourceRectScratch,paddingSourceRectScratch,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,medium,drawImageWithPadding uses this scratch Rect for edge source slices.,
field,com/corrodinggames/rts/game/b/h,Landroid/graphics/Rect;,n,field_TileAtlas_paddingDestRectScratch,paddingDestRectScratch,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,medium,drawImageWithPadding uses this scratch Rect for padded destination slices.,
field,com/corrodinggames/rts/game/b/h,Landroid/graphics/Rect;,o,field_TileAtlas_cachedTileSourceRect,cachedTileSourceRect,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,getTileSourceRectCached returns this Rect after filling it for an atlas index.,
field,com/corrodinggames/rts/game/b/h,I,p,field_TileAtlas_cachedTileSourceRectIndex,cachedTileSourceRectIndex,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,getTileSourceRectCached compares and stores this tile index.,
method,com/corrodinggames/rts/game/b/h,(FZ)V,<init>,<init>,<init>,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,constructor stores scale/alpha mode and initializes slot geometry.,Constructor named namespace must remain <init>.
method,com/corrodinggames/rts/game/b/h,()V,a,method_TileAtlas_initializeAtlas,initializeAtlas,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,allocates atlasImage and atlasCanvas; recursively initializes alphaTileAtlas.,
method,com/corrodinggames/rts/game/b/h,()V,b,method_TileAtlas_clearAtlas,clearAtlas,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,"resets tileCount, clears atlasCanvas, refreshes atlasImage, and clears alphaTileAtlas.",
method,com/corrodinggames/rts/game/b/h,(Lcom/corrodinggames/rts/game/b/j;I)I,a,method_TileAtlas_addTileToAtlas,addTileToAtlas,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,"gets a tileset source rect, checks alpha, writes a padded tile into atlas, returns atlas slot index.",
method,com/corrodinggames/rts/game/b/h,(Lcom/corrodinggames/rts/gameFramework/m/e;Landroid/graphics/Rect;)Z,a,method_TileAtlas_hasImageAlpha,hasImageAlpha,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,scans image pixels inside source rect and returns true if any alpha != 255.,
method,com/corrodinggames/rts/game/b/h,()V,c,method_TileAtlas_flushAtlasCanvas,flushAtlasCanvas,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,calls atlasCanvas.p() and recurses into alphaTileAtlas.,
method,com/corrodinggames/rts/game/b/h,(ILcom/corrodinggames/rts/gameFramework/m/e;Landroid/graphics/Rect;)V,a,method_TileAtlas_drawTileIntoAtlas,drawTileIntoAtlas,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,computes slot rect and draws source tile into atlas with padding.,
method,com/corrodinggames/rts/game/b/h,(Lcom/corrodinggames/rts/gameFramework/m/y;Lcom/corrodinggames/rts/gameFramework/m/e;Landroid/graphics/Rect;Landroid/graphics/Rect;Landroid/graphics/Paint;)V,a,method_TileAtlas_drawImageWithPadding,drawImageWithPadding,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,medium-high,draws edge padding rects around a tile before drawing the tile body.,
method,com/corrodinggames/rts/game/b/h,(I)Lcom/corrodinggames/rts/gameFramework/m/e;,a,method_TileAtlas_getAtlasImageForTileIndex,getAtlasImageForTileIndex,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,routes index>=500 to alphaTileAtlas and otherwise returns atlasImage.,
method,com/corrodinggames/rts/game/b/h,(I)Landroid/graphics/Rect;,b,method_TileAtlas_getTileSourceRectCached,getTileSourceRectCached,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,returns cachedTileSourceRect for atlas tile index and updates cache on miss.,
method,com/corrodinggames/rts/game/b/h,(ILandroid/graphics/Rect;)V,a,method_TileAtlas_getTileSourceRect,getTileSourceRect,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,computes padded atlas slot source rect for a tile index.,
field,com/corrodinggames/rts/game/b/d,Lcom/corrodinggames/rts/gameFramework/m/y;,a,field_MapTileRenderCacheRegion_canvas,canvas,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,buffer image d is wrapped into this canvas when region buffer is allocated.,
field,com/corrodinggames/rts/game/b/d,Lcom/corrodinggames/rts/gameFramework/m/e;,d,field_MapTileRenderCacheRegion_bufferImage,bufferImage,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,MapTileRenderCache allocates this image as the per-region tile buffer.,
field,com/corrodinggames/rts/game/b/d,Lcom/corrodinggames/rts/gameFramework/m/e;,e,field_MapTileRenderCacheRegion_fadeOutImage,fadeOutImage,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,allocateFadeOutImage creates this from bufferImage dimensions and labels it fadeOutBitmap.,
field,com/corrodinggames/rts/game/b/d,Lcom/corrodinggames/rts/gameFramework/m/y;,f,field_MapTileRenderCacheRegion_fadeOutCanvas,fadeOutCanvas,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,allocateFadeOutImage wraps fadeOutImage with a canvas.,
field,com/corrodinggames/rts/game/b/d,Landroid/graphics/Paint;,h,field_MapTileRenderCacheRegion_paint,paint,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,medium-high,constructor initializes Paint used while compositing cache regions.,
field,com/corrodinggames/rts/game/b/d,I,i,field_MapTileRenderCacheRegion_gridX,gridX,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,constructor stores first int parameter; getWorldX uses it as cache-grid x index.,
field,com/corrodinggames/rts/game/b/d,I,j,field_MapTileRenderCacheRegion_gridY,gridY,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,constructor stores second int parameter; getWorldY uses it as cache-grid y index.,
field,com/corrodinggames/rts/game/b/d,Z,k,field_MapTileRenderCacheRegion_dirty,dirty,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,medium-high,mark dirty paths set this flag before region redraw.,
field,com/corrodinggames/rts/game/b/d,Z,l,field_MapTileRenderCacheRegion_fadeDirty,fadeDirty,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,medium,separate dirty flag used when marking fade/overlay update regions.,
field,com/corrodinggames/rts/game/b/d,Landroid/graphics/Rect;,o,field_MapTileRenderCacheRegion_scratchSourceRect,scratchSourceRect,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,medium,constructor creates scratch Rect used during region drawing.,
field,com/corrodinggames/rts/game/b/d,Landroid/graphics/Rect;,p,field_MapTileRenderCacheRegion_scratchDestRect,scratchDestRect,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,medium,constructor creates scratch Rect used during region drawing.,
field,com/corrodinggames/rts/game/b/d,Landroid/graphics/RectF;,q,field_MapTileRenderCacheRegion_scratchDestRectF,scratchDestRectF,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,medium,constructor creates scratch RectF used during region drawing.,
field,com/corrodinggames/rts/game/b/d,Landroid/graphics/Rect;,r,field_MapTileRenderCacheRegion_worldRectScratch,worldRectScratch,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,getWorldRect writes into and returns this Rect.,
field,com/corrodinggames/rts/game/b/d,Lcom/corrodinggames/rts/game/b/c;,s,field_MapTileRenderCacheRegion_ownerCache,ownerCache,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,synthetic final owner MapTileRenderCache field.,
method,com/corrodinggames/rts/game/b/d,()V,a,method_MapTileRenderCacheRegion_allocateFadeOutImage,allocateFadeOutImage,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,allocates fadeOutImage and fadeOutCanvas for smooth fog fading / buffer transition.,
method,com/corrodinggames/rts/game/b/d,()Landroid/graphics/Rect;,b,method_MapTileRenderCacheRegion_getWorldRect,getWorldRect,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,fills worldRectScratch from getWorldX/getWorldY and cache region size.,
method,com/corrodinggames/rts/game/b/d,(Lcom/corrodinggames/rts/game/b/c;II)V,<init>,<init>,<init>,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,"constructor stores owner cache, gridX and gridY and initializes scratch rects.",Constructor named namespace must remain <init>.
method,com/corrodinggames/rts/game/b/d,()I,c,method_MapTileRenderCacheRegion_getWorldX,getWorldX,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,returns ownerCache origin X + gridX * region pixel size.,
method,com/corrodinggames/rts/game/b/d,()I,d,method_MapTileRenderCacheRegion_getWorldY,getWorldY,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,high,returns ownerCache origin Y + gridY * region pixel size.,
field,com/corrodinggames/rts/game/b/c,Lcom/corrodinggames/rts/gameFramework/m/e;,b,field_MapTileRenderCache_bufferImage,bufferImage,v0.53-map-terrain-tileatlas-merge,map-terrain-tileatlas,medium-high,created and used as a shared/working render cache image in cache setup.,
